protein1,protein2,neighborhood,fusion,cooccurence,coexpression,experimental,database,textmining,combined_score,gene1,gene2
9606.ENSP00000000233,9606.ENSP00000262812,0,0,0,190,163,600,173,745,ARF5,COPE
9606.ENSP00000000233,9606.ENSP00000158762,0,0,0,0,147,0,736,765,ARF5,ACAP1
9606.ENSP00000000233,9606.ENSP00000480707,0,0,0,98,187,600,194,731,ARF5,COPZ2
9606.ENSP00000000233,9606.ENSP00000263245,0,0,0,63,391,600,527,877,ARF5,ARFGAP3
9606.ENSP00000000233,9606.ENSP00000484121,0,0,0,0,519,0,566,782,ARF5,ARFIP2
9606.ENSP00000000233,9606.ENSP00000429900,0,0,0,0,147,0,865,879,ARF5,ASAP1
9606.ENSP00000000233,9606.ENSP00000262305,0,0,0,0,879,0,686,960,ARF5,RAB11FIP3
9606.ENSP00000000233,9606.ENSP00000281419,0,0,0,0,300,0,645,741,ARF5,ASAP2
9606.ENSP00000000233,9606.ENSP00000314615,0,0,0,84,540,600,582,920,ARF5,ARFGAP1
9606.ENSP00000000233,9606.ENSP00000482620,0,0,0,0,344,0,670,774,ARF5,RAB11FIP4
9606.ENSP00000000233,9606.ENSP00000297044,0,0,0,0,142,900,438,947,ARF5,CYTH3
9606.ENSP00000001008,9606.ENSP00000364801,0,0,0,102,180,600,212,736,FKBP4,HSPA1B
9606.ENSP00000001008,9606.ENSP00000370343,0,0,0,0,270,0,713,781,FKBP4,IRF4
9606.ENSP00000001008,9606.ENSP00000477310,0,0,0,122,0,900,60,910,FKBP4,DYNLL2
9606.ENSP00000001008,9606.ENSP00000378199,0,0,0,66,180,600,452,809,FKBP4,HSPA2
9606.ENSP00000001008,9606.ENSP00000360883,0,0,0,51,102,0,699,722,FKBP4,IFIT3
9606.ENSP00000001008,9606.ENSP00000401645,0,0,0,0,0,0,713,713,FKBP4,SERPINB2
9606.ENSP00000001008,9606.ENSP00000363822,0,0,0,0,499,800,930,992,FKBP4,AR
9606.ENSP00000001008,9606.ENSP00000335153,0,0,0,264,888,900,993,999,FKBP4,HSP90AA1
9606.ENSP00000001008,9606.ENSP00000419782,0,0,0,96,270,0,630,735,FKBP4,CDK5
9606.ENSP00000001008,9606.ENSP00000359385,0,0,0,0,872,0,823,976,FKBP4,GLMN
9606.ENSP00000001008,9606.ENSP00000326238,0,0,0,62,127,900,56,912,FKBP4,CAPZA3
9606.ENSP00000001008,9606.ENSP00000431512,0,0,0,85,520,600,341,868,FKBP4,HSF1
9606.ENSP00000001008,9606.ENSP00000320130,0,0,0,55,117,900,127,917,FKBP4,DYNC1I1
9606.ENSP00000001008,9606.ENSP00000368966,0,0,0,0,167,0,725,761,FKBP4,TRPC3
9606.ENSP00000001008,9606.ENSP00000340820,0,0,0,0,348,0,883,921,FKBP4,MAPT
9606.ENSP00000001008,9606.ENSP00000405330,0,0,0,0,329,600,829,950,FKBP4,ESR1
9606.ENSP00000001008,9606.ENSP00000351646,0,0,0,495,549,600,676,966,FKBP4,STIP1
9606.ENSP00000001008,9606.ENSP00000430598,0,0,0,67,361,0,906,939,FKBP4,ATOX1
9606.ENSP00000001008,9606.ENSP00000325120,0,0,0,0,288,600,695,905,FKBP4,PGR
9606.ENSP00000001008,9606.ENSP00000364802,0,0,0,81,180,600,457,814,FKBP4,HSPA1A
9606.ENSP00000001008,9606.ENSP00000432083,0,0,0,143,180,600,532,850,FKBP4,HSPA8
9606.ENSP00000001008,9606.ENSP00000444810,0,0,59,0,0,900,79,905,FKBP4,FKBP5
9606.ENSP00000001008,9606.ENSP00000350815,0,0,0,0,475,600,720,936,FKBP4,NR3C2
9606.ENSP00000001008,9606.ENSP00000231509,0,0,0,0,848,900,980,999,FKBP4,NR3C1
9606.ENSP00000001008,9606.ENSP00000292169,0,0,0,0,955,0,571,979,FKBP4,S100A1
9606.ENSP00000001008,9606.ENSP00000419313,0,0,0,0,366,0,845,897,FKBP4,TRPC1
9606.ENSP00000001008,9606.ENSP00000364805,0,0,0,81,180,600,178,719,FKBP4,HSPA1L
9606.ENSP00000001008,9606.ENSP00000263038,0,0,0,0,316,0,645,747,FKBP4,PHYH
9606.ENSP00000001146,9606.ENSP00000285949,0,0,61,0,0,800,85,813,CYP26B1,CYP26C1
9606.ENSP00000001146,9606.ENSP00000308032,0,0,198,0,90,900,195,933,CYP26B1,CYP2S1
9606.ENSP00000001146,9606.ENSP00000360317,0,0,204,0,90,650,198,769,CYP26B1,CYP2C8
9606.ENSP00000001146,9606.ENSP00000301141,0,0,202,0,90,900,157,930,CYP26B1,CYP2A6
9606.ENSP00000001146,9606.ENSP00000260682,0,0,207,0,90,650,156,758,CYP26B1,CYP2C9
9606.ENSP00000001146,9606.ENSP00000222982,0,0,190,0,139,900,110,929,CYP26B1,CYP3A5
9606.ENSP00000001146,9606.ENSP00000324648,0,0,200,0,90,900,223,935,CYP26B1,CYP2B6
