symbol,reactome_id,pathway_name
A1BG,R-HSA-109582,Hemostasis
A1BG,R-HSA-114608,Platelet degranulation 
A1BG,R-HSA-168249,Innate Immune System
A1BG,R-HSA-168256,Immune System
A1BG,R-HSA-6798695,Neutrophil degranulation
A1BG,R-HSA-76002,"Platelet activation, signaling and aggregation"
A1BG,R-HSA-76005,Response to elevated platelet cytosolic Ca2+
NAT2,R-HSA-1430728,Metabolism
NAT2,R-HSA-156580,Phase II - Conjugation of compounds
NAT2,R-HSA-156582,Acetylation
NAT2,R-HSA-211859,Biological oxidations
NAT2,R-HSA-9748784,Drug ADME
NAT2,R-HSA-9753281,Paracetamol ADME
ADA,R-HSA-1430728,Metabolism
ADA,R-HSA-15869,Metabolism of nucleotides
ADA,R-HSA-1643685,Disease
ADA,R-HSA-5668914,Diseases of metabolism
ADA,R-HSA-74217,Purine salvage
ADA,R-HSA-8956321,Nucleotide salvage
ADA,R-HSA-9734207,Nucleotide salvage defects
ADA,R-HSA-9734735,Defective ADA disrupts (deoxy)adenosine deamination
ADA,R-HSA-9735804,Diseases of nucleotide metabolism
ADA,R-HSA-9748784,Drug ADME
ADA,R-HSA-9755088,Ribavirin ADME
CDH2,R-HSA-1266738,Developmental Biology
CDH2,R-HSA-1500931,Cell-Cell communication
CDH2,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
CDH2,R-HSA-392499,Metabolism of proteins
CDH2,R-HSA-418990,Adherens junctions interactions
CDH2,R-HSA-421270,Cell-cell junction organization
CDH2,R-HSA-446728,Cell junction organization
CDH2,R-HSA-525793,Myogenesis
CDH2,R-HSA-597592,Post-translational protein modification
CDH2,R-HSA-8957275,Post-translational protein phosphorylation
CDH2,R-HSA-9730414,MITF-M-regulated melanocyte development
CDH2,R-HSA-9856651,MITF-M-dependent gene expression
CDH2,R-HSA-9926550,"Regulation of MITF-M-dependent genes involved in extracellular matrix, focal adhesion and epithelial-to-mesenchymal transition"
AKT3,R-HSA-109581,Apoptosis
AKT3,R-HSA-109606,Intrinsic Pathway for Apoptosis
AKT3,R-HSA-111447,Activation of BAD and translocation to mitochondria 
AKT3,R-HSA-114452,Activation of BH3-only proteins
AKT3,R-HSA-1227986,Signaling by ERBB2
AKT3,R-HSA-1257604,PIP3 activates AKT signaling
AKT3,R-HSA-1266738,Developmental Biology
AKT3,R-HSA-1280215,Cytokine Signaling in Immune system
AKT3,R-HSA-1280218,Adaptive Immune System
AKT3,R-HSA-1358803,Downregulation of ERBB2:ERBB3 signaling
AKT3,R-HSA-162582,Signal Transduction
AKT3,R-HSA-1640170,Cell Cycle
AKT3,R-HSA-1643685,Disease
AKT3,R-HSA-168256,Immune System
AKT3,R-HSA-186712,Regulation of beta-cell development
AKT3,R-HSA-194138,Signaling by VEGF
AKT3,R-HSA-198323,AKT phosphorylates targets in the cytosol
AKT3,R-HSA-198693,AKT phosphorylates targets in the nucleus
AKT3,R-HSA-199418,Negative regulation of the PI3K/AKT network
AKT3,R-HSA-199991,Membrane Trafficking
AKT3,R-HSA-210745,Regulation of gene expression in beta cells
AKT3,R-HSA-211163,AKT-mediated inactivation of FOXO1A
AKT3,R-HSA-212436,Generic Transcription Pathway
AKT3,R-HSA-2219528,PI3K/AKT Signaling in Cancer
AKT3,R-HSA-2262752,Cellular responses to stress
AKT3,R-HSA-3700989,Transcriptional Regulation by TP53
AKT3,R-HSA-372790,Signaling by GPCR
AKT3,R-HSA-388396,GPCR downstream signalling
AKT3,R-HSA-388841,Regulation of T cell activation by CD28 family
AKT3,R-HSA-389356,Co-stimulation by CD28
AKT3,R-HSA-389357,CD28 dependent PI3K/Akt signaling
AKT3,R-HSA-389513,Co-inhibition by CTLA4
AKT3,R-HSA-392451,G beta:gamma signalling through PI3Kgamma
AKT3,R-HSA-397795,G-protein beta:gamma signalling
AKT3,R-HSA-4420097,VEGFA-VEGFR2 Pathway
