drug,n_pathways_luma,mean_pathway_score_luma,max_pathway_score_luma,sum_pathway_score_luma,n_pathways_lumb,mean_pathway_score_lumb,max_pathway_score_lumb,sum_pathway_score_lumb,n_pathways_her2,mean_pathway_score_her2,max_pathway_score_her2,sum_pathway_score_her2,n_pathways_tnbc,mean_pathway_score_tnbc,max_pathway_score_tnbc,sum_pathway_score_tnbc
CHEMBL1778,16,0.0540384910159353,0.1537842052477922,0.8646158562549662,16,0.0005533686415535,0.0006231696314845,0.0088538982648571,16,0.0005453479162848,0.0006271066668271,0.008725566660558,16,0.0005436087304297,0.0006179740906595,0.0086977396868759
CHEMBL1782,5,0.0150572254259608,0.0451741251076365,0.0752861271298044,6,0.0004440346351631,0.0005292513098544,0.0026642078109787,5,0.0004500769973641,0.0005106120661872,0.0022503849868205,5,0.0004427200128293,0.0005043894392236,0.0022136000641466
CHEMBL1783,29,0.046635296492818,0.1537842052477922,1.352423598291723,29,0.0006116098161721,0.0010223858045129,0.017736684668992,29,0.0006058573475375,0.0010171757063439,0.0175698630785885,29,0.0006004067379724,0.0010115523172975,0.0174117954011998
CHEMBL1785,10,0.0411351773104401,0.1537842052477922,0.4113517731044011,10,0.0004872895167807,0.0006110699911817,0.0048728951678072,10,0.0004813887169066,0.000591415289828,0.0048138871690668,10,0.0004819041722717,0.0005938015641085,0.004819041722717
CHEMBL1786,2,0.023320304839422,0.0451741251076365,0.0466406096788441,2,0.0004916849717646,0.0004936835880067,0.0009833699435293,2,0.0004896231841693,0.0004965379542791,0.0009792463683387,2,0.0004787365934677,0.0004790010121981,0.0009574731869355
CHEMBL1787,5,0.01453977705182,0.0451741251076365,0.0726988852591002,5,0.0005016786287572,0.0005292513098544,0.0025083931437863,5,0.0004681750242173,0.0005106120661872,0.0023408751210869,5,0.0004712158920977,0.0005043894392236,0.0023560794604886
CHEMBL1790,16,0.0305690285980178,0.1537842052477922,0.4891044575682848,16,0.0005131553103132,0.0008107818657282,0.0082104849650122,16,0.0005026250871565,0.0008108424355144,0.0080420013945043,16,0.0005109247095357,0.0008106735657093,0.0081747953525723
CHEMBL1791,5,0.0056027792140825,0.012564049150908,0.0280138960704129,5,0.0005211671449512,0.0008492131230125,0.0026058357247564,5,0.0004737238104117,0.0006680225852612,0.0023686190520586,5,0.0006414398045663,0.0013890700171119,0.0032071990228318
CHEMBL1793,6,0.0447798150171784,0.1537842052477922,0.2686788901030708,6,0.0004832877369013,0.0005444404172623,0.0028997264214082,6,0.000479755388673,0.0005393420828279,0.0028785323320385,6,0.0004812285599901,0.0005491911751487,0.0028873713599411
CHEMBL1795,3,0.0053420854392114,0.0094050932772035,0.0160262563176342,3,0.0004337704398546,0.0004798179331667,0.0013013113195638,3,0.0004241782411827,0.0004573696539163,0.0012725347235483,3,0.0004117704698143,0.0004259008439356,0.0012353114094431
CHEMBL1798,15,0.0423564148249641,0.1537842052477922,0.635346222374462,15,0.000512546293695,0.0006110699911817,0.0076881944054257,15,0.0005036297052479,0.000591415289828,0.0075544455787198,15,0.0005046642882129,0.0005938015641085,0.0075699643231938
CHEMBL1800,6,0.0447798150171784,0.1537842052477922,0.2686788901030708,6,0.0004832877369013,0.0005444404172623,0.0028997264214082,6,0.000479755388673,0.0005393420828279,0.0028785323320385,6,0.0004812285599901,0.0005491911751487,0.0028873713599411
CHEMBL1803,13,0.0480559952916398,0.1097527112367198,0.6247279387913176,14,0.0005241277655262,0.0007575345857585,0.0073377887173673,13,0.0005351973030045,0.0007688162927665,0.0069575649390593,14,0.0005172530796214,0.0007361189669008,0.0072415431146997
CHEMBL1804,7,0.0412687980194284,0.1537842052477922,0.2888815861359991,7,0.0004571555589859,0.0005265310806402,0.0032000889129016,7,0.0004517062830324,0.0005267415572554,0.0031619439812271,7,0.0004499516073119,0.0005182265072725,0.0031496612511838
CHEMBL1806,10,0.024829256651538,0.0605095401637408,0.2482925665153801,10,0.0005532450530325,0.0006101465679182,0.0055324505303259,10,0.0005450464102587,0.0006016584378893,0.0054504641025878,10,0.0005554519934118,0.0006290015040852,0.005554519934118
CHEMBL1807,11,0.0288103837838002,0.1262818772289532,0.3169142216218026,11,0.0004840707015314,0.0005829893311849,0.0053247777168458,11,0.0004743137560123,0.0005772331246023,0.0052174513161353,11,0.0004845087677563,0.000645738765762,0.0053295964453201
CHEMBL1808,3,0.0226649166298163,0.0605095401637408,0.0679947498894489,3,0.0004139962955177,0.0005109867686159,0.0012419888865533,3,0.0004032947967065,0.0004922029096758,0.0012098843901197,3,0.0004166023645587,0.0005009456780062,0.0012498070936762
CHEMBL1811,6,0.0468010303095604,0.1537842052477922,0.2808061818573627,6,0.0004904395415066,0.0006110699911817,0.0029426372490396,6,0.0004830226077117,0.000591415289828,0.0028981356462705,6,0.0004807426459133,0.0005938015641085,0.0028844558754803
CHEMBL1817,6,0.0307186194554403,0.1537842052477922,0.184311716732642,6,0.0006906620035964,0.0008222820307862,0.0041439720215787,6,0.0006763166591344,0.0008177874445205,0.0040578999548067,6,0.0006502415812182,0.0008102818038131,0.0039014494873093
CHEMBL1821,6,0.0466208612122854,0.1537842052477922,0.2797251672737126,8,0.0004375572476322,0.0005265310806402,0.0035004579810581,8,0.0004264105906822,0.0005267415572554,0.0034112847254579,8,0.0004223069631115,0.0005182265072725,0.0033784557048922
CHEMBL1822,12,0.0424917699957175,0.1262818772289532,0.509901239948611,12,0.0005120736387229,0.0005829893311849,0.0061448836646752,12,0.0005041199023147,0.0005772331246023,0.0060494388277775,12,0.0005048595214027,0.0005768664048481,0.0060583142568334
CHEMBL1824,58,0.0250164627553766,0.1537842052477922,1.4509548398118446,58,0.0007262894745836,0.0010109100231417,0.0421247895258542,58,0.0007262967440585,0.0010033988242803,0.042125211155397,58,0.0007084348507167,0.0009405602640435,0.041089221341571
CHEMBL1827,11,0.0278393011818258,0.1537842052477922,0.3062323130000838,11,0.0005342671472821,0.0011207536784544,0.0058769386201037,11,0.0005371983457093,0.0011668691714855,0.005909181802803,11,0.000485232874239,0.0007265274502919,0.0053375616166293
CHEMBL1832,6,0.0447798150171784,0.1537842052477922,0.2686788901030708,6,0.0004832877369013,0.0005444404172623,0.0028997264214082,6,0.000479755388673,0.0005393420828279,0.0028785323320385,6,0.0004812285599901,0.0005491911751487,0.0028873713599411
CHEMBL1833,6,0.0468010303095604,0.1537842052477922,0.2808061818573627,7,0.0004695132989936,0.0006110699911817,0.0032865930929555,7,0.0004601569751573,0.000591415289828,0.0032210988261017,7,0.000457029754172,0.0005938015641085,0.003199208279204
CHEMBL1835,9,0.0244501039063076,0.1262818772289532,0.2200509351567686,10,0.0004301260909543,0.0005292513098544,0.0043012609095439,10,0.0004192570819871,0.0005106120661872,0.0041925708198712,10,0.0004189106533443,0.0005043894392236,0.0041891065334433
CHEMBL1836,6,0.045540954622685,0.1537842052477922,0.2732457277361101,6,0.00047933461252,0.0005444404172623,0.0028760076751202,6,0.0004743437398784,0.0005393420828279,0.0028460624392705,6,0.0004733075810867,0.0005491911751487,0.0028398454865205
CHEMBL1839,4,0.0133199542799323,0.0451741251076365,0.0532798171197295,4,0.0007166000105331,0.0008029280972434,0.0028664000421324,4,0.0006965855173285,0.0007682808923763,0.0027863420693141,4,0.0006731190941054,0.0007519097872204,0.0026924763764219
CHEMBL1842,10,0.0501522774071721,0.1262818772289532,0.5015227740717215,10,0.0005101539160907,0.0005758713305384,0.0051015391609071,10,0.0004975274749893,0.0005641791011353,0.0049752747498938,10,0.0005014641218339,0.0005673045318414,0.0050146412183394
CHEMBL1843,3,0.0173955548660637,0.0451741251076365,0.0521866645981911,3,0.0006878239816296,0.0008029280972434,0.002063471944889,3,0.0006726870589792,0.0007682808923763,0.0020180611769378,3,0.0006468555297338,0.0007519097872204,0.0019405665892015
CHEMBL1845,8,0.0265617771145753,0.0978185915307112,0.2124942169166029,8,0.0004770237061599,0.000581476867447,0.0038161896492796,8,0.0004753048206841,0.000584925819992,0.0038024385654734,8,0.0004759106838366,0.0005868213347151,0.0038072854706933
CHEMBL1846,6,0.0055916587269598,0.012564049150908,0.0335499523617588,6,0.0005124755205477,0.0008492131230125,0.0030748531232866,6,0.0004711853609659,0.0006680225852612,0.0028271121657955,6,0.0006143488323098,0.0013890700171119,0.0036860929938593
CHEMBL1851,13,0.0090076714204682,0.0451741251076365,0.1170997284660876,13,0.0004862842604965,0.0005600258378752,0.0063216953864553,13,0.0004464624826269,0.0005106120661872,0.0058040122741507,13,0.0004418836728251,0.0005043894392236,0.0057444877467274
CHEMBL1854,7,0.0391383544888186,0.1537842052477922,0.2739684814217305,6,0.00047933461252,0.0005444404172623,0.0028760076751202,6,0.0004743437398784,0.0005393420828279,0.0028460624392705,6,0.0004733075810867,0.0005491911751487,0.0028398454865205
CHEMBL1855,7,0.0402184193632833,0.1537842052477922,0.2815289355429831,6,0.0004904395415066,0.0006110699911817,0.0029426372490396,6,0.0004830226077117,0.000591415289828,0.0028981356462705,6,0.0004807426459133,0.0005938015641085,0.0028844558754803
CHEMBL1856,5,0.01453977705182,0.0451741251076365,0.0726988852591002,5,0.0005016786287572,0.0005292513098544,0.0025083931437863,5,0.0004681750242173,0.0005106120661872,0.0023408751210869,5,0.0004712158920977,0.0005043894392236,0.0023560794604886
CHEMBL1859,10,0.0289052998677463,0.0978185915307112,0.2890529986774638,10,0.0005267411670318,0.0007040228762591,0.0052674116703189,10,0.0005261230961433,0.0007276162350441,0.0052612309614337,10,0.0005372518179882,0.000795557959329,0.0053725181798825
CHEMBL1860,9,0.0454037116269816,0.086774286801405,0.4086334046428351,9,0.0005555268549038,0.0006164629036573,0.0049997416941349,9,0.0005450588025454,0.0006011135964601,0.0049055292229094,9,0.0005499407943611,0.0005994576540304,0.0049494671492506
CHEMBL1861,2,0.0255467560383263,0.0451741251076365,0.0510935120766527,2,0.0006302719238228,0.000770857492123,0.0012605438476456,2,0.0006248901422807,0.0007670718705019,0.0012497802845615,2,0.0005943284009905,0.000709655789783,0.0011886568019811
CHEMBL1864,3,0.0329739716555632,0.058212054098014,0.0989219149666899,3,0.0005979995232651,0.0006835733294709,0.0017939985697953,3,0.0005812383573125,0.000645716654579,0.0017437150719375,3,0.0005797411559679,0.0006648524079466,0.0017392234679038
CHEMBL1867,15,0.0343905062139155,0.1537842052477922,0.5158575932087335,17,0.0004755684428596,0.0006835733294709,0.0080846635286141,17,0.000467258466074,0.000645716654579,0.0079433939232584,17,0.0004665848920284,0.0006648524079466,0.0079319431644831
CHEMBL1868,6,0.0427330169394347,0.1537842052477922,0.2563981016366086,6,0.0005506754418161,0.0006474910410066,0.0033040526508971,6,0.0005802970782045,0.0006572232561863,0.0034817824692273,6,0.0005476339011863,0.000640963966067,0.0032858034071179
CHEMBL1869,2,0.0255467560383263,0.0451741251076365,0.0510935120766527,2,0.0006302719238228,0.000770857492123,0.0012605438476456,2,0.0006248901422807,0.0007670718705019,0.0012497802845615,2,0.0005943284009905,0.000709655789783,0.0011886568019811
CHEMBL1871,23,0.0354886144876884,0.1537842052477922,0.8162381332168335,23,0.0005703329055377,0.0007040983899847,0.0131176568273675,23,0.0005609437905836,0.0007087246690573,0.0129017071834244,23,0.0005630925987841,0.0007085366872923,0.0129511297720357
CHEMBL1874,4,0.0356469954939652,0.1262818772289532,0.1425879819758611,4,0.0005276961032538,0.0008107818657282,0.0021107844130152,4,0.000530386366878,0.0008108424355144,0.0021215454675122,4,0.0005273428119377,0.0008106735657093,0.0021093712477508
CHEMBL1875,6,0.045540954622685,0.1537842052477922,0.2732457277361101,7,0.0004599947884337,0.0005444404172623,0.003219963519036,7,0.0004527179455859,0.0005393420828279,0.0031690256191016,7,0.0004506568414634,0.0005491911751487,0.0031545978902442
CHEMBL1876,4,0.0356469954939652,0.1262818772289532,0.1425879819758611,4,0.0005276961032538,0.0008107818657282,0.0021107844130152,4,0.000530386366878,0.0008108424355144,0.0021215454675122,4,0.0005273428119377,0.0008106735657093,0.0021093712477508
CHEMBL1881,6,0.045540954622685,0.1537842052477922,0.2732457277361101,6,0.00047933461252,0.0005444404172623,0.0028760076751202,6,0.0004743437398784,0.0005393420828279,0.0028460624392705,6,0.0004733075810867,0.0005491911751487,0.0028398454865205
CHEMBL1882,3,0.0222889815561612,0.0229847162537001,0.0668669446684838,3,0.0004878135630269,0.0004983975909496,0.0014634406890808,3,0.0004943842959022,0.000500467121225,0.0014831528877067,3,0.0004926539126606,0.0005054886485959,0.0014779617379819
CHEMBL1883,3,0.0222889815561612,0.0229847162537001,0.0668669446684838,3,0.0004878135630269,0.0004983975909496,0.0014634406890808,3,0.0004943842959022,0.000500467121225,0.0014831528877067,3,0.0004926539126606,0.0005054886485959,0.0014779617379819
CHEMBL1886,14,0.0183617510504308,0.1262818772289532,0.2570645147060324,14,0.0005206767329353,0.0008107818657282,0.0072894742610945,14,0.0005187921963926,0.0008108424355144,0.0072630907494975,14,0.0005219134349192,0.0008106735657093,0.00730678808887
CHEMBL1889,9,0.0465420997129753,0.1537842052477922,0.4188788974167785,9,0.0005185741224294,0.0008107818657282,0.0046671671018646,9,0.0005112831813621,0.0008108424355144,0.0046015486322596,9,0.0005101809879687,0.0008106735657093,0.0045916288917187
CHEMBL1892,2,0.0255467560383263,0.0451741251076365,0.0510935120766527,3,0.0005210321324692,0.000770857492123,0.0015630963974076,3,0.0005266405306448,0.0007670718705019,0.0015799215919345,3,0.0005007331275348,0.000709655789783,0.0015021993826045
CHEMBL1893,6,0.0085767343853642,0.0229847162537001,0.0514604063121853,6,0.0004428534199843,0.0004864046289194,0.002657120519906,6,0.0004571781953768,0.0004950294023541,0.0027430691722611,6,0.0004481213519752,0.0004931057336792,0.0026887281118517
CHEMBL1898,6,0.0466208612122854,0.1537842052477922,0.2797251672737126,7,0.0004483841766129,0.0005265310806402,0.0031386892362908,7,0.0004417815109638,0.0005267415572554,0.0030924705767472,7,0.000438202962421,0.0005182265072725,0.0030674207369474
CHEMBL1899,3,0.0222889815561612,0.0229847162537001,0.0668669446684838,3,0.0004878135630269,0.0004983975909496,0.0014634406890808,3,0.0004943842959022,0.000500467121225,0.0014831528877067,3,0.0004926539126606,0.0005054886485959,0.0014779617379819
CHEMBL1900,5,0.0157849021690091,0.0451741251076365,0.0789245108450455,5,0.0004983090587363,0.0005292513098544,0.0024915452936818,5,0.0004754919991073,0.0005106120661872,0.0023774599955367,5,0.0004760047757043,0.0005043894392236,0.0023800238785216
CHEMBL1901,7,0.0414232286742356,0.1537842052477922,0.2899626007196492,7,0.0004782846813666,0.0006110699911817,0.0033479927695662,7,0.0004700817472259,0.000591415289828,0.0032905722305815,7,0.0004687783990629,0.0005938015641085,0.0032814487934405
CHEMBL1903,6,0.0105648588738044,0.0229847162537001,0.0633891532428268,6,0.0004355533341676,0.0004864046289194,0.0026133200050056,6,0.0004479944920877,0.0004950294023541,0.0026879669525267,6,0.0004403812513267,0.0004931057336792,0.0026422875079607
CHEMBL1904,32,0.0315488121829013,0.1537842052477922,1.0095619898528427,32,0.0005608719625799,0.0008925004860879,0.0179479028025578,32,0.0005638635711007,0.0008762298186756,0.0180436342752239,32,0.0005595057870633,0.0008304627284669,0.0179041851860266
CHEMBL1905,73,0.0239124349053916,0.1537842052477922,1.745607748093593,73,0.0005983905968381,0.0011889145420541,0.0436825135691843,73,0.0005934774258678,0.0011637808096138,0.0433238520883565,73,0.000585470999641,0.001136726839655,0.0427393829737993
CHEMBL1907,6,0.0408155326985074,0.1097527112367198,0.244893196191045,6,0.0004735053847737,0.0005758713305384,0.0028410323086424,6,0.0004605645909572,0.0005641791011353,0.0027633875457436,6,0.0004680938347241,0.0005673045318414,0.0028085630083451
CHEMBL1910,5,0.0369375063249531,0.1262818772289532,0.1846875316247657,5,0.0004831603970032,0.0005083924665701,0.0024158019850163,5,0.00047999376816,0.0005001339661636,0.0023999688408,5,0.0004853473182479,0.0005019766577784,0.0024267365912396
CHEMBL1911,4,0.0124293669910237,0.0229847162537001,0.049717467964095,4,0.0004554274810722,0.0004864046289194,0.0018217099242888,4,0.0004693494716731,0.0004950294023541,0.0018773978866926,4,0.000460774089622,0.0004931057336792,0.001843096358488
CHEMBL1912,2,0.0540988665101652,0.0605095401637408,0.1081977330203304,2,0.0005219703315096,0.0005329538944032,0.0010439406630192,3,0.0004370185785079,0.000513848015323,0.0013110557355239,3,0.0004403397929747,0.0005201500436453,0.0013210193789241
