gene,log2FC,pvalue,FDR
KLHL29,-3.570155863539444,1.9057356769299856e-71,3.469010652715653e-67
RYR3,-3.8294004138969027,7.995635760590681e-70,7.277227887501608e-66
SYNM,-4.5609582842092085,1.8628981864022038e-66,1.130344522902644e-62
LRRC3B,-4.108545440862913,1.343319435846817e-65,6.1131109226799015e-62
PDE1C,-4.517016116894519,1.7563230091557017e-65,6.394069547132247e-62
GFAP,-4.958138856139472,1.1177959559841426e-64,3.391206631129891e-61
UBE2T,3.4578829298883713,2.0656526152585343e-63,5.371582079364443e-60
EDN3,-6.4528394707136565,8.703058185955855e-62,1.9802721019869304e-58
LOC284578,-4.093217785024458,9.812882808191897e-61,1.9847100639724123e-57
LOC728264,-4.218903837953093,2.3521077667065685e-60,4.2815417677359663e-57
CLCA4,-4.812536059199798,2.870937958848715e-60,4.7508803331748334e-57
ERCC6L,3.2679136460554368,1.5997451692108642e-59,2.426680109595447e-56
FGF2,-4.392398193904425,2.175366323848373e-59,3.046014861000918e-56
SGOL1,3.743925084660731,2.657239167913542e-59,3.4549803266807286e-56
PAMR1,-4.071418161294371,4.796708711781287e-59,5.820965912036984e-56
ABCA10,-5.144969798068482,5.329671781682395e-59,6.063500965122789e-56
C10orf90,-4.8938105104728455,7.0808933758879714e-59,7.581970713016985e-56
FIGF,-6.310055060830301,4.582394060745554e-58,4.634073282652851e-55
EXO1,4.002559300137966,4.961895117284929e-58,4.753756674733556e-55
NPY5R,-4.71335048287972,6.425712717612805e-58,5.848362429935294e-55
SLC7A3,-5.082443772732975,7.913772649437898e-58,6.859733501796098e-55
SDPR,-5.099636999874576,9.454427781011431e-58,7.822679495352322e-55
USP44,-3.259631293114259,1.5270101796736872e-57,1.2085289695913098e-54
TPX2,3.651912304026088,2.4851696592379469e-57,1.884897637796181e-54
AURKA,3.369425109745393,2.8706988448800524e-57,2.0902132429340638e-54
PAK7,-4.904823102972533,8.330058783244426e-57,5.832002308899934e-54
CA4,-6.142256791671891,1.8374133752303507e-56,1.23875687664141e-53
RRM2,4.352400225761945,3.001526290087191e-56,1.9513136806591834e-53
SPHKAP,-5.217679505832183,4.693138835759965e-56,2.9458346974944357e-53
TSLP,-4.559038881224131,5.978568717110276e-56,3.6275962119186117e-53
CAV1,-3.2950576320080263,6.800408534663702e-56,3.993156017951076e-53
PI15,-5.110689263765203,7.574160094154238e-56,4.30851363105905e-53
NEK2,4.39654223002634,1.8602546512748195e-55,1.0261277399138042e-52
BUB1,3.7726674275680425,2.1170162718182585e-55,1.1334131528208165e-52
CKAP2L,3.5752916844349674,2.268777251731298e-55,1.179958637521852e-52
CDK1,3.4802658096074257,2.394519057362375e-55,1.2107619555879808e-52
ZWINT,2.913328972783143,3.1204031470177233e-55,1.527489579099763e-52
NCRNA00092,-3.3690826037877835,3.188738340152227e-55,1.527489579099763e-52
BAI3,-2.858189063087922,3.655929445332214e-55,1.706381633163649e-52
RNF186,-4.035447171704504,3.834958391249577e-55,1.7451936898979013e-52
FAM83D,3.732776934654458,4.108468695171439e-55,1.824059894102578e-52
C2orf40,-6.577106308792171,5.125298013951447e-55,2.221328565427576e-52
HJURP,3.834642882227521,8.349931299502379e-55,3.534739521973065e-52
CEP55,3.775065420795185,1.0896829770788963e-54,4.508068007219807e-52
CMTM5,-3.377638504954221,1.4464859494134852e-54,5.851196386038594e-52
NTRK2,-5.402021485011916,1.560182855044898e-54,6.173914893561364e-52
KIF4A,4.545865157406246,1.8601707447087952e-54,7.204401716156213e-52
CCNB1,2.5815295748150016,1.9023520414705115e-54,7.214273793934941e-52
KCNJ16,-5.519781951586605,2.2836946913534683e-54,8.483692748307589e-52
DSG1,-5.454096651197792,2.3578766463617404e-54,8.584085718744552e-52
SMYD1,-6.302791508842343,2.5770060754973345e-54,9.197890508289801e-52
ANGPTL7,-5.670257456415401,3.180939456019317e-54,1.080072169485071e-51
IL17B,-4.085739182240061,3.104048907889997e-54,1.080072169485071e-51
HOXA4,-2.9628736360215733,3.204081588320268e-54,1.080072169485071e-51
KL,-3.0829730590743774,3.462864972530782e-54,1.1460823835450515e-51
CDCA8,2.9015706007776245,5.1420642589813384e-54,1.6714463518970948e-51
KIF11,2.6924739872068226,5.47907458807672e-54,1.7497472759080794e-51
CYYR1,-2.476215264016055,6.520373463548013e-54,2.0463854854649046e-51
PLK1,3.6349567289602414,1.0062173120163096e-53,3.104436225530997e-51
RAD51,2.8650671265521135,1.04484249570027e-53,3.169877991538669e-51
CDKN3,3.454410598269159,1.613200887335414e-53,4.8139501233059906e-51
CDCA5,3.0811658221497575,4.285936173896571e-53,1.2583370350554724e-50
NCAPH,3.263316819265021,5.571901763356695e-53,1.6099258380695543e-50
TROAP,3.883273209582341,5.86646976680212e-53,1.6685523307046715e-50
SKA3,3.4389959989966137,7.009226390919624e-53,1.9629068922139987e-50
ROPN1,-4.9987216104352195,9.136478021756215e-53,2.5198683246974e-50
TTK,3.245294932898531,9.648968548017038e-53,2.621495141485883e-50
ADAM33,-4.16956697604415,1.0204993442513983e-52,2.7317867005012066e-50
CENPI,2.9699014674526536,1.436238244649064e-52,3.7889630097604225e-50
NUF2,3.787587420042641,1.5196674411342361e-52,3.951786632995214e-50
FXYD1,-5.684259413018939,2.286656171179329e-52,5.862535532954553e-50
DTL,3.129717634516493,2.355490533439469e-52,5.955138080583146e-50
ANLN,3.7588676658723195,2.6443135352450922e-52,6.593758805762522e-50
TRPM3,-2.5590600025084664,3.435987545262224e-52,8.452065038703819e-50
LEPR,-3.2809428822275217,5.556899230917994e-52,1.3486964893386698e-49
NUSAP1,3.3381842217484,7.226707866088737e-52,1.7308916221896486e-49
GPRASP1,-2.930362046908316,7.669061812261215e-52,1.812986132059622e-49
SCN4B,-3.619179944813748,1.10783574470501e-51,2.585376161649397e-49
ATOH8,-3.9946856641163917,1.6612844792633242e-51,3.827893845067126e-49
CAV2,-2.755932196162046,2.5619709175009635e-51,5.829444576408754e-49
NCAPG,3.2013088925122277,3.52543581511731e-51,7.922655326244493e-49
NEIL3,3.7952591997993217,3.5770540645643054e-51,7.940623797227323e-49
FOXM1,3.5185555625235168,3.977821189784219e-51,8.72388905031833e-49
HIF3A,-5.109698908817258,4.265222819134887e-51,9.242839401989565e-49
MELK,4.201944286968521,4.557066112682768e-51,9.759091111666402e-49
CENPA,3.4874960491659346,5.100013182874503e-51,1.0794830228821462e-48
ANKRD53,-3.2765698984071236,5.51091937699559e-51,1.1530490278097783e-48
UBE2C,4.318175993979681,6.235533424828952e-51,1.2753417408108023e-48
GINS1,2.576268092311551,6.175668732407694e-51,1.2753417408108023e-48
ANKRD29,-3.7884201304402367,6.523923414990818e-51,1.3194997547008651e-48
MIA,-5.428937288348175,8.022778835861351e-51,1.6048202543866392e-48
BUB1B,3.4014900413896907,8.178403093770675e-51,1.6181681686511693e-48
CCNB2,3.4854923993478,1.107162087684759e-50,2.1670614496909323e-48
AASS,-2.391951373385176,1.3994130319902345e-50,2.7099484490764082e-48
NPY2R,-5.9796828420920605,1.6140204703841683e-50,3.092633118147686e-48
CLDN19,-5.231553179480747,1.7439465207234573e-50,3.3067769288259475e-48
PLSCR4,-2.6049872569923496,1.7979053826200515e-50,3.373945534003381e-48
MCM10,3.577555336761569,2.133729104815877e-50,3.9632929484656543e-48
EPHB1,-3.548217559262511,2.5090322867392576e-50,4.6133247187388587e-48
KIF2C,3.5715510221999267,2.618163542081113e-50,4.76584309565025e-48
LDB2,-2.14787426313809,2.6780263357996124e-50,4.826545880253499e-48
TMEM220,-2.973355060830303,2.8167966879115637e-50,5.0268774617700196e-48
HMGB3,2.7518343409005386,3.535123694955645e-50,6.247558895075495e-48
HMMR,3.603545766963501,3.8209810574312803e-50,6.687819056578999e-48
KIF20A,4.0187078264141505,3.933258879641749e-50,6.818772512963692e-48
KCNE1,-4.604525699234916,6.524511801610502e-50,1.1204310219312826e-47
DLGAP5,3.9388803336259874,6.786746574212459e-50,1.1545714756111158e-47
EZH1,-1.969927028721937,7.32441590346408e-50,1.2345031730625615e-47
GTSE1,3.3267207826414174,8.267062009934142e-50,1.3805993556590018e-47
SCN2B,-4.579487056315063,9.07979955652247e-50,1.5025417393398048e-47
CCNA2,2.9696148752038116,9.758092525102542e-50,1.6002392633733474e-47
SKA1,3.167094782390568,1.0110472039173707e-49,1.6432225225810625e-47
POLQ,2.9313555123541963,1.090039755579787e-49,1.7559286434352976e-47
SHCBP1,3.1868326978552624,1.2723135093074562e-49,2.03157217630909e-47
MESTIT1,-3.2189915088423433,1.3954204034195224e-49,2.2087684872561362e-47
ASF1B,3.065814900288472,1.7015589988588164e-49,2.67012745312302e-47
PROS1,-2.5037115264016077,1.734100392580703e-49,2.6979341406962854e-47
PPP1R12B,-2.244605932522264,1.7791232874272692e-49,2.74452383059649e-47
KIFC1,3.0629155524896543,1.9143316233928884e-49,2.928283910976534e-47
WIF1,-6.225665445879844,1.9370822530087974e-49,2.9383923542932614e-47
MYBL2,4.265252652702872,2.2043509205940328e-49,3.3161818022787747e-47
SPC25,3.2003075755675416,2.64921148651446e-49,3.952753826969075e-47
CDC45,3.837911965383168,2.710227787699319e-49,4.0109167820724146e-47
ARHGAP20,-3.2211467703499315,2.857251703997489e-49,4.194399416763411e-47
MAP1LC3C,-3.848958058447259,2.9002808293892895e-49,4.223504954989859e-47
IQGAP3,3.800044123918224,3.428834624938309e-49,4.953577514107306e-47
LEPREL1,-2.959967954345915,3.6197085805226474e-49,5.18815395994124e-47
KIF18A,2.671695672896022,4.338424208652345e-49,6.169713739851456e-47
PRC1,2.5371868305531162,4.667371303999518e-49,6.586058902845211e-47
CENPE,2.8989106358961516,5.218868138893026e-49,7.307619748636134e-47
FAM54A,3.333213533174464,5.2849108456709175e-49,7.343605505629597e-47
FAM150B,-4.155600777624482,5.3508552328660175e-49,7.378910439686373e-47
SLC7A14,-2.525117371127555,5.721256153026226e-49,7.830377876205744e-47
KIF14,3.84885161168945,6.46824683833092e-49,8.786678895383414e-47
RERGL,-5.121747347297129,8.16998343051256e-49,1.1016163584120009e-46
GDF5,-3.3986539696475604,8.84447869551216e-49,1.1809277385498943e-46
C18orf34,-3.739587946820519,8.88793606445836e-49,1.1809277385498943e-46
PDGFD,-2.6796193151887664,1.0164367198826377e-48,1.3407389573930186e-46
TNMD,-5.044605443371377,1.0969220694477902e-48,1.4364944194358364e-46
KIF23,2.6913202809482,1.64099023221863e-48,2.133638942648266e-46
EFHA2,-3.2126601781010904,1.655541328014608e-48,2.1372921130390005e-46
MKI67,3.5935805092186115,1.8594474578018688e-48,2.383628315096297e-46
PDE2A,-3.5017878088548855,2.0092298926548823e-48,2.557623198321456e-46
IGFBP6,-3.4429554496425467,2.6125304734960184e-48,3.3024925145172237e-46
E2F8,3.730391759688951,2.828478788867255e-48,3.550813751293148e-46
MMP11,5.5634857268280475,2.928712815126284e-48,3.651462970804366e-46
AQP1,-2.716599899661359,3.374044434443781e-48,4.178076927903411e-46
PKMYT1,4.3511071616706385,5.008743427188684e-48,6.160415986832137e-46
C2orf71,-2.2498167816380286,5.700082906146647e-48,6.9636650429924445e-46
LRRTM2,-2.910037338517498,5.757664424179283e-48,6.987117700889032e-46
FAM111B,3.5443659350307293,6.178767478979771e-48,7.44848373641515e-46
HEPACAM,-5.160029123291108,8.226361836518047e-48,9.851609507245922e-46
CENPF,3.13528551360843,8.371524769442936e-48,9.959925841710442e-46
GPR146,-2.753077110247083,1.0064044800049319e-47,1.1895831655538815e-45
ASPM,3.8076881725824663,1.505610603480337e-47,1.7681696654937147e-45
NECAB1,-3.174037225636523,1.5359867008562103e-47,1.7922798663901024e-45
FANCI,1.8724727078891252,1.7635684446404277e-47,2.0447284329802358e-45
TNXB,-4.450001379656339,2.480310070161236e-47,2.857536975135759e-45
CRISPLD1,-3.9838931393452928,2.620320060887768e-47,2.999854469706921e-45
PTTG1,3.122416430452777,2.8155490931929134e-47,3.203215008961913e-45
KIAA0101,3.5378552865922517,3.233878142483259e-47,3.656290920970358e-45
CEP68,-1.5443387808854876,3.2846760307616046e-47,3.690799863453919e-45
CDC20,3.5154453906935883,3.3092430090702194e-47,3.69559205485308e-45
C16orf59,2.6866129436849358,3.5761586324018754e-47,3.969318023512886e-45
CDC25C,3.7713587984447536,3.6828645190157105e-47,4.0629807781601806e-45
POC1A,2.1646974539069346,4.1390343766785523e-47,4.538725467390343e-45
DEPDC1B,3.2789121033488016,4.584554929769601e-47,4.9971648734488645e-45
SEMA3G,-3.3076788160040147,5.226855316157068e-47,5.663359959524232e-45
CAPN11,-3.78096833061583,5.5782655051603e-47,6.008353076356979e-45
MAB21L1,-3.2522517245704234,6.1038679059487415e-47,6.535806323057937e-45
TGFBR3,-4.287532396839333,7.093930379172771e-47,7.551509631115903e-45
PER1,-2.6614787532923607,8.176685130524992e-47,8.65349996691549e-45
B3GALT1,-3.1570704753543213,8.634650453168815e-47,9.085349260059651e-45
HSPB2,-2.8851999874576704,9.38721844874576e-47,9.820433185202245e-45
TAL1,-2.2885846983569547,9.640703351067763e-47,1.0027984177113514e-44
ITIH5,-4.227434667001128,1.0057083724794803e-46,1.036340784573432e-44
DST,-2.822346218487393,1.0077037788798412e-46,1.036340784573432e-44
WDR62,2.9622825536184623,1.0766378692891403e-46,1.1010134345320349e-44
AURKB,3.442589263765207,1.1100402284823944e-46,1.128830294919834e-44
MPPED2,-3.269417032484637,1.1259897815512917e-46,1.1386884440876758e-44
MYOM1,-3.834826777875331,1.6860803922016194e-46,1.6956752143229877e-44
CDCA3,2.8615645804590484,1.8150142977639277e-46,1.8153134759448778e-44
PEAR1,-2.475874802458298,1.972564950155905e-46,1.9621092780157344e-44
OIP5,2.8754491659350316,2.4689427534759733e-46,2.442508964213214e-44
E2F1,2.718655926251097,2.596664041014842e-46,2.5549770561401713e-44
CPA1,-3.5561214850119147,3.3880517283137656e-46,3.3157368607793267e-44
LHFP,-2.2029146368995374,3.827044944536428e-46,3.705515910925351e-44
