sample,log2FC,pvalue,FDR
NRG2,-1.3118156085047217,9.231185202829611e-79,3.6529405271110304e-76
TRPM6,-1.005007164216947,4.7233321684641015e-77,1.5632511902282188e-74
TSLP,-1.115166919281049,6.009728009728752e-77,1.922157791024609e-74
PTPRZ1,-1.1296282873343628,2.4968752508516724e-71,5.106811257444156e-69
CXCL2,-1.0594401201668329,5.83695266372125e-70,1.0416671503697836e-67
RYR3,-1.0240876997952957,7.680838869438359e-70,1.344368364811408e-67
RELN,-1.0062306102458423,5.555639444427229e-69,8.949496000611403e-67
MAPK4,-1.1627427821861906,2.276148309305265e-68,3.4817418213683816e-66
USP44,-1.0751224085967837,1.3488108473004043e-67,1.964192308272741e-65
GFAP,-1.1550104418859417,5.058173475855782e-66,6.438736488182014e-64
PTCHD1,-1.3868075221051936,1.7867956228277044e-64,2.0201888647411618e-62
PAK3,-1.2527931966025856,8.615897289360623e-63,8.001794814195481e-61
SLC6A2,-2.0329277556406904,1.3385826180627568e-62,1.2306171412422404e-60
FIGF,-1.3189968664352196,3.029916068909342e-62,2.7439583185252115e-60
CD300LG,-1.0519706090069785,7.256966796711356e-62,6.443832517099356e-60
FGFBP1,-1.9040641799232736,1.0846999237573215e-61,9.447269240265322e-60
HIF3A,-1.3545593540966447,6.1589344788436645e-61,5.063110079106347e-59
ADH1C,-1.0080041614873418,8.632484755584775e-61,6.952969911765915e-59
VGLL1,-1.4989538217642897,4.6204110918102125e-59,3.2473105445645285e-57
C10orf90,-1.6186795047728135,1.2903618698811186e-58,8.635462175531619e-57
PIK3C2G,-1.0047517388481695,5.147056285204716e-58,3.2759393552301204e-56
LOC284578,-1.6310467514280518,1.0625785913437841e-57,6.624013047339349e-56
NCRNA00092,-1.8011017369778188,1.9947207565328295e-57,1.214377991008933e-55
SCARA5,-1.0767365380670517,2.3214220177811533e-57,1.4038818933445295e-55
GPR12,-1.657840325371566,4.9852122280637465e-57,2.9367578701438306e-55
TTYH1,-1.0226780305679568,9.09735984112755e-57,5.290710581087693e-55
DACT2,-1.3379794194898842,1.6456602610149003e-56,9.274289080883662e-55
PLAC1,2.0026154303060073,3.4369720015944405e-56,1.8901269288526765e-54
KCNJ16,-1.5941042543831763,6.326451502818712e-56,3.387070491347324e-54
MUC15,-1.0364732350592782,7.336514828771168e-56,3.9048707435123265e-54
SLC6A14,-1.0848073135513017,8.074349433445529e-56,4.2602139923770715e-54
HS3ST4,-1.9982522806125442,1.3209033942999679e-55,6.889514179496366e-54
CST4,2.685135138680286,3.435784345806624e-55,1.7421053606328127e-53
LRRC3B,-1.875984479195716,1.4222683043025618e-54,6.813039458741983e-53
HPSE2,-1.6903163204378644,1.9297619223739974e-54,9.12401461635685e-53
ROPN1,-1.7709829373777952,2.2715779566753175e-54,1.0684633991049303e-52
SLC24A2,2.3022116926781617,5.575758962170286e-54,2.5310608575657288e-52
CA4,-1.8678361274133752,4.310474552004531e-53,1.8505558554277943e-51
CXCL3,-1.5017769097857099,6.5905586636777285e-53,2.783478871343984e-51
KCNB1,-1.0382946356483134,8.853149723570897e-53,3.670931307930775e-51
CXCL1,-1.00439181612056,1.2555034164104465e-52,5.158900381245905e-51
METTL11B,2.987149727121961,1.683726474156055e-52,6.841266296665775e-51
DLK2,-1.0638034962949827,4.88032545316569e-52,1.8982171842729714e-50
FABP7,-1.5570779640488976,7.466065738096194e-52,2.8491571201376317e-50
SMYD1,-1.5729685936938118,8.457115154810407e-52,3.2071847325627884e-50
CLCA4,-1.8169983830805396,1.2335260872888178e-51,4.620138964386492e-50
COL10A1,1.1710176508229977,1.3630547827827187e-51,5.084361928482342e-50
SCN5A,-1.0060027526344113,1.7169808842109254e-51,6.365418133460586e-50
ROPN1B,-1.478014012409905,3.361137219513451e-51,1.2067609626588432e-49
KLK8,-1.3148828883311177,4.443871441500502e-51,1.5738450197111667e-49
GRIA4,-1.292047737437256,5.756206850352436e-51,2.0034461433454183e-49
TMEM145,1.344760670190489,1.9681758848206946e-50,6.585791476358659e-49
CAPSL,1.8461671544449936,2.336913234360924e-50,7.734333019103982e-49
GRM4,1.501320093808486,5.437026783513363e-50,1.7673249739338167e-48
KY,-1.2598577209359458,1.0600754645660618e-49,3.367635895549044e-48
ALDH1L1,-1.0566110387265937,1.5848093770107125e-49,4.9397748441311636e-48
GSTA1,-1.6554663269026848,2.164261276220473e-49,6.665997971411382e-48
DSG1,-1.3428611990728154,5.109571856859778e-49,1.5322823148339132e-47
LOC283867,1.8297512440603194,5.328265113296658e-49,1.5900067189727715e-47
FAM196B,-1.2229345727107304,7.330794903073e-49,2.1627627167040165e-47
C4BPA,-1.7059437466165612,7.471150736832526e-49,2.200604479976739e-47
KCNH8,-1.207335105889933,7.824327206117468e-49,2.300908370483946e-47
RNASE7,-1.252515926734721,8.134647384130415e-49,2.3883062311826765e-47
WNT6,-1.1686669061738493,1.5699775867883344e-48,4.507618613928714e-47
HOXA6,-1.0210387568030352,1.6528621776396133e-48,4.723241792711755e-47
WIF1,-1.6987456136427015,1.9083946298188934e-48,5.427891788530205e-47
MYT1,1.6147918523578644,2.760634304288145e-48,7.71917453778143e-47
SPHKAP,-2.1396164770037336,3.615708929314475e-48,1.000677314119538e-46
PI3,-1.5745931895972003,4.3685396614504105e-48,1.1994046373662417e-46
DRD2,-1.0974748850051226,4.772821472223704e-48,1.308428753898917e-46
FAM3D,-1.5396739327573716,9.033224670804969e-48,2.421675827432443e-46
PAK7,-1.291500324157781,1.120339522734459e-47,2.981511744493473e-46
SAA4,-1.3286247292954527,2.958255239780174e-47,7.638173068045178e-46
NPM2,-1.2207391996048198,4.694658296058936e-47,1.2002368674601238e-45
EDN3,-1.3399298753276094,5.760877765536379e-47,1.4605189131763053e-45
CIB3,1.8790451256519074,5.97967696211114e-47,1.5138812203241875e-45
LPPR5,2.1696332501974633,8.891668078982533e-47,2.2263415961722014e-45
GNG13,2.821982332530016,1.234540510016586e-46,3.0699919267529937e-45
PLD5,-1.696357003828626,1.4515893836689961e-46,3.595004292643094e-45
ANGPTL7,-1.7678478276639844,2.433901939884352e-46,5.946888189491927e-45
TRPM3,-2.0098343512047565,3.466723419800923e-46,8.369332415203742e-45
CST1,2.0640878688837123,4.0849959222648036e-46,9.796993514227433e-45
C10orf108,-1.0831319331868028,5.749584908497042e-46,1.366314544247672e-44
KRT37,2.264698833844215,6.629666259625446e-46,1.5632100378751554e-44
OXGR1,-1.2092911309022867,8.185575474306585e-46,1.9151931922725292e-44
FAM150B,-1.8582349763282417,9.395395009605754e-46,2.1898127446844243e-44
EMILIN3,-1.0526521412366103,9.460886457615497e-46,2.202257240255433e-44
PCDH11X,-1.3503978292361407,2.2641577689664843e-45,5.100799983724866e-44
RNF186,-1.7851009472408954,3.4389472699169335e-45,7.578590454515488e-44
CLDN19,-1.1519454409140015,4.588163935167649e-45,1.0062451579741774e-43
B3GALT1,-1.6959045652753086,4.731688659436775e-45,1.0352275080255723e-43
IL17B,-1.2377068208132649,5.402123817155714e-45,1.1776629921399456e-43
STAB2,-1.4715738834609544,1.1658769114563917e-44,2.47925904430382e-43
CST2,1.7388809764082382,2.0454370940606662e-44,4.264958925909084e-43
C8orf47,-1.369056454928962,2.71476993712969e-44,5.590153525517167e-43
MASP1,-1.1396908016957854,5.465096957364691e-44,1.1065757498877583e-42
KISS1R,1.7857390222860987,6.300451394501301e-44,1.2672609583879248e-42
CMTM5,-2.04492756261249,6.37118707004805e-44,1.280074152716166e-42
DPP6,-1.5885055221478996,1.6841166853741543e-43,3.282224413690121e-42
IBSP,2.2369519262939135,3.1120743004560182e-43,5.96934546798745e-42
ARMC3,1.2058118296408304,3.472172275357759e-43,6.625152193746048e-42
FAM57B,1.1797681761536616,4.775093509822916e-43,9.073176112662478e-42
COL4A3,-1.0622691289775203,5.127524459097804e-43,9.712417037352479e-42
LPPR1,-1.3367851248215603,8.406449831551078e-43,1.567854572579142e-41
GRM8,1.3223848222941927,1.0562626133787324e-42,1.9500150457741449e-41
