gene,log2FC,pvalue,FDR
SFRP1,-7.371084471108034,1.6034488230302426e-132,2.918757892561951e-128
SPRY2,-3.5838563934852274,4.024916200261042e-127,3.663277479667587e-123
BOC,-3.2272073334488445,1.0401903553338657e-118,6.311528346047452e-115
OSR1,-5.3490214069132795,5.822413113101119e-118,2.6496346474444917e-114
DMD,-4.65129206012302,7.59652133714307e-118,2.7655895580003056e-114
ID4,-4.591961656415143,2.8093888683176303e-115,8.523217594997638e-112
C2orf40,-6.6491661179935875,2.806410812888612e-113,7.297870861001631e-110
HOXA4,-3.4440558563631636,4.7199684041013826e-113,1.0739698107482184e-109
PROS1,-2.884070220046783,2.8097416713096605e-110,5.682858626983306e-107
CNTNAP3,-5.100193255652776,1.0732291081312002e-109,1.9535989455312235e-106
CYYR1,-2.7085006540760626,3.9947623702260557e-109,6.610605402293172e-106
CLDN11,-4.149653049467209,8.04421287271373e-108,1.2202400576834003e-104
TMEM220,-3.0748880966819723,6.580837106433369e-107,9.214690603723586e-104
KLHL29,-3.806955817378496,8.537630573511401e-107,1.1100749237830574e-103
SOX10,-7.689756354500566,3.8148511408805725e-106,4.62944902116327e-103
SCN4B,-3.5150137269340727,5.488691763883271e-106,6.244416011122948e-103
EGFR,-4.550735038551505,1.6154877081088553e-105,1.7298072206297349e-102
RGMA,-3.5682477952005573,3.5758393081708504e-105,3.6161668292574436e-102
TRPM6,-4.001253599584164,1.7245141609747926e-104,1.6521753301170605e-101
FOXC1,-3.1865463397730185,2.2628807522559796e-104,2.0595609166657795e-101
FMO2,-5.14241785930867,3.310291050902425e-104,2.738964909071675e-101
MAMDC2,-4.564427570822143,3.26681605704501e-104,2.738964909071675e-101
MEIS2,-2.7813085246469713,5.056352193711851e-104,4.0017729992233403e-101
TSLP,-4.762273971237979,1.0217584395756778e-103,7.749612031498359e-101
FGF2,-4.353600978948277,2.3433613856135245e-103,1.7062482920929195e-100
MYH11,-5.02142141557654,4.437800305933238e-103,3.1069722680347204e-100
AQP1,-2.9068419215108747,1.743924461503976e-102,1.1757280360280325e-99
FAT2,-5.75110470848133,6.351566612763072e-102,4.129198823290221e-99
ITM2A,-3.3761741574980526,2.5419436440143222e-101,1.595551729379059e-98
FAM107A,-4.797376695832975,4.6593412510686696e-101,2.827132959773433e-98
SYNM,-5.184443043402931,9.532122247974257e-101,5.5972006864475935e-98
NTRK2,-4.889666984319502,1.7524337865725242e-100,9.968610067806143e-98
C21orf34,-3.6231461275231736,1.9076164318890567e-100,1.0522527851417122e-97
SYN2,-5.041202871870398,2.474974452141105e-100,1.3250576456566041e-97
RHOJ,-2.2966349952352063,8.057794949593096e-100,4.1907440419269467e-97
FXYD1,-5.758871168673656,1.173364811720096e-99,5.932988796594696e-97
MOBKL2B,-2.764702525340036,1.4603176296416478e-99,7.184368057396464e-97
GIPC2,-3.7791130815212686,7.1328783951487314e-99,3.4168364586024307e-96
IL33,-4.871861309884777,2.5819996980746305e-98,1.2051318077962181e-95
PPM1F,-1.6162612189205579,1.6542263456303843e-97,7.52797054237747e-95
TINAGL1,-3.258782002079184,2.442613395662819e-97,1.084460771737812e-94
CHST3,-2.619918153859479,1.431926050360413e-96,6.206035689216809e-94
STAC2,-8.092534133240925,4.896294721706393e-96,2.0727268097493363e-93
MAPK4,-4.836793493892403,8.049130956248496e-96,3.329962063558895e-93
LEPREL1,-3.0543934505761046,1.4387016586204764e-95,5.819708064859674e-93
NRG2,-4.8593593866412546,1.9468887562238804e-95,7.704177397726803e-93
CAPN6,-5.3582437451269165,2.0327812900129348e-95,7.872918685554351e-93
CX3CL1,-4.2206665165035115,6.008369304090704e-95,2.2785488842158976e-92
ITPRIPL1,-3.4622405223945254,6.839306009686466e-95,2.540732393761689e-92
SCN3B,-3.876626552889196,8.844118441174577e-95,3.219789759694016e-92
MAML2,-3.058736441999476,1.7584231486732705e-94,6.276191485352852e-92
TSHZ2,-3.564735649311272,2.682845640024803e-94,9.391507535648363e-92
RERGL,-5.297909910768432,6.933581740383337e-94,2.3591512064665084e-91
HOXA3,-3.19834300441826,6.998525800647775e-94,2.3591512064665084e-91
CACHD1,-3.0796968855583495,9.838911047769988e-94,3.256321778228311e-91
ANXA1,-3.0708787620202713,1.9988137588236595e-93,6.497215509261977e-91
PLAGL1,-2.7414687776141395,4.8325942313129735e-93,1.543293206887545e-90
SPARCL1,-2.4205289569436026,8.693182611728445e-93,2.7283103979533254e-90
TACR1,-4.905419999133673,1.1833894255969621e-92,3.6510572396850003e-90
IL34,-3.411608862514079,1.9614919051327785e-92,5.950839524855328e-90
RGN,-4.222683505154639,2.6804803766404893e-92,7.998817097702758e-90
S100B,-5.725916750411503,3.567731686201764e-92,1.047474514256947e-89
JAM2,-2.5445366889023653,1.5883846967910879e-91,4.5894232755060594e-89
HOXA7,-3.2956065320973744,1.6435364967649858e-91,4.6745773204082866e-89
PTPRZ1,-6.102750160270293,1.7389130885438364e-91,4.8697592231943774e-89
KRT5,-7.51840896214156,2.0851027297988786e-91,5.7507765137165134e-89
HOXA5,-3.5908218877241627,3.919070079532538e-91,1.0647586963840417e-88
