gene,log2FC,pvalue,FDR
SCN2B,-5.10451803171973,1.5964419734920292e-91,2.906003324347541e-87
ZBTB16,-6.071821422653569,2.193175405193236e-87,1.996118595036624e-83
SDPR,-5.2551293585039645,8.754714035458262e-87,3.9840514896861685e-83
CENPL,1.9492300094685762,6.9859677170267805e-87,3.9840514896861685e-83
CCNE1,3.9559516747544095,1.995257074344596e-86,7.263932904858935e-83
FAM72B,3.575187915729672,7.411813965697344e-85,2.2486208269598122e-81
PDGFD,-3.071347431648719,3.7212032050932107e-82,9.67672313461596e-79
TRIP13,3.164096200733815,4.3486859254367344e-82,9.894891237590609e-79
LOC728264,-4.621078370221329,8.982288955363082e-82,1.816717842827491e-78
HDGF,1.6923405432595562,2.680227921220797e-81,4.8788188849982165e-78
FAM54A,3.6474688306308436,3.802445279595505e-81,6.292355584043362e-78
ZNF695,4.209408042371877,4.353878187641704e-81,6.604470387470162e-78
STIL,2.8395607823411053,6.257451345589849e-81,8.761875911059387e-78
CHEK1,2.2447030240265153,5.350530329158302e-80,6.956835970119184e-77
KPNA2,2.488871168185586,1.134281176468954e-79,1.3764880170176247e-76
C1orf135,2.918164989939637,2.4699323990712923e-79,2.8100112162684205e-76
RAPGEF3,-3.1891753994555607,3.624430116241675e-79,3.8809118474086594e-76
SCN7A,-5.049969286306071,8.269996548993312e-79,8.363263732295848e-76
CENPN,2.108262599124158,2.7067196392470315e-78,2.5931798733270376e-75
PAMR1,-4.487916794886972,3.588254980956222e-78,3.2658502709173054e-75
FAM72A,3.6645827316842237,3.442181542526528e-77,2.983715743743352e-74
CDC25A,3.2364108533554248,4.59420524760757e-77,3.801287187372755e-74
THSD1,-2.2686311338619953,7.05600125293271e-77,5.5843648177014836e-74
CD300LG,-6.824899402296129,9.322916091248797e-77,7.071043400375077e-74
CDCA8,3.860053047697953,1.6565338924752675e-76,1.2061554577890919e-73
KIAA1524,2.512574647887324,2.568734435739962e-76,1.7984104974528665e-73
UBE2T,3.6739121079417663,2.7943597324914265e-76,1.883915933723757e-73
FXYD1,-5.147397798556042,3.885998383302965e-76,2.526315306116567e-73
BTNL9,-5.051142655935613,5.29658621373946e-76,3.324612374093082e-73
ABCA10,-4.942304515327258,5.759485012121216e-76,3.494663522521416e-73
RAI2,-3.2851802343472594,6.983452085328491e-76,4.1006380099753075e-73
C15orf42,3.109594040714879,8.382480334957436e-76,4.768321548038444e-73
CCNB1,2.760995046751094,1.1473493341188392e-75,6.328848463322797e-73
SMC4,1.9499410995384068,1.5257727840982639e-75,8.168718232041382e-73
ATP1A2,-6.599259066161675,3.0403488339282495e-75,1.581241994971312e-72
CBX2,3.4387052136347496,3.871791250166943e-75,1.957728225744135e-72
ADH1C,-5.67383426440999,4.574243579860953e-75,2.250404213086728e-72
RACGAP1,2.035804462066517,5.022295564588728e-75,2.405811741110753e-72
C6orf97,-3.6892800864007578,8.201930825823455e-75,3.8281986364734456e-72
CTPS,2.034613824121198,1.150544909800374e-74,5.235842248274052e-72
HMGB3,2.569454290448574,1.5809291288857453e-74,7.018939739782249e-72
GPIHBP1,-4.868044703515211,1.6469769161196742e-74,7.138076381934864e-72
TENC1,-2.453054698780921,1.9135946954842198e-74,8.100735870209128e-72
ZBTB4,-1.4364138182033344,2.095209618595526e-74,8.667977428930536e-72
KLHDC1,-2.507329618889809,2.9646682221757457e-74,1.1992412366281134e-71
CDCA3,3.903193632382531,7.211330369052095e-74,2.8536488414751146e-71
MAB21L1,-4.131979021185938,1.1136787528083595e-73,4.313254114334163e-71
ADAM33,-4.693088460172801,2.081351094418016e-73,7.893090410768988e-71
RAD51AP1,3.0796808616404316,2.7728937946239917e-73,1.030101749868174e-70
FOXM1,4.621329222393182,4.061432579736211e-73,1.4786051449787652e-70
TTK,4.0230948277902705,6.80196008154296e-73,2.4277662620456178e-70
SPAG5,3.0296884779263813,8.293543952981731e-73,2.903218857233201e-70
TCEAL7,-3.233847839981064,8.866607255847998e-73,3.045261356192474e-70
DBF4,1.7585939756184166,1.025065508311594e-72,3.45541989773999e-70
FAM72D,3.5525361699609412,1.118048674489322e-72,3.6919899538520615e-70
PGR,-5.525295017161791,1.135809687500497e-72,3.6919899538520615e-70
PRC1,3.0648541839270926,1.2169994103781387e-72,3.8864982924760104e-70
SCN4B,-3.8112592910403604,1.5297758644123671e-72,4.8011224241203996e-70
AVPR2,-3.7833907385489396,4.042835706825125e-72,1.2473175995141992e-69
ABLIM3,-3.830197958338265,4.505280474707346e-72,1.366827008018297e-69
STMN1,2.498884353177891,5.022925422529897e-72,1.4988903519067496e-69
LHFP,-2.640018221091255,6.358025147492665e-72,1.866695673545306e-69
SCUBE2,-4.862313338856674,7.898313940310588e-72,2.2821112484995815e-69
MCM10,4.404075937980823,8.891730594285151e-72,2.529002687621447e-69
CAPN11,-3.9276095750976463,1.0056001047115713e-71,2.8161444163176513e-69
PDE2A,-3.8077155994792298,1.26206556771411e-71,3.480815080166658e-69
C9orf100,2.184353083205111,1.524417078458282e-71,4.1416364297277774e-69
CDCA2,4.1379009054325975,1.8428531265213206e-71,4.933155215009942e-69
NOSTRIN,-3.6488715706000674,3.4492886873446817e-71,9.099623474744239e-69
LMOD1,-3.78690466327376,4.91303856757053e-71,1.277600586364091e-68
AURKA,3.522647928748965,6.3199600466874594e-71,1.6203131370401664e-68
SPARCL1,-2.937809362054681,6.7829657530897825e-71,1.7148656333818516e-68
CDCA5,3.6668352881997874,7.89105800488851e-71,1.967683957027199e-68
PHYHIP,-3.5066993312818084,8.552322826575724e-71,2.1037558434075393e-68
DONSON,1.9444680376375878,8.704153530235098e-71,2.1125560894782596e-68
C5orf4,-3.2456380281690134,9.687840700608341e-71,2.3203653193838636e-68
PEAR1,-2.961484009942007,1.0003400813994515e-70,2.3648299352875606e-68
ORC6L,3.4343740975263373,1.3786852445577458e-70,3.217462500857006e-68
FIGF,-5.885757604450229,2.2124203657310226e-70,5.034085989675226e-68
CENPF,3.9473311516155754,2.2022717777136907e-70,5.034085989675226e-68
CENPA,4.451747804473903,3.424823561803331e-70,7.696551024136547e-68
FEN1,1.9015719493431202,7.743521189356924e-70,1.718967270852001e-67
CBX7,-2.428957574860931,8.239741566246929e-70,1.807084526872203e-67
E2F3,1.797354284530714,8.894148099992492e-70,1.927383069811468e-67
GSG2,2.669869552609777,9.267760954329264e-70,1.9724760020605854e-67
MAD2L1,2.6229184696413768,9.318954907279587e-70,1.9724760020605854e-67
KL,-3.326122848857854,1.0569926332387482e-69,2.2115444715913715e-67
SKA1,4.120890525505976,1.194467156376468e-69,2.4707824599455513e-67
GINS1,2.7841858030536155,1.624144278868275e-69,3.3218312705886755e-67
TPX2,4.39480822582554,1.888935821711311e-69,3.820477640290111e-67
C18orf34,-3.7968099775121305,2.161371540608436e-69,4.323455621285205e-67
DIAPH3,3.3188527399692296,2.2516080922903336e-69,4.45500240260445e-67
CALCOCO1,-1.691114202864247,2.363450062572994e-69,4.6260087622598077e-67
CYBRD1,-2.751434157888509,2.4882387367308104e-69,4.8184478430543556e-67
EZH2,2.9409316546336868,2.9158551110427874e-69,5.587085324874933e-67
FAM83D,4.244907752396731,3.3730370475185935e-69,6.39577014333135e-67
NOVA1,-4.669150840336134,3.585716458437035e-69,6.728948112673128e-67
KIF11,3.014441046277666,6.90169737930783e-69,1.2819550754646985e-66
C10orf32,-1.4190906320274586,1.1990859746369224e-68,2.2047436359915048e-66
KIAA0141,-1.1354430405965203,1.2950696947230707e-68,2.3574153653044057e-66
BLM,2.787649224760327,1.4219382621518377e-68,2.5627269491039505e-66
DSCC1,2.2449772280743314,1.477322099982142e-68,2.6364406064681306e-66
LDB2,-2.671039661498403,1.857062955056422e-68,3.281953103970102e-66
CCNA2,3.6527849508817596,1.9482232733642697e-68,3.409952715870173e-66
TNXB,-5.096659977512128,2.001073336237644e-68,3.469098851384175e-66
ARHGAP11A,2.75881509646112,2.0503687135094687e-68,3.5159166847116246e-66
EXO1,4.558108480293525,2.0667092526734264e-68,3.5159166847116246e-66
NUF2,4.702991046277665,2.3793343708073414e-68,4.0102799585005587e-66
FAM47E,-3.3005954373298603,2.843709937072173e-68,4.748995594910529e-66
ARHGAP20,-3.7268730263936565,3.1026192895488966e-68,5.134270811605324e-66
NKAPL,-2.737607202035744,3.3594511475852377e-68,5.509197228783251e-66
SLC16A12,-3.9166233222866618,3.754527786862301e-68,6.102113330737006e-66
RNASE4,-2.5942630311279427,5.869796841372585e-68,9.372623851184664e-66
CKS1B,1.7150357083678553,5.861174378983049e-68,9.372623851184664e-66
HRC,-2.9166129364421822,6.04161968572988e-68,9.513149670588629e-66
KIF14,4.67265871700793,6.062326879021485e-68,9.513149670588629e-66
PLK4,2.2045741034441937,8.705412332615214e-68,1.3543984674409809e-65
USHBP1,-2.86467151733933,9.497523551934408e-68,1.4530516017277437e-65
SGOL1,4.064699207006746,9.499156216316073e-68,1.4530516017277437e-65
TBC1D9,-2.7893563261924488,1.1327751298498802e-67,1.7183254740547808e-65
SRPK1,1.5804715173393298,1.4756284711317497e-67,2.219906203306714e-65
CRY2,-1.7642118061309002,1.9473262178201e-67,2.9055064871294492e-65
ORC1L,3.3448050360989434,2.0339859551376787e-67,3.0101338488919644e-65
KIF18A,3.1628789501716135,2.2302165753086447e-67,3.273921961318005e-65
ANKRD29,-3.485260113622915,2.3630237293487358e-67,3.441129675626803e-65
CENPE,3.3910340750384664,3.043024646988277e-67,4.396204575327588e-65
RAD54L,4.033630926736894,3.416244467181794e-67,4.896527404418126e-65
TPCN1,-1.3436057107349964,4.1526262779804094e-67,5.905488760787296e-65
KIAA1370,-1.7769433069002254,5.221885342334458e-67,7.368525495078615e-65
SYNPO2,-3.6250082968398623,1.1394558742344604e-66,1.5955011752838372e-64
ABCA9,-5.027806491892532,1.1584167297847402e-66,1.609668681852796e-64
CENPW,2.5640225943898693,1.3630315197638127e-66,1.8796411177470215e-64
ATOH8,-3.825169960942122,1.705466121145007e-66,2.3341804363310195e-64
POLQ,3.328638116936916,1.9513181022500618e-66,2.6507345832281996e-64
SKA3,3.8664588116936933,2.1916719317367365e-66,2.9551854943262084e-64
SPRY1,-2.468049041306662,2.2787010192000518e-66,3.0499407832719515e-64
PLK1,4.388261332702098,2.3790894261064495e-66,3.1494709077433405e-64
OGN,-6.026919517102614,2.387666787170142e-66,3.1494709077433405e-64
MCM2,2.292377287252929,2.51781011957312e-66,3.297244432128741e-64
AGTR1,-4.2735011243934204,2.883492037917015e-66,3.749157540443102e-64
UBE2S,2.8230509468576157,3.0367977114218407e-66,3.920484307873175e-64
CENPI,3.291111841638063,3.063547210582558e-66,3.927165484101007e-64
KIFC1,3.8555814238371404,3.2064110470258534e-66,4.081559460770042e-64
CKS2,2.9245099005799515,3.249234549717649e-66,4.1073483686465526e-64
LOC134466,-3.1633550716061065,3.845030202420693e-66,4.826971363769923e-64
GMPS,1.3852387205586485,4.017732560291843e-66,5.0092319037666034e-64
EME1,2.555712463013375,4.322636429964171e-66,5.352717750655633e-64
NCAPH,3.6175527873121114,4.485621704810709e-66,5.5170116143695494e-64
APH1B,-1.7686270919635465,4.548628460917347e-66,5.556958649267012e-64
ABCA8,-6.057644691679488,4.6318068998792634e-66,5.620852066566815e-64
SEMA6D,-3.4148281275890664,5.455890605097821e-66,6.577058058582493e-64
GINS4,2.594502852408568,5.591633399199034e-66,6.696348866159212e-64
SLC7A5,3.3649543496271743,6.393693588324177e-66,7.60682381622647e-64
JAM2,-2.7599973902236945,6.496284109077363e-66,7.678692184255534e-64
CNN1,-4.276980293525863,6.629023860360694e-66,7.785040085815852e-64
KIF15,3.6803486921529185,7.808227832441557e-66,9.111100720123954e-64
PRIM2,1.411464741389513,1.1218054137669244e-65,1.3006512068025047e-63
CCDC48,-2.7738895076340397,1.1392972115864487e-65,1.3125713381334257e-63
CLDN5,-3.5906445141436816,1.158338700802001e-65,1.32611568369175e-63
FANCA,3.1764410640312466,1.2162366192933622e-65,1.383697198812317e-63
AURKB,4.521548502781393,1.291753928173562e-65,1.4542890964361241e-63
TMEM132C,-6.1355624630133745,1.2942637676352914e-65,1.4542890964361241e-63
RAD54B,2.1104379749082716,1.6674847748760197e-65,1.8621610648508087e-63
CXorf36,-2.435613670256834,1.8033204553248627e-65,2.0015757468462486e-63
ALDH1A2,-4.169507172446444,2.191446211912829e-65,2.4176300239666197e-63
