drug,crispr_essentiality_score,n_targets_in_crispr
CHEMBL1778,-0.009925098471809175,1
CHEMBL1782,-0.6504286979768007,1
CHEMBL1785,0.04974890878566599,1
CHEMBL1786,-0.0024940587260294275,1
CHEMBL1787,0.0672915593465516,1
CHEMBL1790,0.009655657563987846,1
CHEMBL1791,0.023521439783566436,1
CHEMBL1793,0.03971667923323057,1
CHEMBL1795,-0.12463188758846055,1
CHEMBL1798,-0.07053233436624667,1
CHEMBL1800,-0.07440003514233155,1
CHEMBL1803,0.03131348340735015,1
CHEMBL1804,-0.06265476108008282,1
CHEMBL1806,-1.817903801562071,1
CHEMBL1807,-1.2678203176981526,1
CHEMBL1808,-0.05852799448075533,1
CHEMBL1811,-0.011106234038436478,1
CHEMBL1817,-0.021777873421807196,1
CHEMBL1821,-0.1452143622529675,1
CHEMBL1822,-0.28214279425922056,1
CHEMBL1824,-0.40732279156807627,1
CHEMBL1825,0.009439257479116525,1
CHEMBL1827,0.023800372580569617,1
CHEMBL1832,-0.01926347170171273,1
CHEMBL1833,-0.05013978474054128,1
CHEMBL1835,-0.024256585119237017,1
CHEMBL1836,-0.038103382739562465,1
CHEMBL1838,0.04253093814447863,1
CHEMBL1839,0.04175791075481739,1
CHEMBL1842,0.012956517529020179,1
CHEMBL1843,0.06554820690688788,1
CHEMBL1845,-0.0011382252853842274,1
CHEMBL1846,-0.09434809461840904,1
CHEMBL1851,-0.010486810444727459,1
CHEMBL1854,0.06252987543634787,1
CHEMBL1855,0.04341347120645643,1
CHEMBL1859,0.002124133345558659,1
CHEMBL1860,-0.1277747702796045,1
CHEMBL1861,-0.07958274255198959,1
CHEMBL1864,-0.08283469095242427,1
CHEMBL1867,-0.04129521323994101,1
CHEMBL1868,0.0276803375567263,1
CHEMBL1869,0.02100557160010885,1
CHEMBL1871,0.012316533325349733,1
CHEMBL1874,-0.07440126310897123,1
CHEMBL1875,0.06339744023957844,1
CHEMBL1876,-0.0038448675429779253,1
CHEMBL1879,-0.030938232955434613,1
CHEMBL1881,-0.05095676307668252,1
CHEMBL1882,-0.02929913325316483,1
CHEMBL1883,-0.0015151203209511968,1
CHEMBL1886,-0.017579074027844328,1
CHEMBL1889,-0.2290884782826054,1
CHEMBL1892,-0.16474907542849757,1
CHEMBL1893,0.042066524443137,1
CHEMBL1898,-0.04926071141062441,1
CHEMBL1899,0.09060669035280638,1
CHEMBL1900,-0.0058676861142782635,1
CHEMBL1901,0.09535731299181037,1
