drug,crispr_essentiality_her2,n_targets_in_crispr_her2
CHEMBL1778,-0.03474480771115424,1
CHEMBL1782,-0.6793222537116468,1
CHEMBL1785,0.08862892740869649,1
CHEMBL1786,0.009221251285055878,1
CHEMBL1787,0.08189156431438964,1
CHEMBL1790,-0.008493211743539538,1
CHEMBL1791,0.002290733197622864,1
CHEMBL1793,0.06331394768953677,1
CHEMBL1795,-0.09488840967467142,1
CHEMBL1798,-0.07650127677172595,1
CHEMBL1800,-0.12672183422241803,1
CHEMBL1803,0.04077248187179017,1
CHEMBL1804,-0.08190052264107915,1
CHEMBL1806,-1.7518457049529492,1
CHEMBL1807,-1.3406692000913796,1
CHEMBL1808,-0.08833109031453483,1
CHEMBL1811,0.04438697419081602,1
CHEMBL1817,-0.010446682951085936,1
CHEMBL1821,-0.13065232925756762,1
CHEMBL1822,-0.2802663673415451,1
CHEMBL1824,-0.9088875884466545,1
CHEMBL1825,0.011231354744263566,1
CHEMBL1827,-0.004279761629653644,1
CHEMBL1832,-0.01538456398498991,1
CHEMBL1833,-0.01708931597578479,1
CHEMBL1835,-0.04921413229925142,1
CHEMBL1836,-0.02921765593781917,1
CHEMBL1838,0.03229315954291393,1
CHEMBL1839,0.06012576822190458,1
CHEMBL1842,0.05244367677796688,1
CHEMBL1843,0.10477067228988221,1
CHEMBL1845,0.0092232531421897,1
CHEMBL1846,-0.09715384934679111,1
CHEMBL1851,-0.020732654138733212,1
CHEMBL1854,0.045174120762609835,1
CHEMBL1855,0.060413572773851634,1
CHEMBL1859,-0.05027155849374605,1
CHEMBL1860,-0.11548284999082035,1
CHEMBL1861,-0.06644682451052306,1
CHEMBL1864,-0.04532821289801456,1
CHEMBL1867,-0.04646669376226997,1
CHEMBL1868,0.02658677892568856,1
CHEMBL1869,-0.035921286182829394,1
CHEMBL1871,0.018920609785341422,1
CHEMBL1874,-0.09910416963632021,1
CHEMBL1875,0.10047086992282842,1
CHEMBL1876,-0.028973060472537202,1
CHEMBL1879,-0.058750428447205044,1
CHEMBL1881,-0.06447381352464046,1
CHEMBL1882,-0.0022157593948118667,1
CHEMBL1883,0.02404924215981112,1
CHEMBL1886,0.013553580618094556,1
CHEMBL1889,-0.2546113817588291,1
CHEMBL1892,-0.16859270029898232,1
CHEMBL1893,0.06666631543501035,1
CHEMBL1898,-0.0685510190619366,1
CHEMBL1899,0.1231815063810131,1
CHEMBL1900,0.018410741319987045,1
CHEMBL1901,0.1495525056015342,1
CHEMBL1903,0.016141245342388047,1
CHEMBL1904,0.09778271687556096,1
CHEMBL1905,-0.07775231671449742,1
CHEMBL1907,-0.010268777682693932,1
CHEMBL1910,-0.04245906569885971,1
CHEMBL1911,-0.08563880848045646,1
CHEMBL1913,-0.05320640178658499,1
CHEMBL1914,-0.03160712442306662,1
CHEMBL1916,-0.025986707538021153,1
CHEMBL1919,-0.07378060902424627,1
CHEMBL1920,-0.0598908184382719,1
CHEMBL1925,-0.14907427700841774,1
CHEMBL1927,-0.33017085369581156,1
CHEMBL1929,-0.0289577943085464,1
CHEMBL1935,0.02356446239036338,1
CHEMBL1936,-0.07275257535760493,1
CHEMBL1940,-0.04293801554719773,1
CHEMBL1941,0.04976913215753011,1
CHEMBL1942,-0.06420181941764697,1
CHEMBL1944,0.026446343920595455,1
CHEMBL1947,0.043421576747426145,1
CHEMBL1950,0.11528997803314961,1
CHEMBL1951,0.013228740375674767,1
CHEMBL1952,-1.0197499342106644,1
CHEMBL1957,-0.16621002276579777,1
CHEMBL1958,-0.19964868342016337,1
CHEMBL1959,0.049479817526362435,1
CHEMBL1962,-0.007481496530573028,1
CHEMBL1963,0.015355045511389625,1
CHEMBL1966,-0.44695212912359417,1
CHEMBL1968,-0.04620741241817647,1
CHEMBL1969,-0.009013395802749131,1
CHEMBL1970,0.007951539796431801,1
CHEMBL1971,0.0011147459388586077,1
CHEMBL1972,-0.10990634097686999,1
CHEMBL1975,0.047084641096106314,1
CHEMBL1976,0.0599264436165556,1
CHEMBL1977,-0.09199591559805537,1
CHEMBL1978,-0.021327940301126967,1
CHEMBL1981,0.0008492688419436666,1
CHEMBL1983,0.06968302355948239,1
CHEMBL1985,-0.01925700277905118,1
CHEMBL1987,0.0679615592185982,1
CHEMBL1988,-0.03158900293113332,1
CHEMBL1989,0.008251073982615854,1
CHEMBL1991,-0.006963469410040033,1
CHEMBL1992,0.15775095568009295,1
CHEMBL1993,-0.48677031086495415,1
CHEMBL1994,-0.021477636916223224,1
CHEMBL1995,0.05510298271820699,1
CHEMBL1996,-0.0065923410650791225,1
CHEMBL1997,0.017247205254585205,1
CHEMBL2000,0.021738573787369455,1
CHEMBL2001,-0.12615499796445925,1
CHEMBL2002,-0.3679912997125281,1
CHEMBL2004,-0.025478441365339565,1
CHEMBL2008,0.04403562157249694,1
CHEMBL2014,-0.018088105712111058,1
CHEMBL2015,0.02607340884850949,1
CHEMBL2023,-0.138157309980824,1
CHEMBL2027,-0.10941411619254682,1
CHEMBL203,-0.09369456415519219,1
CHEMBL2033,-0.06103762401579882,1
CHEMBL2034,-0.005804986002602068,1
CHEMBL2035,-0.04005952666068138,1
CHEMBL2039,-0.04438096612175185,1
CHEMBL2040,-0.06376513876836908,1
CHEMBL2044,-0.035100060160945086,1
CHEMBL2045,-0.05676562618738712,1
CHEMBL2049,0.06255611466066796,1
CHEMBL205,-0.06186634071543953,1
CHEMBL2050,-0.06926723082415255,1
CHEMBL2055,-0.10435690248097905,1
CHEMBL2056,0.0088777683832494,1
CHEMBL2058,0.03379992677099837,1
CHEMBL2059,-0.08962241665667485,1
CHEMBL206,-0.26283014582468567,1
CHEMBL2060,0.10306731705276585,1
