drug,crispr_essentiality_luminal,n_targets_in_crispr_luminal
CHEMBL1778,0.006237547558439876,1
CHEMBL1782,-0.7929074523923614,1
CHEMBL1785,0.04966136260412555,1
CHEMBL1786,0.0029273269388837664,1
CHEMBL1787,0.06013498066996719,1
CHEMBL1790,-0.04722772404211806,1
CHEMBL1791,0.008214008359487506,1
CHEMBL1793,0.10944063245142224,1
CHEMBL1795,-0.06032715160359159,1
CHEMBL1798,-0.0882760703337004,1
CHEMBL1800,-0.0403116418249208,1
CHEMBL1803,0.019755397673801564,1
CHEMBL1804,-0.056867911922523016,1
CHEMBL1806,-1.8320099617179038,1
CHEMBL1807,-1.0966992515571536,1
CHEMBL1808,-0.0502522719751933,1
CHEMBL1811,-0.011197808506324923,1
CHEMBL1817,-0.02497909009721551,1
CHEMBL1821,-0.16693615091839614,1
CHEMBL1822,-0.31565548356668255,1
CHEMBL1824,-0.22762859013982992,1
CHEMBL1825,0.031755864692779,1
CHEMBL1827,0.04756871976596613,1
CHEMBL1832,-0.051199256380741714,1
CHEMBL1833,-0.06477494392305107,1
CHEMBL1835,-0.006369335076851367,1
CHEMBL1836,-0.02123038796412083,1
CHEMBL1838,0.017265554897617146,1
CHEMBL1839,0.03154205957245193,1
CHEMBL1842,-0.015335406533376832,1
CHEMBL1843,0.0504021371589474,1
CHEMBL1845,0.0017582258687513107,1
CHEMBL1846,-0.12662107263583347,1
CHEMBL1851,-0.016514789095593348,1
CHEMBL1854,0.09109369394723094,1
CHEMBL1855,0.008089367369006744,1
CHEMBL1859,-0.0013031290103910033,1
CHEMBL1860,-0.049527710257303036,1
CHEMBL1861,-0.08971082307408353,1
CHEMBL1864,-0.08223081264799735,1
CHEMBL1867,-0.018388331382996035,1
CHEMBL1868,0.01960028960159278,1
CHEMBL1869,0.04850591904696457,1
CHEMBL1871,-0.01661136004014828,1
CHEMBL1874,-0.05084682246539211,1
CHEMBL1875,0.09297614870894097,1
CHEMBL1876,0.005795677335239288,1
CHEMBL1879,-0.0028237661045803905,1
CHEMBL1881,-0.010438444006724432,1
CHEMBL1882,-0.010486617448924478,1
CHEMBL1883,0.019001969723920476,1
CHEMBL1886,-0.01900893246255049,1
CHEMBL1889,-0.19253535700776203,1
CHEMBL1892,-0.2025707045482976,1
CHEMBL1893,0.023735195898230133,1
CHEMBL1898,-0.09342994931896587,1
CHEMBL1899,0.05518661935203327,1
CHEMBL1900,-0.014258741984243388,1
CHEMBL1901,0.11318370072561515,1
CHEMBL1903,0.0558982091796563,1
CHEMBL1904,0.11287984794870533,1
CHEMBL1905,-0.057208995569464266,1
CHEMBL1907,0.012640297758801036,1
CHEMBL1910,-0.10461677231122349,1
CHEMBL1911,-0.0396019318898986,1
CHEMBL1913,-0.08230778328109412,1
CHEMBL1914,-0.015384239452312614,1
CHEMBL1916,0.010902479713719208,1
CHEMBL1919,-0.12509079693294967,1
CHEMBL1920,-0.04283270215271798,1
CHEMBL1925,-0.013832230873045298,1
CHEMBL1927,-0.47687244974338117,1
