drug,crispr_essentiality_tnbc,n_targets_in_crispr_tnbc
CHEMBL1778,-0.011115865663101313,1
CHEMBL1782,-0.6019270438226304,1
CHEMBL1785,0.04335221923923446,1
CHEMBL1786,-0.01780634338914569,1
CHEMBL1787,0.07010612156203085,1
CHEMBL1790,0.027455852597224894,1
CHEMBL1791,0.03251456675824941,1
CHEMBL1793,0.01794220002869336,1
CHEMBL1795,-0.15582188656014814,1
CHEMBL1798,-0.08053428507718056,1
CHEMBL1800,-0.07119004273256015,1
CHEMBL1803,0.03532100442066856,1
CHEMBL1804,-0.06736708355940413,1
CHEMBL1806,-1.8141424369842056,1
CHEMBL1807,-1.2710744973869137,1
CHEMBL1808,-0.04869972241620676,1
CHEMBL1811,-0.029617654100936867,1
CHEMBL1817,-0.028291378915226473,1
CHEMBL1821,-0.14171326614699872,1
CHEMBL1822,-0.27015468754035865,1
CHEMBL1824,-0.25023168978558363,1
CHEMBL1825,0.001789117208041888,1
CHEMBL1827,0.01573334765445027,1
CHEMBL1832,-0.007708921795612482,1
CHEMBL1833,-0.05621211273912884,1
CHEMBL1835,-0.02253172002788703,1
CHEMBL1836,-0.039808296256577204,1
CHEMBL1838,0.05781252733112898,1
CHEMBL1839,0.049560546877179944,1
CHEMBL1842,0.012610038461646086,1
CHEMBL1843,0.04865951629687671,1
CHEMBL1845,-0.0015442368551389547,1
CHEMBL1846,-0.08214960932793115,1
CHEMBL1851,-0.0022567320382112176,1
CHEMBL1854,0.05970992398047409,1
CHEMBL1855,0.057487168658437365,1
CHEMBL1859,0.014364102374043045,1
CHEMBL1860,-0.11893801525501257,1
CHEMBL1861,-0.06690060348090578,1
CHEMBL1864,-0.0983976206456677,1
CHEMBL1867,-0.04606690148025298,1
CHEMBL1868,0.04852949884127574,1
CHEMBL1869,0.03686343775284928,1
CHEMBL1871,0.007044054733447348,1
CHEMBL1874,-0.07888595643188837,1
CHEMBL1875,0.04241203397491733,1
CHEMBL1876,-0.0072728503219905176,1
CHEMBL1879,-0.04176079589964171,1
CHEMBL1881,-0.0643050411354915,1
CHEMBL1882,-0.051322091191770426,1
CHEMBL1883,-0.02065226461275308,1
CHEMBL1886,-0.029160494505054823,1
CHEMBL1889,-0.23761608579364943,1
CHEMBL1892,-0.15991067216418606,1
CHEMBL1893,0.030582274736611223,1
CHEMBL1898,-0.023155988331519144,1
CHEMBL1899,0.08307168635677666,1
CHEMBL1900,-0.00474511333803335,1
CHEMBL1901,0.09211014828191601,1
CHEMBL1903,0.020184416457241887,1
CHEMBL1904,0.06364765249783423,1
CHEMBL1905,-0.19104912322164783,1
CHEMBL1907,0.007138737868017342,1
CHEMBL1910,-0.024253111852704925,1
CHEMBL1911,-0.06382627171962936,1
CHEMBL1913,-0.11391162430654271,1
CHEMBL1914,-0.021708859144110405,1
CHEMBL1916,0.02825515162060437,1
CHEMBL1919,-0.05339399309980269,1
CHEMBL1920,-0.021729827981560923,1
CHEMBL1925,-0.047154608764052273,1
CHEMBL1927,-0.5680010412943508,1
CHEMBL1929,0.016423485077145365,1
CHEMBL1935,-0.052158173204620795,1
CHEMBL1936,-0.025692014002476105,1
CHEMBL1940,0.020912584246367272,1
CHEMBL1941,0.0857869762550012,1
CHEMBL1942,-0.1092233903600145,1
CHEMBL1944,-0.02769946336843196,1
CHEMBL1947,0.05839266448304692,1
CHEMBL1950,0.1415891396857629,1
CHEMBL1951,0.061496313687566286,1
CHEMBL1952,-0.9126662285906942,1
CHEMBL1957,-0.1462938786147684,1
CHEMBL1958,-0.21443114873017718,1
CHEMBL1959,-0.04828388681045073,1
CHEMBL1962,0.03283619209248125,1
CHEMBL1963,0.03519633221328092,1
CHEMBL1966,-0.37612231846239075,1
CHEMBL1968,-0.01788530099266859,1
CHEMBL1969,-0.025845148639056847,1
CHEMBL1970,0.0017679025008507118,1
CHEMBL1971,0.013354465661250479,1
CHEMBL1972,-0.012834613858738271,1
CHEMBL1975,0.04292858637053056,1
CHEMBL1976,0.06640655620710949,1
CHEMBL1977,-0.114646459109639,1
CHEMBL1978,-0.006589030667578279,1
CHEMBL1981,-0.011094723364928833,1
CHEMBL1983,0.05193560347335339,1
CHEMBL1985,-0.01623752926831716,1
CHEMBL1987,0.024483629679048605,1
CHEMBL1988,-0.06384615555224847,1
CHEMBL1989,-0.052198247611853654,1
CHEMBL1991,-0.07861047486791477,1
CHEMBL1992,0.113182501057891,1
CHEMBL1993,-0.5837005257598805,1
CHEMBL1994,0.03608731834083282,1
CHEMBL1995,0.02895933372645791,1
CHEMBL1996,-0.10340039989963141,1
CHEMBL1997,0.01104853209315855,1
CHEMBL2000,0.10176830436202194,1
CHEMBL2001,-0.0708753769433043,1
CHEMBL2002,-0.4962600622183248,1
CHEMBL2004,0.003639412418638681,1
CHEMBL2008,0.057496151272443806,1
CHEMBL2014,0.029788166016046558,1
CHEMBL2015,0.0032511791990705863,1
CHEMBL2023,-0.19015887762051567,1
CHEMBL2027,-0.10999417083471345,1
CHEMBL203,-0.24516166159248476,1
CHEMBL2033,-0.05790054918696166,1
CHEMBL2034,-0.08994749382500057,1
CHEMBL2035,-0.08228434611782869,1
CHEMBL2039,-0.028212114174181957,1
CHEMBL2040,-0.03437064526981017,1
CHEMBL2044,-0.006714642883419036,1
CHEMBL2045,0.017439584748501963,1
CHEMBL2049,0.04960133814835219,1
CHEMBL205,0.03067023631416194,1
CHEMBL2050,-0.00483092792333963,1
CHEMBL2055,-0.06579115888101926,1
CHEMBL2056,0.0597626910444215,1
CHEMBL2058,0.029213974380758317,1
CHEMBL2059,-0.089238392269867,1
CHEMBL206,-0.05201968867997672,1
CHEMBL2060,0.08794520695919372,1
CHEMBL2061,-0.02622931079820125,1
