drug_chembl_id,min_shortest_path_to_HER2
CHEMBL1778,0
CHEMBL1782,0
CHEMBL1783,0
CHEMBL1785,0
CHEMBL1786,1
CHEMBL1787,0
CHEMBL1790,0
CHEMBL1791,1
CHEMBL1793,0
CHEMBL1795,0
CHEMBL1798,1
CHEMBL1800,0
CHEMBL1803,1
CHEMBL1804,1
CHEMBL1806,0
CHEMBL1807,0
CHEMBL1808,1
CHEMBL1811,1
CHEMBL1817,1
CHEMBL1821,1
CHEMBL1822,1
CHEMBL1824,0
CHEMBL1825,1
CHEMBL1827,0
CHEMBL1832,0
CHEMBL1833,1
CHEMBL1835,1
CHEMBL1836,0
CHEMBL1838,1
CHEMBL1839,0
CHEMBL1842,1
CHEMBL1843,0
CHEMBL1845,1
CHEMBL1846,0
CHEMBL1851,0
CHEMBL1854,0
CHEMBL1855,1
CHEMBL1856,0
CHEMBL1859,1
CHEMBL1860,1
CHEMBL1861,0
CHEMBL1864,0
CHEMBL1867,0
CHEMBL1868,1
CHEMBL1869,1
CHEMBL1871,0
CHEMBL1874,0
CHEMBL1875,1
CHEMBL1876,0
CHEMBL1879,1
CHEMBL1881,0
CHEMBL1882,0
CHEMBL1883,0
CHEMBL1886,1
CHEMBL1889,0
CHEMBL1892,1
CHEMBL1893,1
CHEMBL1898,1
CHEMBL1899,0
CHEMBL1900,1
CHEMBL1901,1
CHEMBL1903,1
CHEMBL1904,0
CHEMBL1905,0
CHEMBL1907,0
CHEMBL1910,1
CHEMBL1911,1
CHEMBL1912,1
CHEMBL1913,0
CHEMBL1914,0
CHEMBL1916,1
CHEMBL1919,0
CHEMBL1920,1
CHEMBL1925,1
CHEMBL1927,1
CHEMBL1929,0
CHEMBL1935,0
CHEMBL1936,0
CHEMBL1940,0
CHEMBL1941,1
CHEMBL1942,0
CHEMBL1944,0
CHEMBL1947,0
CHEMBL1950,1
CHEMBL1951,0
CHEMBL1952,0
CHEMBL1957,0
CHEMBL1958,1
CHEMBL1959,1
