drug_chembl_id,min_shortest_path_to_LumA
CHEMBL1778,1
CHEMBL1782,1
CHEMBL1783,1
CHEMBL1785,1
CHEMBL1786,2
CHEMBL1787,1
CHEMBL1790,1
CHEMBL1791,1
CHEMBL1793,1
CHEMBL1795,2
CHEMBL1798,1
CHEMBL1800,1
CHEMBL1803,1
CHEMBL1804,2
CHEMBL1806,1
CHEMBL1807,0
CHEMBL1808,1
CHEMBL1811,1
CHEMBL1817,1
CHEMBL1821,2
CHEMBL1822,1
CHEMBL1824,0
CHEMBL1825,1
CHEMBL1827,1
CHEMBL1832,1
CHEMBL1833,1
CHEMBL1835,2
CHEMBL1836,1
CHEMBL1838,1
CHEMBL1839,1
CHEMBL1842,1
CHEMBL1843,0
CHEMBL1845,1
CHEMBL1846,1
CHEMBL1851,0
CHEMBL1854,0
CHEMBL1855,1
CHEMBL1856,1
CHEMBL1859,1
CHEMBL1860,1
CHEMBL1861,0
CHEMBL1864,0
CHEMBL1867,1
CHEMBL1868,1
CHEMBL1869,1
CHEMBL1871,0
CHEMBL1874,1
CHEMBL1875,0
CHEMBL1876,1
CHEMBL1879,2
CHEMBL1881,1
CHEMBL1882,1
CHEMBL1883,1
CHEMBL1886,1
CHEMBL1889,1
CHEMBL1892,1
CHEMBL1893,1
CHEMBL1898,2
CHEMBL1899,1
CHEMBL1900,1
CHEMBL1901,0
CHEMBL1903,1
CHEMBL1904,0
CHEMBL1905,0
CHEMBL1907,1
CHEMBL1910,1
CHEMBL1911,1
CHEMBL1912,1
CHEMBL1913,0
CHEMBL1914,2
CHEMBL1916,1
CHEMBL1919,1
CHEMBL1920,1
CHEMBL1925,0
CHEMBL1927,1
CHEMBL1929,1
CHEMBL1935,0
CHEMBL1936,0
CHEMBL1940,1
CHEMBL1941,1
CHEMBL1942,1
CHEMBL1944,1
CHEMBL1947,1
CHEMBL1950,1
CHEMBL1951,1
CHEMBL1952,1
CHEMBL1957,1
CHEMBL1958,0
CHEMBL1959,1
CHEMBL1962,0
CHEMBL1963,0
CHEMBL1966,1
CHEMBL1968,1
CHEMBL1969,1
CHEMBL1970,0
CHEMBL1971,2
CHEMBL1972,0
CHEMBL1975,1
CHEMBL1976,1
CHEMBL1977,1
CHEMBL1978,1
CHEMBL1981,1
CHEMBL1983,0
CHEMBL1985,1
CHEMBL1987,1
CHEMBL1988,2
CHEMBL1989,2
CHEMBL1991,0
CHEMBL1992,0
CHEMBL1993,1
CHEMBL1994,1
CHEMBL1995,1
CHEMBL1996,0
CHEMBL1997,2
CHEMBL2000,1
CHEMBL2001,1
CHEMBL2002,1
CHEMBL2004,0
CHEMBL2008,1
CHEMBL2014,1
CHEMBL2015,1
CHEMBL202,1
CHEMBL2023,1
CHEMBL2027,1
CHEMBL203,0
