drug,her2_pathway_enrichment_similarity
CHEMBL1778,0.07827754598195953
CHEMBL1782,0.030521885188985295
CHEMBL1783,0.11707736264074613
CHEMBL1785,0.05462600741796267
CHEMBL1786,0.020287797192568412
CHEMBL1787,0.03756615934747615
CHEMBL1790,0.06620501619882671
CHEMBL1791,0.03469949430236266
CHEMBL1793,0.04216955705389611
CHEMBL1795,0.02636407672938146
CHEMBL1798,0.06389544467970075
CHEMBL1800,0.04216955705389611
CHEMBL1803,0.06672626305797533
CHEMBL1804,0.042885324837406695
CHEMBL1806,0.06184962007678983
CHEMBL1807,0.05645021695047471
CHEMBL1808,0.025066101776662818
CHEMBL1811,0.03676861470460021
CHEMBL1817,0.05944690693887264
CHEMBL1821,0.04327893136384425
CHEMBL1822,0.058016913979388504
CHEMBL1824,0.19848680753778053
CHEMBL1827,0.06121252315322441
CHEMBL1832,0.039041423519002395
CHEMBL1833,0.04086604497438928
CHEMBL1835,0.04172653131499852
CHEMBL1836,0.036107962506666105
CHEMBL1839,0.04999286073605376
CHEMBL1842,0.05645736716483811
CHEMBL1843,0.03238566938615681
CHEMBL1845,0.04824149578082308
CHEMBL1846,0.04141626843873387
CHEMBL1851,0.057764390946513505
CHEMBL1854,0.03860103560983537
CHEMBL1855,0.039307302517403525
CHEMBL1856,0.03756615934747615
CHEMBL1859,0.05970228038863836
CHEMBL1860,0.05867703562037649
CHEMBL1861,0.02242369750822675
CHEMBL1864,0.03612588096814939
CHEMBL1867,0.06539323951403087
CHEMBL1868,0.051006974231680505
CHEMBL1869,0.02242369750822675
CHEMBL1871,0.09653544780117175
CHEMBL1874,0.026916023745691374
CHEMBL1875,0.04020539277645518
CHEMBL1876,0.026916023745691374
CHEMBL1881,0.036107962506666105
CHEMBL1882,0.017740596552967888
CHEMBL1883,0.017740596552967888
CHEMBL1886,0.06321215005994296
CHEMBL1889,0.047666904081249135
CHEMBL1892,0.032732445964243524
CHEMBL1893,0.04018506607515858
CHEMBL1898,0.03923413980572478
CHEMBL1899,0.030727614586321676
CHEMBL1900,0.028437768588276194
CHEMBL1901,0.04462990484564901
CHEMBL1903,0.034102206825047464
CHEMBL1904,0.11445969366378846
CHEMBL1905,0.1819571755996213
CHEMBL1907,0.040482723600238454
CHEMBL1910,0.025966463993362034
CHEMBL1911,0.030128317198468056
CHEMBL1912,0.027162146044605387
CHEMBL1913,0.08253944889810952
CHEMBL1914,0.048915342609976376
CHEMBL1916,0.06539323951403087
CHEMBL1919,0.038649217974486914
CHEMBL1920,0.051048570374904775
CHEMBL1925,0.045122262347204824
CHEMBL1927,0.10709129029067274
CHEMBL1929,0.038036049192508206
CHEMBL1935,0.042864683431464816
CHEMBL1936,0.13803880282368364
CHEMBL1940,0.06359417414427354
CHEMBL1941,0.04020539277645518
CHEMBL1942,0.05565105430556079
CHEMBL1944,0.07038292896473586
CHEMBL1947,0.05867703562037649
CHEMBL1950,0.04267218740992003
CHEMBL1951,0.04709242823804566
CHEMBL1952,0.05260475628910671
CHEMBL1957,0.08216646893212379
CHEMBL1958,0.03800803464537933
CHEMBL1959,0.06530333697695062
CHEMBL1962,0.051048570374904775
CHEMBL1963,0.03860103560983537
CHEMBL1966,0.01754158198376215
CHEMBL1968,0.026701283507715837
CHEMBL1969,0.03620827912214026
CHEMBL1970,0.03720172325998198
CHEMBL1971,0.05822648029823273
CHEMBL1972,0.07369547598552598
CHEMBL1975,0.06500516501619125
CHEMBL1976,0.0391866797165208
CHEMBL1977,0.06580034420421339
CHEMBL1978,0.04461276752574034
CHEMBL1981,0.06396233999899975
CHEMBL1983,0.03923413980572478
CHEMBL1985,0.05688363294952238
CHEMBL1987,0.03676861470460021
CHEMBL1988,0.02636407672938146
CHEMBL1989,0.05289718777375224
CHEMBL1991,0.20320698411124183
CHEMBL1992,0.06568005827121796
CHEMBL1993,0.08594814634330092
CHEMBL1994,0.06952130946285531
CHEMBL1995,0.04637612005125729
CHEMBL1996,0.05770149970336634
CHEMBL1997,0.02262616805352711
CHEMBL2000,0.0422865355338187
CHEMBL2001,0.051863834463743354
CHEMBL2002,0.058016913979388504
CHEMBL2004,0.051531156639781805
CHEMBL2008,0.06154748624855291
