drug,luma_pathway_enrichment_similarity
CHEMBL1778,0.10246790596271313
CHEMBL1782,0.02804997749041953
CHEMBL1783,0.12585510072416578
CHEMBL1785,0.04812472508932207
CHEMBL1786,0.013847479197553195
CHEMBL1787,0.024895163326672277
CHEMBL1790,0.055354036204453914
CHEMBL1791,0.020374824857406267
CHEMBL1793,0.032487723798523445
CHEMBL1795,0.01849983424047103
CHEMBL1798,0.0667990955828415
CHEMBL1800,0.032487723798523445
CHEMBL1803,0.06484265789305117
CHEMBL1804,0.032561501095598425
CHEMBL1806,0.059721099469414965
CHEMBL1807,0.042950596543435415
CHEMBL1808,0.021098995121998573
CHEMBL1811,0.03129383557518451
CHEMBL1817,0.1023188492723856
CHEMBL1821,0.03188385025671615
CHEMBL1822,0.04756777133048011
CHEMBL1824,0.3396240554148453
CHEMBL1827,0.04127225085970845
CHEMBL1832,0.033264668429512326
CHEMBL1833,0.032792236925784625
CHEMBL1835,0.034209546328956494
CHEMBL1836,0.031465784804753164
CHEMBL1839,0.018059911121944265
CHEMBL1842,0.04288049445838712
CHEMBL1843,0.021432334600962753
CHEMBL1845,0.037722083830266304
CHEMBL1846,0.021607916149287348
CHEMBL1851,0.04917554731917203
CHEMBL1854,0.03443286278834722
CHEMBL1855,0.03427580154319947
CHEMBL1856,0.024895163326672277
CHEMBL1859,0.054951897440821226
CHEMBL1860,0.054241006673903296
CHEMBL1861,0.015211337006713566
CHEMBL1864,0.034382597221246716
CHEMBL1867,0.0627970339283295
CHEMBL1868,0.05973436024376639
CHEMBL1869,0.017072894198024546
CHEMBL1871,0.0953948933258043
CHEMBL1874,0.0218547205216991
CHEMBL1875,0.032956369201857544
CHEMBL1876,0.021890024583397113
CHEMBL1881,0.031465784804753164
CHEMBL1882,0.03087974742260064
CHEMBL1883,0.03087974742260064
CHEMBL1886,0.04853463401335805
CHEMBL1889,0.03836605341330764
CHEMBL1892,0.014082578177986348
CHEMBL1893,0.032728873841103796
CHEMBL1898,0.03214861283004938
CHEMBL1899,0.025968740872361305
CHEMBL1900,0.024643550923427827
CHEMBL1901,0.03319712109956276
CHEMBL1903,0.029387179327642017
CHEMBL1904,0.13747150640802255
CHEMBL1905,0.16988009452397368
CHEMBL1907,0.028734825418487576
CHEMBL1910,0.031068488290683392
CHEMBL1911,0.027738405405986405
CHEMBL1912,0.01466972384855814
CHEMBL1913,0.10675137045284688
CHEMBL1914,0.03875431675054131
CHEMBL1916,0.0627970339283295
CHEMBL1919,0.04386338930274784
CHEMBL1920,0.05270290330125032
CHEMBL1925,0.03786359331361608
CHEMBL1927,0.07815194057256816
CHEMBL1929,0.030168265729909445
CHEMBL1935,0.04437448982596841
CHEMBL1936,0.2369524394684898
CHEMBL1940,0.05364368788764599
CHEMBL1941,0.03199456991918695
CHEMBL1942,0.05123960985711483
CHEMBL1944,0.05757278771692306
CHEMBL1947,0.054241006673903296
CHEMBL1950,0.03259494333363836
CHEMBL1951,0.06825388347922305
CHEMBL1952,0.04564106910929893
CHEMBL1957,0.11038410616866712
CHEMBL1958,0.03367102668851211
CHEMBL1959,0.0578646644400268
CHEMBL1962,0.05270290330125032
CHEMBL1963,0.03443286278834722
CHEMBL1966,0.013711811613566454
CHEMBL1968,0.018222776685028544
CHEMBL1969,0.019066806608058234
CHEMBL1970,0.04577199421506347
CHEMBL1971,0.03844595742755976
CHEMBL1972,0.08091750578828201
CHEMBL1975,0.06639506694525699
CHEMBL1976,0.0480911388945488
CHEMBL1977,0.057227176992509274
CHEMBL1978,0.04184320259976917
CHEMBL1981,0.07697494500877809
CHEMBL1983,0.03214861283004938
CHEMBL1985,0.05017020438656776
CHEMBL1987,0.03129383557518451
CHEMBL1988,0.01849983424047103
CHEMBL1989,0.05497655382500435
CHEMBL1991,0.20896146877670432
CHEMBL1992,0.08122594932486649
CHEMBL1993,0.11377739847253614
CHEMBL1994,0.060282772772552166
CHEMBL1995,0.04428895747079251
CHEMBL1996,0.08536828016616152
CHEMBL1997,0.01931287610501315
CHEMBL2000,0.035682674350069235
CHEMBL2001,0.053691160330273234
CHEMBL2002,0.04756777133048011
CHEMBL2004,0.0437524302648288
CHEMBL2008,0.05727734676212899
CHEMBL2014,0.032561501095598425
CHEMBL2015,0.10369265490428586
CHEMBL202,0.05130812549550469
CHEMBL2023,0.052291521186854956
CHEMBL2027,0.01021945221559497
CHEMBL203,0.3283971322236677
CHEMBL2033,0.03883266352499995
CHEMBL2034,0.10785354895083074
CHEMBL2035,0.032532712811769574
CHEMBL2039,0.022579251478323938
CHEMBL2040,0.027347623559133755
CHEMBL2044,0.027738405405986405
CHEMBL2045,0.03255601442418513
CHEMBL2049,0.033728343514514314
CHEMBL205,0.03631244292602003
CHEMBL2050,0.04261405590499731
CHEMBL2055,0.09110430775501498
CHEMBL2056,0.034979867997449295
CHEMBL2057,0.05130812549550469
CHEMBL2059,0.027652447562131664
CHEMBL206,0.15836263241957166
CHEMBL2060,0.07094927693537215
CHEMBL2061,0.15627366726339675
CHEMBL2062,0.021607916149287348
CHEMBL2063,0.015095597511945572
CHEMBL2064,0.05727330762156982
CHEMBL2066,0.01792295721993517
CHEMBL2069,0.055490641448818795
CHEMBL207,0.18566914051181693
CHEMBL2070,0.1329222492579435
CHEMBL2071,0.042796567036048117
CHEMBL2074,0.025074422055633053
CHEMBL2075,0.047334793431451874
CHEMBL2076,0.04035275521859561
CHEMBL2079,0.030214434537498294
CHEMBL208,0.10232415258909179
CHEMBL2081,0.02561954748653688
CHEMBL2083,0.06140581281173988
CHEMBL2084,0.01563558678693856
CHEMBL2085,0.05059462305234035
CHEMBL2086,0.01890962125727716
CHEMBL2088,0.028490174278803085
CHEMBL209,0.03908362291802613
CHEMBL2094,0.031028768816734643
CHEMBL2099,0.046781188231444185
CHEMBL210,0.05550561533370408
CHEMBL2100,0.030943896666871324
CHEMBL2102,0.01798454577408325
CHEMBL2104,0.04732868969467639
CHEMBL2105,0.02961881128013663
CHEMBL2106,0.043432617161334106
CHEMBL2107,0.09573546105323012
CHEMBL2108,0.10372937010933912
CHEMBL2109,0.10719526288549375
CHEMBL2114,0.03099109806099802
CHEMBL2116,0.11060193609899233
CHEMBL2117,0.10380472284633718
CHEMBL212,0.156446085665947
CHEMBL2120,0.24375944120146664
CHEMBL2121,0.026697908825513303
CHEMBL2123,0.03133465706655195
CHEMBL2127,0.033703372706560146
CHEMBL213,0.033130519411399335
CHEMBL2131,0.017554573845419592
CHEMBL2139,0.016560204712520323
CHEMBL2147,0.10962427106078297
CHEMBL2148,0.13706116095007226
CHEMBL215,0.07039049411624461
CHEMBL2156,0.01849983424047103
CHEMBL2158,0.038446020400934346
CHEMBL2159,0.02199343503494858
CHEMBL216,0.032532712811769574
CHEMBL2160,0.029397853345258795
CHEMBL2161,0.022654615902570053
CHEMBL2164,0.08616382586880994
CHEMBL2167,0.5315266036501812
CHEMBL217,0.028586856894513787
CHEMBL2171,0.15016932013782727
CHEMBL218,0.030166356448874564
CHEMBL2182,0.03214861283004938
CHEMBL2184,0.03610800502010167
CHEMBL2185,0.09953736235722027
CHEMBL219,0.03421990942486914
CHEMBL2193,0.02913524215764376
CHEMBL2194,0.020852935825996788
CHEMBL220,0.03525359159840101
CHEMBL2200,0.04136443091221817
CHEMBL2202,0.04035275521859561
CHEMBL2206,0.026759725294287034
CHEMBL221,0.02557113940693747
CHEMBL222,0.026272429741627926
CHEMBL223,0.03524492908583139
CHEMBL224,0.032792236925784625
CHEMBL2249,0.025142795275060408
CHEMBL225,0.032792236925784625
CHEMBL226,0.03099109806099802
CHEMBL227,0.04405494042015717
CHEMBL228,0.028255837885502906
CHEMBL229,0.03524492908583139
CHEMBL230,0.060337433529889475
CHEMBL231,0.03182547778025322
CHEMBL232,0.03524492908583139
CHEMBL2326,0.009983101939848948
CHEMBL2327,0.03481248407155795
CHEMBL2335,0.028406064357341578
CHEMBL235,0.10964937237012579
CHEMBL236,0.05322532549454964
CHEMBL2360,0.032858097590001925
CHEMBL237,0.05330158002027418
CHEMBL238,0.035908402241678156
CHEMBL2388,0.01385138507366654
CHEMBL239,0.10575909990249739
CHEMBL2392,0.0572182687236882
CHEMBL2399,0.04004567804707669
CHEMBL240,0.025639774356608424
CHEMBL2401,0.051872307830094416
CHEMBL241,0.027271841573286333
CHEMBL2412,0.19444634400318592
CHEMBL2413,0.05160229480138083
CHEMBL2414,0.036287911404322026
CHEMBL2419,0.019710499931184438
CHEMBL242,0.09642998484802626
CHEMBL2421,0.031784624230328434
CHEMBL2428,0.03424520663288309
CHEMBL2430,0.021607916149287348
CHEMBL2433,0.02067235226127312
CHEMBL2434,0.04119872705267439
CHEMBL2438,0.019506988406026184
CHEMBL2439,0.02274277248816351
CHEMBL244,0.040466124904072004
CHEMBL2441,0.022572929429486466
CHEMBL2442,0.05139696834627075
CHEMBL2443,0.03638233538713637
CHEMBL2447,0.017271515798448083
CHEMBL245,0.04932613734391668
CHEMBL2457,0.01935245383268319
CHEMBL246,0.033130519411399335
CHEMBL2465,0.01606649157698782
CHEMBL2468,0.028900036067374915
CHEMBL2469,0.014476442002706855
CHEMBL2476,0.03855680451945186
CHEMBL2478,0.01575449284335035
CHEMBL248,0.07910495488922337
CHEMBL2484,0.029098687884677045
CHEMBL2487,0.13756397268181644
