drug,tnbc_pathway_enrichment_similarity
CHEMBL1778,0.0005436087304296999
CHEMBL1782,0.00044272001282928
CHEMBL1783,0.0006004067379723587
CHEMBL1785,0.00048190417227165
CHEMBL1786,0.00047873659346775
CHEMBL1787,0.0004712158920977201
CHEMBL1790,0.0005109247095357312
CHEMBL1791,0.00064143980456634
CHEMBL1793,0.00048122855999015
CHEMBL1795,0.0004117704698143666
CHEMBL1798,0.0005046642882128733
CHEMBL1800,0.00048122855999015
CHEMBL1803,0.0005172530796213643
CHEMBL1804,0.0004499516073119286
CHEMBL1806,0.00055545199341177
CHEMBL1807,0.0004845087677563364
CHEMBL1808,0.0004166023645587
CHEMBL1811,0.0004807426459133334
CHEMBL1817,0.0006502415812181833
CHEMBL1821,0.00042230696311148754
CHEMBL1822,0.0005048595214027499
CHEMBL1824,0.000708434850716707
CHEMBL1827,0.0004852328742390001
CHEMBL1832,0.00048122855999015
CHEMBL1833,0.0004570297541719572
CHEMBL1835,0.0004189106533443
CHEMBL1836,0.00047330758108670004
CHEMBL1839,0.0006731190941054751
CHEMBL1842,0.00050146412183392
CHEMBL1843,0.0006468555297338333
CHEMBL1845,0.000475910683836625
CHEMBL1846,0.00061434883230985
CHEMBL1851,0.00044188367282515384
CHEMBL1854,0.00047330758108670004
CHEMBL1855,0.0004807426459133334
CHEMBL1856,0.0004712158920977201
CHEMBL1859,0.0005372518179882
CHEMBL1860,0.0005499407943611334
CHEMBL1861,0.00059432840099055
CHEMBL1864,0.0005797411559679
CHEMBL1867,0.0004665848920283824
CHEMBL1868,0.0005476339011862667
CHEMBL1869,0.00059432840099055
CHEMBL1871,0.0005630925987841218
CHEMBL1874,0.0005273428119377
CHEMBL1875,0.0004506568414634143
CHEMBL1876,0.0005273428119377
CHEMBL1881,0.00047330758108670004
CHEMBL1882,0.0004926539126606
CHEMBL1883,0.0004926539126606
CHEMBL1886,0.00052191343491925
CHEMBL1889,0.0005101809879687001
CHEMBL1892,0.0005007331275348333
CHEMBL1893,0.00044812135197523336
CHEMBL1898,0.0004382029624210143
CHEMBL1899,0.0004926539126606
CHEMBL1900,0.00047600477570430003
CHEMBL1901,0.00046877839906287144
CHEMBL1903,0.00044038125132673335
CHEMBL1904,0.0005595057870632781
CHEMBL1905,0.0005854709996410466
CHEMBL1907,0.0004680938347241667
CHEMBL1910,0.00048534731824788
CHEMBL1911,0.00046077408962195
CHEMBL1912,0.00044033979297470005
CHEMBL1913,0.0005867428516183467
CHEMBL1914,0.00049920645438264
CHEMBL1916,0.0004665848920283824
CHEMBL1919,0.00052644561766754
CHEMBL1920,0.0005305850386251715
CHEMBL1925,0.0004814657360703429
CHEMBL1927,0.0006197445946052161
CHEMBL1929,0.00048607612751165006
CHEMBL1935,0.0004795806335384333
CHEMBL1936,0.0005838372509067239
CHEMBL1940,0.0005001022572169077
CHEMBL1941,0.0004506568414634143
CHEMBL1942,0.0004626020715219749
CHEMBL1944,0.0005218639640377785
CHEMBL1947,0.0005499407943611334
CHEMBL1950,0.00048306939546944287
CHEMBL1951,0.0004819319829463153
CHEMBL1952,0.0005240017647799376
CHEMBL1957,0.0006026712760892572
CHEMBL1958,0.0004722250379981167
CHEMBL1959,0.0005469646684968
CHEMBL1962,0.0005305850386251715
CHEMBL1963,0.00047330758108670004
CHEMBL1966,0.0004904888349882501
CHEMBL1968,0.00042906342539720003
CHEMBL1969,0.0006468555297338333
CHEMBL1970,0.0004941975201849857
CHEMBL1971,0.0005355324418078
CHEMBL1972,0.0004953111949427353
CHEMBL1975,0.0005679077174039099
CHEMBL1976,0.0005484453996777001
CHEMBL1977,0.0005142821457750616
CHEMBL1978,0.00044887795757962993
CHEMBL1981,0.00057449297585914
CHEMBL1983,0.0004382029624210143
CHEMBL1985,0.0004831510497724182
