drug,n_pathways_her2,mean_pathway_score_her2,max_pathway_score_her2,sum_pathway_score_her2
CHEMBL1778,16,0.0005453479162848769,0.0006271066668271853,0.00872556666055803
CHEMBL1782,5,0.0004500769973641043,0.0005106120661872273,0.0022503849868205214
CHEMBL1783,29,0.0006058573475375364,0.00101717570634395,0.017569863078588557
CHEMBL1785,10,0.0004813887169066842,0.0005914152898280321,0.004813887169066842
CHEMBL1786,2,0.0004896231841693637,0.0004965379542791667,0.0009792463683387274
CHEMBL1787,5,0.0004681750242173957,0.0005106120661872273,0.0023408751210869786
CHEMBL1790,16,0.0005026250871565239,0.0008108424355144666,0.008042001394504382
CHEMBL1791,5,0.0004737238104117328,0.0006680225852612,0.002368619052058664
CHEMBL1793,6,0.00047975538867308883,0.0005393420828279791,0.002878532332038533
CHEMBL1795,3,0.0004241782411827841,0.00045736965391635,0.0012725347235483522
CHEMBL1798,15,0.0005036297052479923,0.0005914152898280321,0.0075544455787198836
CHEMBL1800,6,0.00047975538867308883,0.0005393420828279791,0.002878532332038533
CHEMBL1803,13,0.0005351973030045617,0.0007688162927665368,0.006957564939059302
CHEMBL1804,7,0.00045170628303245046,0.0005267415572554522,0.0031619439812271533
CHEMBL1806,10,0.000545046410258786,0.0006016584378893125,0.00545046410258786
CHEMBL1807,11,0.00047431375601230655,0.0005772331246023375,0.005217451316135372
CHEMBL1808,3,0.00040329479670659973,0.0004922029096758108,0.0012098843901197991
CHEMBL1811,6,0.0004830226077117601,0.0005914152898280321,0.0028981356462705605
CHEMBL1817,6,0.0006763166591344569,0.0008177874445205714,0.004057899954806742
CHEMBL1821,8,0.0004264105906822473,0.0005267415572554522,0.0034112847254579785
CHEMBL1822,12,0.0005041199023147932,0.0005772331246023375,0.006049438827777519
CHEMBL1824,58,0.0007262967440585694,0.00100339882428032,0.042125211155397024
CHEMBL1827,11,0.0005371983457093696,0.0011668691714855,0.005909181802803066
CHEMBL1832,6,0.00047975538867308883,0.0005393420828279791,0.002878532332038533
CHEMBL1833,7,0.0004601569751573872,0.0005914152898280321,0.0032210988261017104
CHEMBL1835,10,0.0004192570819871208,0.0005106120661872273,0.004192570819871208
CHEMBL1836,6,0.0004743437398784179,0.0005393420828279791,0.0028460624392705075
CHEMBL1839,4,0.0006965855173285294,0.0007682808923763,0.0027863420693141176
CHEMBL1842,10,0.0004975274749893863,0.0005641791011353434,0.004975274749893862
CHEMBL1843,3,0.0006726870589792725,0.0007682808923763,0.0020180611769378175
CHEMBL1845,8,0.0004753048206841817,0.000584925819992023,0.0038024385654734537
CHEMBL1846,6,0.0004711853609659247,0.0006680225852612,0.002827112165795548
CHEMBL1851,13,0.00044646248262698434,0.0005106120661872273,0.005804012274150797
CHEMBL1854,6,0.0004743437398784179,0.0005393420828279791,0.0028460624392705075
CHEMBL1855,6,0.0004830226077117601,0.0005914152898280321,0.0028981356462705605
CHEMBL1856,5,0.0004681750242173957,0.0005106120661872273,0.0023408751210869786
CHEMBL1859,10,0.00052612309614337,0.0007276162350441847,0.0052612309614337004
CHEMBL1860,9,0.0005450588025454991,0.0006011135964601833,0.004905529222909492
CHEMBL1861,2,0.0006248901422807589,0.0007670718705019571,0.0012497802845615178
CHEMBL1864,3,0.0005812383573125194,0.0006457166545790182,0.0017437150719375582
CHEMBL1867,17,0.0004672584660740267,0.0006457166545790182,0.007943393923258454
CHEMBL1868,6,0.0005802970782045504,0.0006572232561863687,0.003481782469227302
CHEMBL1869,2,0.0006248901422807589,0.0007670718705019571,0.0012497802845615178
CHEMBL1871,23,0.00056094379058367,0.0007087246690573249,0.01290170718342441
CHEMBL1874,4,0.0005303863668780558,0.0008108424355144666,0.0021215454675122232
CHEMBL1875,7,0.0004527179455859511,0.0005393420828279791,0.0031690256191016578
CHEMBL1876,4,0.0005303863668780558,0.0008108424355144666,0.0021215454675122232
CHEMBL1881,6,0.0004743437398784179,0.0005393420828279791,0.0028460624392705075
CHEMBL1882,3,0.0004943842959022416,0.0005004671212250302,0.0014831528877067247
CHEMBL1883,3,0.0004943842959022416,0.0005004671212250302,0.0014831528877067247
CHEMBL1886,14,0.0005187921963926815,0.0008108424355144666,0.007263090749497541
