drug,n_pathways_her2,mean_pathway_score_her2,max_pathway_score_her2,sum_pathway_score_her2,her2_pathway_overlap_jaccard,n_shared_pathways_her2,her2_pathway_enrichment_similarity,n_families_her2,n_targets_with_family_her2
CHEMBL1778,16,0.0005453479162848,0.0006271066668271,0.008725566660558,0.0090191657271702,16,0.0782775459819595,1,1
CHEMBL1782,5,0.0004500769973641,0.0005106120661872,0.0022503849868205,0.0028153153153153,5,0.0305218851889852,0,0
CHEMBL1783,29,0.0006058573475375,0.0010171757063439,0.0175698630785885,0.016347237880496,29,0.1170773626407461,1,1
CHEMBL1785,10,0.0004813887169066,0.000591415289828,0.0048138871690668,0.0056369785794813,10,0.0546260074179626,1,1
CHEMBL1786,2,0.0004896231841693,0.0004965379542791,0.0009792463683387,0.0011267605633802,2,0.0202877971925684,1,1
CHEMBL1787,5,0.0004681750242173,0.0005106120661872,0.0023408751210869,0.0028184892897406,5,0.0375661593474761,1,1
CHEMBL1790,16,0.0005026250871565,0.0008108424355144,0.0080420013945043,0.0090039392234102,16,0.0662050161988267,1,1
CHEMBL1791,5,0.0004737238104117,0.0006680225852612,0.0023686190520586,0.0028169014084507,5,0.0346994943023626,1,1
CHEMBL1793,6,0.000479755388673,0.0005393420828279,0.0028785323320385,0.0033821871476888,6,0.0421695570538961,1,1
CHEMBL1795,3,0.0004241782411827,0.0004573696539163,0.0012725347235483,0.0016910935738444,3,0.0263640767293814,1,1
CHEMBL1798,15,0.0005036297052479,0.000591415289828,0.0075544455787198,0.0084411930219471,15,0.0638954446797007,1,1
CHEMBL1800,6,0.000479755388673,0.0005393420828279,0.0028785323320385,0.0033821871476888,6,0.0421695570538961,1,1
CHEMBL1803,13,0.0005351973030045,0.0007688162927665,0.0069575649390593,0.0073239436619718,13,0.0667262630579753,1,1
CHEMBL1804,7,0.0004517062830324,0.0005267415572554,0.0031619439812271,0.0039458850056369,7,0.0428853248374066,1,1
CHEMBL1806,10,0.0005450464102587,0.0006016584378893,0.0054504641025878,0.0056369785794813,10,0.0618496200767898,1,1
CHEMBL1807,11,0.0004743137560123,0.0005772331246023,0.0052174513161353,0.0062006764374295,11,0.0564502169504747,1,1
CHEMBL1808,3,0.0004032947967065,0.0004922029096758,0.0012098843901197,0.0016910935738444,3,0.0250661017766628,1,1
CHEMBL1811,6,0.0004830226077117,0.000591415289828,0.0028981356462705,0.0033783783783783,6,0.0367686147046002,1,1
CHEMBL1817,6,0.0006763166591344,0.0008177874445205,0.0040578999548067,0.0033821871476888,6,0.0594469069388726,1,1
CHEMBL1821,8,0.0004264105906822,0.0005267415572554,0.0034112847254579,0.0045095828635851,8,0.0432789313638442,1,1
CHEMBL1822,12,0.0005041199023147,0.0005772331246023,0.0060494388277775,0.0067567567567567,12,0.0580169139793885,1,1
CHEMBL1824,58,0.0007262967440585,0.0010033988242803,0.042125211155397,0.0326944757609921,58,0.1984868075377805,1,1
CHEMBL1827,11,0.0005371983457093,0.0011668691714855,0.005909181802803,0.0061971830985915,11,0.0612125231532244,1,1
CHEMBL1832,6,0.000479755388673,0.0005393420828279,0.0028785323320385,0.0033802816901408,6,0.0390414235190023,1,1
CHEMBL1833,7,0.0004601569751573,0.000591415289828,0.0032210988261017,0.0039436619718309,7,0.0408660449743892,1,1
CHEMBL1835,10,0.0004192570819871,0.0005106120661872,0.0041925708198712,0.0056274620146314,10,0.0417265313149985,1,1
CHEMBL1836,6,0.0004743437398784,0.0005393420828279,0.0028460624392705,0.0033783783783783,6,0.0361079625066661,1,1
CHEMBL1839,4,0.0006965855173285,0.0007682808923763,0.0027863420693141,0.0022547914317925,4,0.0499928607360537,1,1
CHEMBL1842,10,0.0004975274749893,0.0005641791011353,0.0049752747498938,0.0056369785794813,10,0.0564573671648381,1,1
CHEMBL1843,3,0.0006726870589792,0.0007682808923763,0.0020180611769378,0.0016891891891891,3,0.0323856693861568,0,0
