drug,n_pathways_luma,mean_pathway_score_luma,max_pathway_score_luma,sum_pathway_score_luma
CHEMBL1778,16,0.054038491015935386,0.1537842052477922,0.8646158562549662
CHEMBL1782,5,0.01505722542596088,0.0451741251076365,0.0752861271298044
CHEMBL1783,29,0.046635296492818036,0.1537842052477922,1.352423598291723
CHEMBL1785,10,0.04113517731044011,0.1537842052477922,0.41135177310440113
CHEMBL1786,2,0.02332030483942205,0.0451741251076365,0.0466406096788441
CHEMBL1787,5,0.014539777051820042,0.0451741251076365,0.0726988852591002
CHEMBL1790,16,0.0305690285980178,0.1537842052477922,0.4891044575682848
CHEMBL1791,5,0.00560277921408258,0.012564049150908,0.0280138960704129
CHEMBL1793,6,0.044779815017178475,0.1537842052477922,0.26867889010307083
CHEMBL1795,3,0.0053420854392114,0.0094050932772035,0.0160262563176342
CHEMBL1798,15,0.042356414824964134,0.1537842052477922,0.635346222374462
CHEMBL1800,6,0.044779815017178475,0.1537842052477922,0.26867889010307083
CHEMBL1803,13,0.048055995291639814,0.1097527112367198,0.6247279387913176
CHEMBL1804,7,0.04126879801942845,0.1537842052477922,0.2888815861359991
CHEMBL1806,10,0.02482925665153801,0.0605095401637408,0.2482925665153801
CHEMBL1807,11,0.02881038378380024,0.1262818772289532,0.3169142216218026
CHEMBL1808,3,0.0226649166298163,0.0605095401637408,0.0679947498894489
CHEMBL1811,6,0.046801030309560454,0.1537842052477922,0.2808061818573627
CHEMBL1817,6,0.030718619455440337,0.1537842052477922,0.18431171673264202
CHEMBL1821,6,0.04662086121228543,0.1537842052477922,0.2797251672737126
CHEMBL1822,12,0.04249176999571758,0.1262818772289532,0.509901239948611
CHEMBL1824,58,0.025016462755376632,0.1537842052477922,1.4509548398118446
CHEMBL1827,11,0.0278393011818258,0.1537842052477922,0.3062323130000838
CHEMBL1832,6,0.044779815017178475,0.1537842052477922,0.26867889010307083
CHEMBL1833,6,0.046801030309560454,0.1537842052477922,0.2808061818573627
CHEMBL1835,9,0.02445010390630763,0.1262818772289532,0.22005093515676868
CHEMBL1836,6,0.045540954622685016,0.1537842052477922,0.2732457277361101
CHEMBL1839,4,0.013319954279932374,0.0451741251076365,0.0532798171197295
CHEMBL1842,10,0.05015227740717215,0.1262818772289532,0.5015227740717215
CHEMBL1843,3,0.0173955548660637,0.0451741251076365,0.0521866645981911
CHEMBL1845,8,0.02656177711457536,0.0978185915307112,0.2124942169166029
CHEMBL1846,6,0.0055916587269598,0.012564049150908,0.0335499523617588
CHEMBL1851,13,0.009007671420468277,0.0451741251076365,0.1170997284660876
CHEMBL1854,7,0.039138354488818645,0.1537842052477922,0.2739684814217305
CHEMBL1855,7,0.0402184193632833,0.1537842052477922,0.2815289355429831
CHEMBL1856,5,0.014539777051820042,0.0451741251076365,0.0726988852591002
CHEMBL1859,10,0.028905299867746388,0.0978185915307112,0.28905299867746387
CHEMBL1860,9,0.045403711626981674,0.086774286801405,0.4086334046428351
CHEMBL1861,2,0.02554675603832635,0.0451741251076365,0.0510935120766527
CHEMBL1864,3,0.032973971655563296,0.058212054098014,0.0989219149666899
CHEMBL1867,15,0.03439050621391557,0.1537842052477922,0.5158575932087335
CHEMBL1868,6,0.042733016939434765,0.1537842052477922,0.2563981016366086
CHEMBL1869,2,0.02554675603832635,0.0451741251076365,0.0510935120766527
CHEMBL1871,23,0.03548861448768841,0.1537842052477922,0.8162381332168335
CHEMBL1874,4,0.03564699549396528,0.1262818772289532,0.14258798197586112
CHEMBL1875,6,0.045540954622685016,0.1537842052477922,0.2732457277361101
CHEMBL1876,4,0.03564699549396528,0.1262818772289532,0.14258798197586112
CHEMBL1881,6,0.045540954622685016,0.1537842052477922,0.2732457277361101
CHEMBL1882,3,0.02228898155616127,0.0229847162537001,0.06686694466848381
CHEMBL1883,3,0.02228898155616127,0.0229847162537001,0.06686694466848381
CHEMBL1886,14,0.018361751050430888,0.1262818772289532,0.2570645147060324
CHEMBL1889,9,0.04654209971297539,0.1537842052477922,0.41887889741677853
CHEMBL1892,2,0.02554675603832635,0.0451741251076365,0.0510935120766527
CHEMBL1893,6,0.008576734385364217,0.0229847162537001,0.051460406312185306
CHEMBL1898,6,0.04662086121228543,0.1537842052477922,0.2797251672737126
CHEMBL1899,3,0.02228898155616127,0.0229847162537001,0.06686694466848381
CHEMBL1900,5,0.01578490216900912,0.0451741251076365,0.07892451084504559
CHEMBL1901,7,0.0414232286742356,0.1537842052477922,0.2899626007196492
CHEMBL1903,6,0.010564858873804468,0.0229847162537001,0.0633891532428268
CHEMBL1904,32,0.031548812182901335,0.1537842052477922,1.0095619898528427
CHEMBL1905,73,0.023912434905391685,0.1537842052477922,1.745607748093593
CHEMBL1907,6,0.040815532698507496,0.1097527112367198,0.244893196191045
