drug,n_pathways_luma,mean_pathway_score_luma,max_pathway_score_luma,sum_pathway_score_luma,luma_pathway_overlap_jaccard,n_shared_pathways_luma,luma_pathway_enrichment_similarity
CHEMBL1778,16,0.00035228630703,0.000617515016451,0.0056365809124814,0.006006006006006,16,0.1024679059627131
CHEMBL1782,7,0.0001516285783179,0.0002143941333048,0.0010614000482253,0.0026276276276276,7,0.0280499774904195
CHEMBL1783,29,0.0003184479958038,0.0007478338243689,0.0092349918783129,0.0108858858858858,29,0.1258551007241657
CHEMBL1785,10,0.0002154306621217,0.0003570610648791,0.0021543066212175,0.0037537537537537,10,0.048124725089322
CHEMBL1786,3,0.0001110658063163,0.000146354509296,0.0003331974189489,0.0011261261261261,3,0.0138474791975531
CHEMBL1787,5,0.0001588842277674,0.0002343301092207,0.0007944211388373,0.0018768768768768,5,0.0248951633266722
CHEMBL1790,19,0.0001767919397672,0.0002858303080925,0.0033590468555778,0.0071321321321321,19,0.0553540362044539
CHEMBL1791,6,0.0001195843657148,0.0001678497073719,0.0007175061942889,0.0022522522522522,6,0.0203748248574062
CHEMBL1793,6,0.0001939226082421,0.0002255186617354,0.0011635356494529,0.0022522522522522,6,0.0324877237985234
CHEMBL1795,3,0.0001553281081002,0.000184378690462,0.0004659843243008,0.0011261261261261,3,0.018499834240471
CHEMBL1798,18,0.0002153924214452,0.0003606036527816,0.0038770635860151,0.0067567567567567,18,0.0667990955828415
CHEMBL1800,6,0.0001939226082421,0.0002255186617354,0.0011635356494529,0.0022522522522522,6,0.0324877237985234
CHEMBL1803,14,0.0002366241954898,0.0005257214422201,0.0033127387368578,0.0052552552552552,14,0.0648426578930511
CHEMBL1804,7,0.000180023692056,0.0001987411653855,0.0012601658443923,0.0026276276276276,7,0.0325615010955984
CHEMBL1806,10,0.0002682318937288,0.000340289276356,0.0026823189372885,0.0037537537537537,10,0.0597210994694149
CHEMBL1807,11,0.0001791935108632,0.0003005515798151,0.001971128619496,0.0041291291291291,11,0.0429505965434354
CHEMBL1808,3,0.0001770898059338,0.0002123634698696,0.0005312694178016,0.0011261261261261,3,0.0210989951219985
CHEMBL1811,8,0.000151157820171,0.0002202894059907,0.0012092625613683,0.003003003003003,8,0.0312938355751845
CHEMBL1817,6,0.0005802515830538,0.0008375152378261,0.0034815094983229,0.0022522522522522,6,0.1023188492723856
CHEMBL1821,8,0.0001617754879882,0.0001987411653855,0.0012942039039061,0.003003003003003,8,0.0318838502567161
CHEMBL1822,14,0.0001779998222976,0.0003005515798151,0.0024919975121675,0.0052552552552552,14,0.0475677713304801
CHEMBL1824,58,0.0005714154379573,0.0011890161874952,0.0331420954015282,0.0217717717717717,58,0.3396240554148453
CHEMBL1827,12,0.0001718151775168,0.000229508659917,0.0020617821302017,0.0045045045045045,12,0.0412722508597084
CHEMBL1832,7,0.0001812268112375,0.0002255186617354,0.0012685876786627,0.0026276276276276,7,0.0332646684295123
CHEMBL1833,8,0.0001665676782447,0.0002202894059907,0.0013325414259576,0.003003003003003,8,0.0327922369257846
