drug,n_pathways_lumb,mean_pathway_score_lumb,max_pathway_score_lumb,sum_pathway_score_lumb
CHEMBL1778,16,0.0005533686415535727,0.0006231696314845858,0.008853898264857163
CHEMBL1782,6,0.00044403463516311877,0.0005292513098544906,0.0026642078109787126
CHEMBL1783,29,0.0006116098161721394,0.00102238580451295,0.01773668466899204
CHEMBL1785,10,0.0004872895167807291,0.0006110699911817852,0.004872895167807291
CHEMBL1786,2,0.0004916849717646849,0.0004936835880067333,0.0009833699435293699
CHEMBL1787,5,0.0005016786287572654,0.0005292513098544906,0.002508393143786327
CHEMBL1790,16,0.0005131553103132678,0.0008107818657282999,0.008210484965012284
CHEMBL1791,5,0.0005211671449512811,0.0008492131230125499,0.002605835724756406
CHEMBL1793,6,0.00048328773690136897,0.0005444404172623459,0.002899726421408214
CHEMBL1795,3,0.0004337704398546172,0.00047981793316670006,0.0013013113195638516
CHEMBL1798,15,0.0005125462936950533,0.0006110699911817852,0.0076881944054257995
CHEMBL1800,6,0.00048328773690136897,0.0005444404172623459,0.002899726421408214
CHEMBL1803,14,0.000524127765526241,0.0007575345857585151,0.007337788717367374
CHEMBL1804,7,0.00045715555898594287,0.0005265310806402449,0.0032000889129016
CHEMBL1806,10,0.0005532450530325957,0.00061014656791825,0.005532450530325957
CHEMBL1807,11,0.0004840707015314419,0.0005829893311849,0.005324777716845861
CHEMBL1808,3,0.000413996295517796,0.0005109867686159381,0.001241988886553388
CHEMBL1811,6,0.0004904395415066086,0.0006110699911817852,0.002942637249039652
CHEMBL1817,6,0.0006906620035964593,0.0008222820307862143,0.004143972021578755
CHEMBL1821,8,0.00043755724763227264,0.0005265310806402449,0.003500457981058181
CHEMBL1822,12,0.0005120736387229397,0.0005829893311849,0.006144883664675276
CHEMBL1824,58,0.0007262894745836941,0.00101091002314179,0.04212478952585426
CHEMBL1827,11,0.0005342671472821579,0.0011207536784544,0.0058769386201037365
CHEMBL1832,6,0.00048328773690136897,0.0005444404172623459,0.002899726421408214
CHEMBL1833,7,0.0004695132989936431,0.0006110699911817852,0.0032865930929555018
CHEMBL1835,10,0.000430126090954399,0.0005292513098544906,0.00430126090954399
CHEMBL1836,6,0.00047933461252003544,0.0005444404172623459,0.0028760076751202126
CHEMBL1839,4,0.0007166000105331128,0.0008029280972434,0.002866400042132451
CHEMBL1842,10,0.0005101539160907124,0.0005758713305384232,0.005101539160907123
CHEMBL1843,3,0.0006878239816296835,0.0008029280972434,0.0020634719448890506
CHEMBL1845,8,0.00047702370615995617,0.0005814768674470492,0.0038161896492796494
CHEMBL1846,6,0.000512475520547772,0.0008492131230125499,0.0030748531232866316
CHEMBL1851,13,0.0004862842604965625,0.000560025837875225,0.006321695386455313
CHEMBL1854,6,0.00047933461252003544,0.0005444404172623459,0.0028760076751202126
CHEMBL1855,6,0.0004904395415066086,0.0006110699911817852,0.002942637249039652
CHEMBL1856,5,0.0005016786287572654,0.0005292513098544906,0.002508393143786327
CHEMBL1859,10,0.0005267411670318973,0.0007040228762591358,0.005267411670318973
CHEMBL1860,9,0.0005555268549038788,0.0006164629036573833,0.0049997416941349095
CHEMBL1861,2,0.0006302719238228254,0.0007708574921230142,0.0012605438476456508
CHEMBL1864,3,0.0005979995232651333,0.00068357332947094,0.0017939985697953999
CHEMBL1867,17,0.00047556844285965525,0.00068357332947094,0.00808466352861414
CHEMBL1868,6,0.0005506754418161947,0.0006474910410066264,0.003304052650897168
CHEMBL1869,2,0.0006302719238228254,0.0007708574921230142,0.0012605438476456508
CHEMBL1871,23,0.0005703329055377176,0.00070409838998475,0.013117656827367504
CHEMBL1874,4,0.0005276961032538168,0.0008107818657282999,0.002110784413015267
CHEMBL1875,7,0.00045999478843372323,0.0005444404172623459,0.0032199635190360626
CHEMBL1876,4,0.0005276961032538168,0.0008107818657282999,0.002110784413015267
CHEMBL1881,6,0.00047933461252003544,0.0005444404172623459,0.0028760076751202126
CHEMBL1882,3,0.0004878135630269442,0.0004983975909496976,0.0014634406890808326
CHEMBL1883,3,0.0004878135630269442,0.0004983975909496976,0.0014634406890808326
CHEMBL1886,14,0.0005206767329353285,0.0008107818657282999,0.007289474261094599
CHEMBL1889,9,0.0005185741224294093,0.0008107818657282999,0.004667167101864684
CHEMBL1892,3,0.000521032132469217,0.0007708574921230142,0.0015630963974076508
CHEMBL1893,6,0.0004428534199843498,0.0004864046289194769,0.002657120519906099
CHEMBL1898,7,0.000448384176612983,0.0005265310806402449,0.003138689236290881
CHEMBL1899,3,0.0004878135630269442,0.0004983975909496976,0.0014634406890808326
CHEMBL1900,5,0.0004983090587363795,0.0005292513098544906,0.0024915452936818978
CHEMBL1901,7,0.000478284681366603,0.0006110699911817852,0.003347992769566221
CHEMBL1903,6,0.0004355533341676066,0.0004864046289194769,0.0026133200050056397
CHEMBL1904,32,0.0005608719625799331,0.0008925004860879693,0.01794790280255786
CHEMBL1905,73,0.0005983905968381422,0.0011889145420541,0.043682513569184386
CHEMBL1907,6,0.0004735053847737345,0.0005758713305384232,0.002841032308642407
CHEMBL1910,5,0.00048316039700326447,0.0005083924665701637,0.0024158019850163224
CHEMBL1911,4,0.0004554274810722091,0.0004864046289194769,0.0018217099242888364
CHEMBL1912,2,0.0005219703315096143,0.0005329538944032905,0.0010439406630192286
CHEMBL1913,15,0.0005930786237095335,0.00074098150523085,0.008896179355643002
CHEMBL1914,10,0.0005067663884477492,0.0006561894395572667,0.005067663884477492
CHEMBL1916,17,0.00047556844285965525,0.00068357332947094,0.00808466352861414
CHEMBL1919,5,0.0005324399943305207,0.0006217043042468501,0.0026621999716526035
CHEMBL1920,7,0.000536374157154197,0.00084924732428283,0.0037546191000793795
CHEMBL1925,7,0.00048001042088720677,0.0005444404172623459,0.003360072946210447
CHEMBL1927,25,0.000628829953382641,0.0013951846487226,0.015720748834566024
CHEMBL1929,7,0.00045831549455142216,0.0005549961824303478,0.003208208461859955
CHEMBL1935,9,0.00048812544141457314,0.0007600670673291,0.004393128972731158
CHEMBL1936,42,0.0005989043624714927,0.00088197770629998,0.025153983223802696
CHEMBL1940,13,0.0004944550872470288,0.0007040228762591358,0.006427916134211374
CHEMBL1941,7,0.00045999478843372323,0.0005444404172623459,0.0032199635190360626
CHEMBL1942,12,0.0004737414339590692,0.00068357332947094,0.005684897207508831
CHEMBL1944,14,0.0005362926780927638,0.0008674914754998,0.007508097493298692
CHEMBL1947,9,0.0005555268549038788,0.0006164629036573833,0.0049997416941349095
CHEMBL1950,7,0.0004899248364714189,0.0005503254614852356,0.0034294738552999326
CHEMBL1951,13,0.0004885892942221805,0.0005895078388938288,0.006351660824888345
CHEMBL1952,8,0.000518787966305842,0.0005767540095035033,0.004150303730446736
CHEMBL1957,14,0.000605334805046112,0.0007546323944717428,0.008474687270645568
CHEMBL1958,6,0.0005039948410471379,0.0005292513098544906,0.003023969046282827
CHEMBL1959,11,0.0005651349438563207,0.0007285015022419667,0.006216484382419528
CHEMBL1962,7,0.000536374157154197,0.00084924732428283,0.0037546191000793795
CHEMBL1963,6,0.00047933461252003544,0.0005444404172623459,0.0028760076751202126
CHEMBL1966,2,0.0004910704502006683,0.0004924545448787,0.0009821409004013367
CHEMBL1968,3,0.0004454508703657112,0.0004896863555226365,0.0013363526110971337
CHEMBL1969,3,0.0006878239816296835,0.0008029280972434,0.0020634719448890506
CHEMBL1970,7,0.0005000286993607795,0.0006086728991084674,0.0035002008955254565
CHEMBL1971,11,0.0005321607824570814,0.0008107818657282999,0.0058537686070278955
CHEMBL1972,17,0.0004914174500060783,0.000581135795364687,0.00835409665010333
CHEMBL1975,10,0.0005795365794206406,0.0007086395501322909,0.005795365794206406
CHEMBL1976,4,0.0005606586567160868,0.0006149771129417799,0.002242634626864347
CHEMBL1977,13,0.0005210908426875567,0.0006164629036573833,0.006774180954938236
CHEMBL1978,10,0.00047432151999006846,0.0005292513098544906,0.004743215199900685
CHEMBL1981,10,0.0005809956327856459,0.0007317547127250307,0.005809956327856459
CHEMBL1983,7,0.000448384176612983,0.0005265310806402449,0.003138689236290881
CHEMBL1985,11,0.0004847402777005809,0.0006110699911817852,0.00533214305470639
CHEMBL1987,6,0.0004904395415066086,0.0006110699911817852,0.002942637249039652
CHEMBL1988,3,0.0004337704398546172,0.00047981793316670006,0.0013013113195638516
CHEMBL1989,12,0.00047171607979098156,0.0005292513098544906,0.0056605929574917785
CHEMBL1991,82,0.0006381539978296468,0.001033974073969125,0.05232862782203104
CHEMBL1992,15,0.000524852740064483,0.0006204709270786333,0.007872791100967245
CHEMBL1993,20,0.0005713691133459224,0.0007916713693819333,0.011427382266918449
CHEMBL1994,12,0.0005691919165255959,0.00070409838998475,0.006830302998307151
CHEMBL1995,9,0.0004824730824181543,0.0005503254614852356,0.004342257741763389
CHEMBL1996,8,0.0005812036626164938,0.0007002593937212416,0.00464962930093195
CHEMBL1997,4,0.0004148745376375446,0.000464487553213075,0.0016594981505501784
CHEMBL2000,9,0.00044050110099429663,0.0005503254614852356,0.0039645099089486695
CHEMBL2001,10,0.0005015142645197854,0.00064181267656933,0.0050151426451978546
CHEMBL2002,12,0.0005120736387229397,0.0005829893311849,0.006144883664675276
CHEMBL2004,7,0.0005474269487322916,0.0006086728991084674,0.003831988641126041
CHEMBL2008,10,0.0005442600831220663,0.0006086728991084674,0.005442600831220663
CHEMBL2014,7,0.00045715555898594287,0.0005265310806402449,0.0032000889129016
CHEMBL2015,23,0.0005414347232546179,0.0007517993071370699,0.01245299863485621
CHEMBL202,10,0.0005377087318039063,0.0007363386100038,0.005377087318039064
CHEMBL2023,10,0.000488965310714414,0.0005829893311849,0.00488965310714414
CHEMBL203,78,0.0007519602562178498,0.0012291528621626,0.058652899984992284
CHEMBL2033,10,0.00047432151999006846,0.0005292513098544906,0.004743215199900685
CHEMBL2034,28,0.0005533486696253034,0.0007133106491734572,0.015493762749508495
CHEMBL2035,8,0.00045604522971535023,0.0006110699911817852,0.003648361837722802
CHEMBL2039,3,0.0004454508703657112,0.0004896863555226365,0.0013363526110971337
CHEMBL2040,2,0.0006088174290892205,0.0006673093966932055,0.001217634858178441
CHEMBL2044,4,0.0004554274810722091,0.0004864046289194769,0.0018217099242888364
CHEMBL2045,4,0.00047207394688599023,0.0005491757597568884,0.001888295787543961
CHEMBL2049,7,0.000478284681366603,0.0006110699911817852,0.003347992769566221
CHEMBL205,6,0.000480009505623514,0.0005491757597568884,0.0028800570337410842
CHEMBL2050,5,0.0006152135327832659,0.0007211847178144,0.00307606766391633
CHEMBL2055,19,0.0005708185188522245,0.0007923227231535,0.010845551858192266
CHEMBL2056,7,0.00045999478843372323,0.0005444404172623459,0.0032199635190360626
CHEMBL2057,10,0.0005377087318039063,0.0007363386100038,0.005377087318039064
CHEMBL2059,4,0.0005211676116733356,0.000625807268290975,0.0020846704466933423
CHEMBL206,43,0.0006227759939566181,0.0011859745832475,0.026779367740134577
CHEMBL2060,20,0.00046631383650843803,0.0006022908833007,0.00932627673016876
CHEMBL2061,65,0.0005267579907784845,0.0007923227231535,0.03423926940060149
CHEMBL2062,6,0.000512475520547772,0.0008492131230125499,0.0030748531232866316
CHEMBL2063,2,0.0005094688326885636,0.0005292513098544906,0.0010189376653771272
CHEMBL2064,17,0.00042923207923842375,0.0005265310806402449,0.007296945347053204
CHEMBL2066,2,0.00041744416781662827,0.000422838747625525,0.0008348883356332565
CHEMBL2069,11,0.0005074267653240879,0.00064181267656933,0.005581694418564966
CHEMBL207,48,0.0006181536523301976,0.0008525027192150167,0.029671375311849487
CHEMBL2070,85,0.000574972446056507,0.0010345792099268668,0.048872657914803094
CHEMBL2071,9,0.0005371926123143752,0.0008107818657282999,0.004834733510829377
CHEMBL2074,3,0.0005330144740296729,0.0005758713305384232,0.0015990434220890188
CHEMBL2075,10,0.0005190532320602332,0.000686340329549,0.005190532320602332
CHEMBL2076,7,0.00043416367084598217,0.0005083924665701637,0.0030391456959218753
CHEMBL2079,3,0.0005664535770717492,0.0006086728991084674,0.0016993607312152477
CHEMBL208,25,0.000599419675128523,0.00084924732428283,0.014985491878213075
CHEMBL2081,7,0.00038899600042471914,0.0004896863555226365,0.002722972002973034
CHEMBL2083,13,0.0005411119630335927,0.0007559947774312667,0.007034455519436706
CHEMBL2084,3,0.000579481125011354,0.0006945027120148333,0.001738443375034062
CHEMBL2085,10,0.0005701481481475022,0.0006673093966932055,0.005701481481475022
CHEMBL2086,3,0.0004031887163101146,0.0004786384692116582,0.0012095661489303438
CHEMBL2088,4,0.00047207394688599023,0.0005491757597568884,0.001888295787543961
CHEMBL209,11,0.00042954841415287684,0.0005491757597568884,0.004725032555681645
CHEMBL2094,7,0.0004870382393779659,0.0005758713305384232,0.0034092676756457612
CHEMBL2099,8,0.0005132856150887482,0.00053843837370719,0.004106284920709986
CHEMBL210,16,0.0005134762644105787,0.0006620071675343593,0.00821562023056926
CHEMBL2100,7,0.00039710426560217845,0.0005292513098544906,0.002779729859215249
CHEMBL2102,4,0.001029172237183659,0.0013902905273324,0.004116688948734636
CHEMBL2104,10,0.0005015444044943496,0.0005720022486338667,0.005015444044943496
CHEMBL2105,6,0.0005694501544176865,0.0007708574921230142,0.003416700926506119
CHEMBL2106,12,0.0005488993596378439,0.0006730820851928499,0.006586792315654126
CHEMBL2107,26,0.0005119877936542292,0.0006412055921734667,0.013311682635009961
CHEMBL2108,20,0.0006187760033133185,0.0009505587778377,0.01237552006626637
CHEMBL2109,32,0.0006097124958843325,0.0007522374205900666,0.01951079986829864
CHEMBL2114,6,0.00046578889872917183,0.0005265310806402449,0.002794733392375031
CHEMBL2116,41,0.0006028389110852356,0.0013902905273324,0.02471639535449466
CHEMBL2117,36,0.0006022510593278537,0.0013902905273324,0.02168103813580273
CHEMBL212,36,0.000622683026481157,0.0008525027192150167,0.022416588953321652
CHEMBL2120,70,0.0006922298695317791,0.00110554633982078,0.048456090867224536
CHEMBL2121,10,0.00046445805837224807,0.0006945027120148333,0.004644580583722481
CHEMBL2123,6,0.00046578889872917183,0.0005265310806402449,0.002794733392375031
CHEMBL2127,6,0.0004831777796700622,0.00062463803154362,0.002899066678020373
CHEMBL213,8,0.00044326330776255784,0.0005444404172623459,0.0035461064621004628
CHEMBL2131,3,0.0007182077402333002,0.0008940793730542499,0.0021546232206999007
CHEMBL2139,2,0.0005141310125621878,0.0005172752565084375,0.0010282620251243755
CHEMBL2147,14,0.0005911362934465372,0.0008620455687830333,0.00827590810825152
CHEMBL2148,24,0.0005637059917645303,0.0007916713693819333,0.013528943802348727
CHEMBL215,19,0.00044134641313309643,0.00070542552127775,0.008385581849528832
CHEMBL2156,3,0.0004337704398546172,0.00047981793316670006,0.0013013113195638516
CHEMBL2158,5,0.0006538764249195237,0.0008817609696392,0.0032693821245976186
CHEMBL2159,5,0.0004684967030226823,0.0004924545448787,0.0023424835151134114
CHEMBL216,8,0.00045604522971535023,0.0006110699911817852,0.003648361837722802
CHEMBL2160,8,0.0004926908671503038,0.0005758713305384232,0.00394152693720243
CHEMBL2161,6,0.0003815947771002644,0.0004896863555226365,0.0022895686626015865
CHEMBL2164,26,0.0006116215681944207,0.00099734482678,0.015902160773054938
CHEMBL2167,142,0.0007891203625489045,0.0011476929330024,0.11205509148194444
CHEMBL217,5,0.0004297984042266944,0.000513003797543632,0.002148992021133472
CHEMBL2171,48,0.0006200988706103552,0.0011840479097208667,0.02976474578929705
CHEMBL218,6,0.00046578889872917183,0.0005265310806402449,0.002794733392375031
CHEMBL2182,7,0.000448384176612983,0.0005265310806402449,0.003138689236290881
CHEMBL2184,6,0.0004604195891098519,0.0004983975909496976,0.002762517534659111
CHEMBL2185,34,0.0005437065800872441,0.00064207232118676,0.0184860237229663
CHEMBL219,7,0.000448384176612983,0.0005265310806402449,0.003138689236290881
CHEMBL2193,8,0.0004942167874677468,0.0005758713305384232,0.003953734299741975
CHEMBL2194,5,0.00039956340355094675,0.0004896863555226365,0.0019978170177547337
CHEMBL220,8,0.0005147908040650522,0.0006561894395572667,0.004118326432520417
CHEMBL2200,6,0.0004974296999549423,0.0005938558018213,0.0029845781997296537
CHEMBL2202,7,0.00043416367084598217,0.0005083924665701637,0.0030391456959218753
CHEMBL2206,6,0.0005130165804384464,0.0007151840405406001,0.0030780994826306784
CHEMBL221,7,0.0004146827193012006,0.0005292513098544906,0.0029027790351084043
CHEMBL222,4,0.0005276961032538168,0.0008107818657282999,0.002110784413015267
CHEMBL223,9,0.00044810744261998916,0.0006110699911817852,0.004032966983579902
CHEMBL224,7,0.0004695132989936431,0.0006110699911817852,0.0032865930929555018
CHEMBL2249,5,0.0004132160719042156,0.0005088278621382143,0.002066080359521078
CHEMBL225,7,0.0004695132989936431,0.0006110699911817852,0.0032865930929555018
CHEMBL226,6,0.00046578889872917183,0.0005265310806402449,0.002794733392375031
CHEMBL227,11,0.0005169971622576891,0.0006290163317783,0.00568696878483458
CHEMBL228,4,0.0004391632947119846,0.0004864046289194769,0.0017566531788479384
CHEMBL229,9,0.00044810744261998916,0.0006110699911817852,0.004032966983579902
CHEMBL230,17,0.00040801821115584125,0.0005895078388938288,0.0069363095896493015
CHEMBL231,7,0.0004695132989936431,0.0006110699911817852,0.0032865930929555018
CHEMBL232,9,0.00044810744261998916,0.0006110699911817852,0.004032966983579902
CHEMBL2326,1,0.0004896863555226365,0.0004896863555226365,0.0004896863555226365
CHEMBL2327,7,0.000478284681366603,0.0006110699911817852,0.003347992769566221
CHEMBL2335,6,0.0004903790321060091,0.0005758713305384232,0.0029422741926360546
CHEMBL235,30,0.0005361803724106075,0.0006955026458843249,0.016085411172318223
CHEMBL236,11,0.0004940257349833728,0.0005895078388938288,0.005434283084817101
CHEMBL2360,6,0.00046986708360610376,0.0005083924665701637,0.0028192025016366227
CHEMBL237,12,0.000476702936404654,0.0005311440210090686,0.005720435236855848
CHEMBL238,6,0.0005126379185244003,0.0008107818657282999,0.003075827511146402
CHEMBL2388,3,0.0005462201479439454,0.0008464215385472,0.0016386604438318364
CHEMBL239,33,0.0005173558506117177,0.0006164629036573833,0.017072743070186684
CHEMBL2392,10,0.00046842908049550753,0.0006620071675343593,0.0046842908049550755
CHEMBL2399,15,0.0005285139605137674,0.0013902905273324,0.00792770940770651
CHEMBL240,5,0.00040621190706549906,0.0004786384692116582,0.0020310595353274954
CHEMBL2401,13,0.0005025370887066795,0.0007901434237314,0.0065329821531868336
CHEMBL241,4,0.0005185408918014508,0.0005444404172623459,0.002074163567205803
CHEMBL2412,57,0.0006545653642944603,0.000989961013830225,0.03731022576478424
CHEMBL2413,12,0.0004720232759387629,0.0005658546435071718,0.005664279311265155
CHEMBL2414,8,0.0004471916530896111,0.0005265310806402449,0.0035775332247168887
CHEMBL2419,4,0.0004982043103224568,0.0005292513098544906,0.001992817241289827
CHEMBL242,16,0.0005696976045064282,0.0006756564833105282,0.009115161672102851
CHEMBL2421,7,0.0005068414544536146,0.0005750094841758999,0.003547890181175302
CHEMBL2428,7,0.0004761124402051208,0.00053843837370719,0.0033327870814358453
CHEMBL2430,6,0.000512475520547772,0.0008492131230125499,0.0030748531232866316
CHEMBL2433,3,0.0004686441859134127,0.0005109867686159381,0.001405932557740238
CHEMBL2434,11,0.0004705978769823553,0.0005758713305384232,0.005176576646805908
CHEMBL2438,3,0.0005330144740296729,0.0005758713305384232,0.0015990434220890188
