drug,n_pathways_lumb,mean_pathway_score_lumb,max_pathway_score_lumb,sum_pathway_score_lumb,lumb_pathway_overlap_jaccard,n_shared_pathways_lumb,lumb_pathway_enrichment_similarity,n_families_lumb,n_targets_with_family_lumb
CHEMBL1778,16,0.0005533686415535,0.0006231696314845,0.0088538982648571,0.0090960773166571,16,0.3137918363208896,1.0,1.0
CHEMBL1782,6,0.0004440346351631,0.0005292513098544,0.0026642078109787,0.0034090909090909,6,0.0944224381553788,,
CHEMBL1783,29,0.0006116098161721,0.0010223858045129,0.017736684668992,0.0164866401364411,29,0.6286074998872252,1.0,1.0
CHEMBL1785,10,0.0004872895167807,0.0006110699911817,0.0048728951678072,0.0056850483229107,10,0.1727007333001153,1.0,1.0
CHEMBL1786,2,0.0004916849717646,0.0004936835880067,0.0009833699435293,0.0011363636363636,2,0.034851706122223,1.0,1.0
CHEMBL1787,5,0.0005016786287572,0.0005292513098544,0.0025083931437863,0.0028425241614553,5,0.0889001959653965,1.0,1.0
CHEMBL1790,16,0.0005131553103132,0.0008107818657282,0.0082104849650122,0.0090805902383654,16,0.290988565396381,1.0,1.0
CHEMBL1791,5,0.0005211671449512,0.0008492131230125,0.0026058357247564,0.002840909090909,5,0.0923536675892755,1.0,1.0
CHEMBL1793,6,0.0004832877369013,0.0005444404172623,0.0028997264214082,0.0034110289937464,6,0.1027694752506357,1.0,1.0
CHEMBL1795,3,0.0004337704398546,0.0004798179331667,0.0013013113195638,0.0017055144968732,3,0.0461198961605322,1.0,1.0
CHEMBL1798,15,0.000512546293695,0.0006110699911817,0.0076881944054257,0.0085130533484676,15,0.2724780168353879,1.0,1.0
CHEMBL1800,6,0.0004832877369013,0.0005444404172623,0.0028997264214082,0.0034110289937464,6,0.1027694752506357,1.0,1.0
CHEMBL1803,14,0.0005241277655262,0.0007575345857585,0.0073377887173673,0.007959067652075,14,0.2600592560789526,1.0,1.0
CHEMBL1804,7,0.0004571555589859,0.0005265310806402,0.0032000889129016,0.0039795338260375,7,0.1134146503981425,1.0,1.0
CHEMBL1806,10,0.0005532450530325,0.0006101465679182,0.0055324505303259,0.0056850483229107,10,0.1960760965772756,1.0,1.0
CHEMBL1807,11,0.0004840707015314,0.0005829893311849,0.0053247777168458,0.0062535531552018,11,0.1887159449755219,1.0,1.0
CHEMBL1808,3,0.0004139962955177,0.0005109867686159,0.0012419888865533,0.0017055144968732,3,0.0440174442650426,1.0,1.0
CHEMBL1811,6,0.0004904395415066,0.0006110699911817,0.0029426372490396,0.0034071550255536,6,0.104290281905254,1.0,1.0
CHEMBL1817,6,0.0006906620035964,0.0008222820307862,0.0041439720215787,0.0034110289937464,6,0.1468668999140149,1.0,1.0
CHEMBL1821,8,0.0004375572476322,0.0005265310806402,0.0035004579810581,0.0045480386583285,8,0.1240600586297882,1.0,1.0
CHEMBL1822,12,0.0005120736387229,0.0005829893311849,0.0061448836646752,0.0068143100511073,12,0.217781396559548,1.0,1.0
CHEMBL1824,58,0.0007262894745836,0.0010109100231417,0.0421247895258542,0.0329732802728823,58,1.4929486046181228,1.0,1.0
CHEMBL1827,11,0.0005342671472821,0.0011207536784544,0.0058769386201037,0.00625,11,0.2082851311797086,1.0,1.0
CHEMBL1832,6,0.0004832877369013,0.0005444404172623,0.0028997264214082,0.0034090909090909,6,0.1027694752506357,1.0,1.0
CHEMBL1833,7,0.0004695132989936,0.0006110699911817,0.0032865930929555,0.0039772727272727,7,0.1164804531323223,1.0,1.0
CHEMBL1835,10,0.0004301260909543,0.0005292513098544,0.0043012609095439,0.0056753688989784,10,0.1524413901002549,1.0,1.0
CHEMBL1836,6,0.00047933461252,0.0005444404172623,0.0028760076751202,0.0034071550255536,6,0.1019288569455347,1.0,1.0
CHEMBL1839,4,0.0007166000105331,0.0008029280972434,0.0028664000421324,0.0022740193291642,4,0.1015883519264278,1.0,1.0
CHEMBL1842,10,0.0005101539160907,0.0005758713305384,0.0051015391609071,0.0056850483229107,10,0.1808041264397542,1.0,1.0
