drug,n_pathways_tnbc,mean_pathway_score_tnbc,max_pathway_score_tnbc,sum_pathway_score_tnbc
CHEMBL1778,16,0.0005436087304297488,0.0006179740906595394,0.008697739686875981
CHEMBL1782,5,0.000442720012829334,0.0005043894392236589,0.00221360006414667
CHEMBL1783,29,0.0006004067379724101,0.0010115523172975751,0.017411795401199893
CHEMBL1785,10,0.00048190417227170977,0.0005938015641085593,0.004819041722717098
CHEMBL1786,2,0.00047873659346778653,0.0004790010121981064,0.0009574731869355731
CHEMBL1787,5,0.0004712158920977398,0.0005043894392236589,0.002356079460488699
CHEMBL1790,16,0.0005109247095357717,0.0008106735657093666,0.008174795352572347
CHEMBL1791,5,0.000641439804566373,0.0013890700171119,0.003207199022831865
CHEMBL1793,6,0.00048122855999018535,0.0005491911751487,0.002887371359941112
CHEMBL1795,3,0.0004117704698143908,0.00042590084393565,0.0012353114094431723
CHEMBL1798,15,0.0005046642882129262,0.0005938015641085593,0.007569964323193894
CHEMBL1800,6,0.00048122855999018535,0.0005491911751487,0.002887371359941112
CHEMBL1803,14,0.0005172530796214075,0.000736118966900895,0.007241543114699705
CHEMBL1804,7,0.0004499516073119848,0.0005182265072725687,0.0031496612511838938
CHEMBL1806,10,0.0005554519934118098,0.000629001504085225,0.005554519934118099
CHEMBL1807,11,0.00048450876775637457,0.000645738765762075,0.00532959644532012
CHEMBL1808,3,0.0004166023645587337,0.0005009456780062192,0.001249807093676201
CHEMBL1811,6,0.0004807426459133932,0.0005938015641085593,0.002884455875480359
CHEMBL1817,6,0.0006502415812182219,0.0008102818038131285,0.0039014494873093313
CHEMBL1821,8,0.00042230696311153004,0.0005182265072725687,0.0033784557048922403
CHEMBL1822,12,0.0005048595214027842,0.00057686640484815,0.00605831425683341
CHEMBL1824,58,0.0007084348507167414,0.0009405602640435332,0.041089221341571
CHEMBL1827,11,0.000485232874239031,0.00072652745029195,0.005337561616629341
CHEMBL1832,6,0.00048122855999018535,0.0005491911751487,0.002887371359941112
CHEMBL1833,7,0.00045702975417200844,0.0005938015641085593,0.003199208279204059
CHEMBL1835,10,0.00041891065334433484,0.0005043894392236589,0.004189106533443348
CHEMBL1836,6,0.00047330758108674997,0.0005491911751487,0.0028398454865205
CHEMBL1839,4,0.0006731190941054892,0.0007519097872204,0.0026924763764219566
CHEMBL1842,10,0.0005014641218339461,0.0005673045318414598,0.005014641218339461
CHEMBL1843,3,0.0006468555297338522,0.0007519097872204,0.0019405665892015564
CHEMBL1845,8,0.0004759106838366737,0.0005868213347151825,0.0038072854706933897
CHEMBL1846,6,0.0006143488323098839,0.0013890700171119,0.003686092993859303
CHEMBL1851,13,0.00044188367282518794,0.0005043894392236589,0.005744487746727443
CHEMBL1854,6,0.00047330758108674997,0.0005491911751487,0.0028398454865205
CHEMBL1855,6,0.0004807426459133932,0.0005938015641085593,0.002884455875480359
CHEMBL1856,5,0.0004712158920977398,0.0005043894392236589,0.002356079460488699
CHEMBL1859,10,0.0005372518179882571,0.0007955579593290546,0.005372518179882571
CHEMBL1860,9,0.0005499407943611781,0.000599457654030444,0.004949467149250603
CHEMBL1861,2,0.0005943284009905783,0.0007096557897830501,0.0011886568019811566
CHEMBL1864,3,0.0005797411559679467,0.00066485240794668,0.0017392234679038403
CHEMBL1867,17,0.00046658489202841975,0.00066485240794668,0.007931943164483136
CHEMBL1868,6,0.0005476339011863242,0.0006409639660670516,0.003285803407117945
CHEMBL1869,2,0.0005943284009905783,0.0007096557897830501,0.0011886568019811566
CHEMBL1871,23,0.0005630925987841651,0.000708536687292325,0.012951129772035799
CHEMBL1874,4,0.0005273428119377244,0.0008106735657093666,0.0021093712477508976
CHEMBL1875,7,0.00045065684146345714,0.0005491911751487,0.0031545978902442
CHEMBL1876,4,0.0005273428119377244,0.0008106735657093666,0.0021093712477508976
CHEMBL1881,6,0.00047330758108674997,0.0005491911751487,0.0028398454865205
CHEMBL1882,3,0.0004926539126606618,0.0005054886485959464,0.0014779617379819853
CHEMBL1883,3,0.0004926539126606618,0.0005054886485959464,0.0014779617379819853
CHEMBL1886,14,0.0005219134349192912,0.0008106735657093666,0.007306788088870076
CHEMBL1889,9,0.0005101809879687538,0.0008106735657093666,0.004591628891718784
CHEMBL1892,3,0.0005007331275348521,0.0007096557897830501,0.0015021993826045564
CHEMBL1893,6,0.0004481213519752861,0.0004931057336792899,0.0026887281118517167
CHEMBL1898,7,0.00043820296242106293,0.0005182265072725687,0.0030674207369474405
CHEMBL1899,3,0.0004926539126606618,0.0005054886485959464,0.0014779617379819853
CHEMBL1900,5,0.00047600477570433576,0.0005043894392236589,0.002380023878521679
CHEMBL1901,7,0.00046877839906293037,0.0005938015641085593,0.0032814487934405127
CHEMBL1903,6,0.00044038125132678485,0.0004931057336792899,0.002642287507960709
CHEMBL1904,32,0.000559505787063333,0.0008304627284669858,0.017904185186026655
CHEMBL1905,73,0.0005854709996410864,0.001136726839655,0.04273938297379931
CHEMBL1907,6,0.00046809383472419384,0.0005673045318414598,0.002808563008345163
CHEMBL1910,5,0.00048534731824792266,0.00050197665777845,0.0024267365912396133
