drug,n_pathways_tnbc,mean_pathway_score_tnbc,max_pathway_score_tnbc,sum_pathway_score_tnbc,tnbc_pathway_overlap_jaccard,n_shared_pathways_tnbc,tnbc_pathway_enrichment_similarity,n_families_tnbc,n_targets_with_family_tnbc
CHEMBL1778,16,0.0005436087304297,0.0006179740906595,0.0086977396868759,0.009009009009009,16,0.0005436087304296,1,1
CHEMBL1782,5,0.0004427200128293,0.0005043894392236,0.0022136000641466,0.0028121484814398,5,0.0004427200128292,0,0
CHEMBL1783,29,0.0006004067379724,0.0010115523172975,0.0174117954011998,0.0163288288288288,29,0.0006004067379723,1,1
CHEMBL1785,10,0.0004819041722717,0.0005938015641085,0.004819041722717,0.0056306306306306,10,0.0004819041722716,1,1
CHEMBL1786,2,0.0004787365934677,0.0004790010121981,0.0009574731869355,0.0011254924029262,2,0.0004787365934677,1,1
CHEMBL1787,5,0.0004712158920977,0.0005043894392236,0.0023560794604886,0.0028153153153153,5,0.0004712158920977,1,1
CHEMBL1790,16,0.0005109247095357,0.0008106735657093,0.0081747953525723,0.0089938167509836,16,0.0005109247095357,1,1
CHEMBL1791,5,0.0006414398045663,0.0013890700171119,0.0032071990228318,0.0028137310073157,5,0.0006414398045663,1,1
CHEMBL1793,6,0.0004812285599901,0.0005491911751487,0.0028873713599411,0.0033783783783783,6,0.0004812285599901,1,1
CHEMBL1795,3,0.0004117704698143,0.0004259008439356,0.0012353114094431,0.0016891891891891,3,0.0004117704698143,1,1
CHEMBL1798,15,0.0005046642882129,0.0005938015641085,0.0075699643231938,0.0084317032040472,15,0.0005046642882128,1,1
CHEMBL1800,6,0.0004812285599901,0.0005491911751487,0.0028873713599411,0.0033783783783783,6,0.0004812285599901,1,1
CHEMBL1803,14,0.0005172530796214,0.0007361189669008,0.0072415431146997,0.0078828828828828,14,0.0005172530796213,1,1
CHEMBL1804,7,0.0004499516073119,0.0005182265072725,0.0031496612511838,0.0039414414414414,7,0.0004499516073119,1,1
CHEMBL1806,10,0.0005554519934118,0.0006290015040852,0.005554519934118,0.0056306306306306,10,0.0005554519934117,1,1
CHEMBL1807,11,0.0004845087677563,0.000645738765762,0.0053295964453201,0.0061936936936936,11,0.0004845087677563,1,1
CHEMBL1808,3,0.0004166023645587,0.0005009456780062,0.0012498070936762,0.0016891891891891,3,0.0004166023645587,1,1
CHEMBL1811,6,0.0004807426459133,0.0005938015641085,0.0028844558754803,0.0033745781777277,6,0.0004807426459133,1,1
CHEMBL1817,6,0.0006502415812182,0.0008102818038131,0.0039014494873093,0.0033783783783783,6,0.0006502415812181,1,1
CHEMBL1821,8,0.0004223069631115,0.0005182265072725,0.0033784557048922,0.0045045045045045,8,0.0004223069631114,1,1
CHEMBL1822,12,0.0005048595214027,0.0005768664048481,0.0060583142568334,0.0067491563554555,12,0.0005048595214027,1,1
CHEMBL1824,58,0.0007084348507167,0.0009405602640435,0.041089221341571,0.0326576576576576,58,0.0007084348507167,1,1
