drug,her2_pathway_overlap_jaccard,n_shared_pathways_her2
CHEMBL1778,0.009019165727170236,16
CHEMBL1782,0.002815315315315315,5
CHEMBL1783,0.016347237880496055,29
CHEMBL1785,0.005636978579481398,10
CHEMBL1786,0.0011267605633802818,2
CHEMBL1787,0.002818489289740699,5
CHEMBL1790,0.009003939223410242,16
CHEMBL1791,0.0028169014084507044,5
CHEMBL1793,0.0033821871476888386,6
CHEMBL1795,0.0016910935738444193,3
CHEMBL1798,0.008441193021947102,15
CHEMBL1800,0.0033821871476888386,6
CHEMBL1803,0.007323943661971831,13
CHEMBL1804,0.003945885005636978,7
CHEMBL1806,0.005636978579481398,10
CHEMBL1807,0.0062006764374295375,11
CHEMBL1808,0.0016910935738444193,3
CHEMBL1811,0.0033783783783783786,6
CHEMBL1817,0.0033821871476888386,6
CHEMBL1821,0.004509582863585118,8
CHEMBL1822,0.006756756756756757,12
CHEMBL1824,0.03269447576099211,58
CHEMBL1827,0.006197183098591549,11
CHEMBL1832,0.0033802816901408453,6
CHEMBL1833,0.003943661971830986,7
CHEMBL1835,0.005627462014631401,10
CHEMBL1836,0.0033783783783783786,6
CHEMBL1839,0.002254791431792559,4
CHEMBL1842,0.005636978579481398,10
CHEMBL1843,0.0016891891891891893,3
CHEMBL1845,0.004509582863585118,8
CHEMBL1846,0.0033821871476888386,6
CHEMBL1851,0.007328072153325817,13
CHEMBL1854,0.0033802816901408453,6
CHEMBL1855,0.0033802816901408453,6
CHEMBL1856,0.002818489289740699,5
CHEMBL1859,0.005636978579481398,10
CHEMBL1860,0.005073280721533258,9
CHEMBL1861,0.0011261261261261261,2
CHEMBL1864,0.0016910935738444193,3
CHEMBL1867,0.009572072072072071,17
CHEMBL1868,0.0033821871476888386,6
CHEMBL1869,0.0011261261261261261,2
CHEMBL1871,0.012965050732807215,23
CHEMBL1874,0.0022497187851518562,4
CHEMBL1875,0.003943661971830986,7
CHEMBL1876,0.0022497187851518562,4
CHEMBL1881,0.0033783783783783786,6
CHEMBL1882,0.0016853932584269663,3
CHEMBL1883,0.0016853932584269663,3
CHEMBL1886,0.007878446820483961,14
CHEMBL1889,0.005064715813168261,9
CHEMBL1892,0.0016910935738444193,3
CHEMBL1893,0.0033821871476888386,6
CHEMBL1898,0.003943661971830986,7
CHEMBL1899,0.0016910935738444193,3
CHEMBL1900,0.00281214848143982,5
CHEMBL1901,0.003945885005636978,7
CHEMBL1903,0.0033783783783783786,6
CHEMBL1904,0.018038331454340473,32
CHEMBL1905,0.04114994363021421,73
CHEMBL1907,0.0033821871476888386,6
CHEMBL1910,0.0028089887640449437,5
CHEMBL1911,0.0022535211267605635,4
CHEMBL1912,0.0016910935738444193,3
CHEMBL1913,0.008455467869222097,15
CHEMBL1914,0.005627462014631401,10
CHEMBL1916,0.009572072072072071,17
CHEMBL1919,0.0028169014084507044,5
CHEMBL1920,0.003945885005636978,7
CHEMBL1925,0.003945885005636978,7
CHEMBL1927,0.014076576576576577,25
CHEMBL1929,0.003941441441441441,7
CHEMBL1935,0.005061867266591676,9
CHEMBL1936,0.02367531003382187,42
CHEMBL1940,0.007328072153325817,13
CHEMBL1941,0.003943661971830986,7
CHEMBL1942,0.0067605633802816905,12
CHEMBL1944,0.007891770011273957,14
CHEMBL1947,0.005073280721533258,9
CHEMBL1950,0.003943661971830986,7
CHEMBL1951,0.0072869955156950675,13
CHEMBL1952,0.004509582863585118,8
CHEMBL1957,0.007891770011273957,14
CHEMBL1958,0.0033802816901408453,6
CHEMBL1959,0.0062006764374295375,11
CHEMBL1962,0.003945885005636978,7
CHEMBL1963,0.0033802816901408453,6
CHEMBL1966,0.0011261261261261261,2
CHEMBL1968,0.0016910935738444193,3
CHEMBL1969,0.0016901408450704226,3
CHEMBL1970,0.003937007874015748,7
CHEMBL1971,0.006193693693693694,11
CHEMBL1972,0.009582863585118376,17
CHEMBL1975,0.005636978579481398,10
CHEMBL1976,0.002254791431792559,4
CHEMBL1977,0.007328072153325817,13
CHEMBL1978,0.005627462014631401,10
CHEMBL1981,0.005633802816901409,10
CHEMBL1983,0.003943661971830986,7
CHEMBL1985,0.0062006764374295375,11
CHEMBL1987,0.0033783783783783786,6
CHEMBL1988,0.0016910935738444193,3
CHEMBL1989,0.006756756756756757,12
CHEMBL1991,0.046223224351747465,82
CHEMBL1992,0.008445945945945946,15
CHEMBL1993,0.01126126126126126,20
CHEMBL1994,0.006764374295377677,12
CHEMBL1995,0.005067567567567568,9
CHEMBL1996,0.004509582863585118,8
CHEMBL1997,0.0022509848058525606,4
CHEMBL2000,0.005067567567567568,9
CHEMBL2001,0.00563063063063063,10
CHEMBL2002,0.006756756756756757,12
CHEMBL2004,0.003945885005636978,7
CHEMBL2008,0.005636978579481398,10
CHEMBL2014,0.003945885005636978,7
CHEMBL2015,0.012965050732807215,23
CHEMBL202,0.005633802816901409,10
CHEMBL2023,0.005621135469364812,10
CHEMBL2027,0.0,0
CHEMBL203,0.043968432919954906,78
CHEMBL2033,0.005627462014631401,10
CHEMBL2034,0.015783540022547914,28
CHEMBL2035,0.004509582863585118,8
CHEMBL2039,0.0016891891891891893,3
CHEMBL2040,0.0011273957158962795,2
CHEMBL2044,0.0022535211267605635,4
CHEMBL2045,0.0022509848058525606,4
CHEMBL2049,0.003943661971830986,7
CHEMBL205,0.003374578177727784,6
CHEMBL2050,0.002818489289740699,5
CHEMBL2055,0.010710259301014656,19
CHEMBL2056,0.003943661971830986,7
CHEMBL2057,0.005633802816901409,10
CHEMBL2059,0.0022535211267605635,4
CHEMBL206,0.024239007891770012,43
CHEMBL2060,0.011273957158962795,20
CHEMBL2061,0.03664036076662908,65
CHEMBL2062,0.0033821871476888386,6
CHEMBL2063,0.0016891891891891893,3
CHEMBL2064,0.009014084507042254,16
CHEMBL2066,0.0011273957158962795,2
CHEMBL2069,0.006193693693693694,11
CHEMBL207,0.02705749718151071,48
CHEMBL2070,0.047619047619047616,85
CHEMBL2071,0.005067567567567568,9
CHEMBL2074,0.0016882386043894203,3
CHEMBL2075,0.005636978579481398,10
CHEMBL2076,0.0039347948285553686,7
CHEMBL2079,0.0016901408450704226,3
CHEMBL208,0.014092446448703494,25
CHEMBL2081,0.003945885005636978,7
CHEMBL2083,0.007328072153325817,13
CHEMBL2084,0.0016910935738444193,3
CHEMBL2085,0.005636978579481398,10
CHEMBL2086,0.0016910935738444193,3
CHEMBL2088,0.002254791431792559,4
CHEMBL209,0.006197183098591549,11
CHEMBL2094,0.003945885005636978,7
CHEMBL2099,0.004509582863585118,8
CHEMBL210,0.009019165727170236,16
CHEMBL2100,0.003941441441441441,7
CHEMBL2102,0.002254791431792559,4
CHEMBL2104,0.005636978579481398,10
CHEMBL2105,0.003374578177727784,6
CHEMBL2106,0.006764374295377677,12
CHEMBL2107,0.014656144306651634,26
CHEMBL2108,0.011185682326621925,20
CHEMBL2109,0.018038331454340473,32
CHEMBL2114,0.0033783783783783786,6
CHEMBL2116,0.023072594259988744,41
CHEMBL2117,0.020258863252673044,36
CHEMBL212,0.020293122886133032,36
CHEMBL2120,0.038873239436619716,69
CHEMBL2121,0.005636978579481398,10
CHEMBL2123,0.0033783783783783786,6
CHEMBL2127,0.0033821871476888386,6
CHEMBL213,0.004509582863585118,8
CHEMBL2131,0.0016901408450704226,3
CHEMBL2139,0.0011273957158962795,2
CHEMBL2147,0.007891770011273957,14
CHEMBL2148,0.013528748590755355,24
CHEMBL215,0.010650224215246636,19
CHEMBL2156,0.0016910935738444193,3
CHEMBL2158,0.002818489289740699,5
CHEMBL2159,0.0028169014084507044,5
CHEMBL216,0.004509582863585118,8
CHEMBL2160,0.004507042253521127,8
CHEMBL2161,0.0033802816901408453,6
CHEMBL2164,0.014656144306651634,26
CHEMBL2167,0.08004509582863585,142
CHEMBL217,0.0028169014084507044,5
CHEMBL2171,0.02705749718151071,48
CHEMBL218,0.0033821871476888386,6
CHEMBL2182,0.003943661971830986,7
CHEMBL2184,0.003374578177727784,6
CHEMBL2185,0.019165727170236752,34
CHEMBL219,0.003943661971830986,7
CHEMBL2193,0.005064715813168261,9
CHEMBL2194,0.0028169014084507044,5
CHEMBL220,0.004501969611705121,8
CHEMBL2200,0.0033802816901408453,6
CHEMBL2202,0.0039347948285553686,7
CHEMBL2206,0.0033802816901408453,6
CHEMBL221,0.003943661971830986,7
CHEMBL222,0.0022509848058525606,4
CHEMBL223,0.005073280721533258,9
CHEMBL224,0.003943661971830986,7
CHEMBL2249,0.002818489289740699,5
CHEMBL225,0.003943661971830986,7
CHEMBL226,0.0033783783783783786,6
CHEMBL227,0.0062006764374295375,11
CHEMBL228,0.0022509848058525606,4
CHEMBL229,0.005073280721533258,9
CHEMBL230,0.009582863585118376,17
CHEMBL231,0.003943661971830986,7
CHEMBL232,0.005073280721533258,9
CHEMBL2326,0.0005633802816901409,1
CHEMBL2327,0.003943661971830986,7
CHEMBL2335,0.0033821871476888386,6
CHEMBL235,0.016910935738444193,30
CHEMBL236,0.0062006764374295375,11
CHEMBL2360,0.003372681281618887,6
CHEMBL237,0.006764374295377677,12
CHEMBL238,0.0033707865168539327,6
CHEMBL2388,0.0016901408450704226,3
CHEMBL239,0.018602029312288614,33
CHEMBL2392,0.005627462014631401,10
CHEMBL2399,0.008993816750983699,16
CHEMBL240,0.0028169014084507044,5
CHEMBL2401,0.007323943661971831,13
CHEMBL241,0.002254791431792559,4
CHEMBL2412,0.032130777903043965,57
CHEMBL2413,0.006764374295377677,12
CHEMBL2414,0.004509582863585118,8
CHEMBL2419,0.0022535211267605635,4
CHEMBL242,0.009019165727170236,16
CHEMBL2421,0.003945885005636978,7
CHEMBL2428,0.003945885005636978,7
CHEMBL2430,0.0033821871476888386,6
CHEMBL2433,0.0016910935738444193,3
CHEMBL2434,0.0062006764374295375,11
CHEMBL2438,0.0016910935738444193,3
CHEMBL2439,0.0022535211267605635,4
CHEMBL244,0.006734006734006734,12
CHEMBL2441,0.0016910935738444193,3
CHEMBL2442,0.0062006764374295375,11
CHEMBL2443,0.0033821871476888386,6
CHEMBL2447,0.0011254924029262803,2
CHEMBL245,0.006764374295377677,12
CHEMBL2457,0.002818489289740699,5
CHEMBL246,0.004509582863585118,8
CHEMBL2465,0.0011261261261261261,2
CHEMBL2468,0.0016901408450704226,3
CHEMBL2469,0.0011261261261261261,2
CHEMBL2476,0.004509582863585118,8
CHEMBL2478,0.0,0
CHEMBL248,0.009577464788732394,17
CHEMBL2484,0.001687289088863892,3
CHEMBL2487,0.03720405862457723,66
CHEMBL249,0.006197183098591549,11
CHEMBL2490,0.003943661971830986,7
CHEMBL2492,0.0016882386043894203,3
CHEMBL2493,0.0033802816901408453,6
CHEMBL2494,0.018591549295774647,33
CHEMBL2498,0.07722660653889515,137
CHEMBL250,0.007891770011273957,14
CHEMBL2502,0.002818489289740699,5
CHEMBL2503,0.0016901408450704226,3
CHEMBL2506,0.08793686583990981,156
CHEMBL2508,0.015783540022547914,28
CHEMBL251,0.006752954417557681,12
CHEMBL2514,0.003945885005636978,7
CHEMBL2517,0.0016910935738444193,3
CHEMBL252,0.003945885005636978,7
CHEMBL2524,0.0033783783783783786,6
CHEMBL2527,0.013528748590755355,24
CHEMBL253,0.0033821871476888386,6
CHEMBL2531,0.002254791431792559,4
CHEMBL2534,0.04222972972972973,75
CHEMBL2536,0.009003939223410242,16
CHEMBL254,0.003945885005636978,7
CHEMBL255,0.007878446820483961,14
CHEMBL2552,0.003945885005636978,7
CHEMBL2553,0.028153153153153154,50
CHEMBL2559,0.002818489289740699,5
CHEMBL256,0.0033783783783783786,6
CHEMBL2575,0.005633802816901409,10
CHEMBL258,0.02987598647125141,53
CHEMBL2581,0.009577464788732394,17
CHEMBL2582,0.03494926719278467,62
CHEMBL259,0.005636978579481398,10
CHEMBL2595,0.0016901408450704226,3
CHEMBL2597,0.04201680672268908,75
CHEMBL2599,0.02649379932356257,47
CHEMBL2600,0.010146561443066516,18
CHEMBL2608,0.00563063063063063,10
CHEMBL2609,0.0016910935738444193,3
CHEMBL2626,0.006756756756756757,12
CHEMBL2632,0.015783540022547914,28
CHEMBL2634,0.019729425028184894,35
CHEMBL264,0.0028169014084507044,5
CHEMBL2641,0.0016910935738444193,3
CHEMBL2650,0.009577464788732394,17
CHEMBL2652,0.004509582863585118,8
CHEMBL2655,0.02593010146561443,46
CHEMBL2656,0.0011267605633802818,2
CHEMBL267,0.09470124013528748,168
CHEMBL268,0.007887323943661971,14
CHEMBL2692,0.0016910935738444193,3
