drug,luma_pathway_overlap_jaccard,n_shared_pathways_luma
CHEMBL1778,0.006006006006006006,16
CHEMBL1782,0.002627627627627628,7
CHEMBL1783,0.010885885885885885,29
CHEMBL1785,0.0037537537537537537,10
CHEMBL1786,0.0011261261261261261,3
CHEMBL1787,0.0018768768768768769,5
CHEMBL1790,0.007132132132132132,19
CHEMBL1791,0.0022522522522522522,6
CHEMBL1793,0.0022522522522522522,6
CHEMBL1795,0.0011261261261261261,3
CHEMBL1798,0.006756756756756757,18
CHEMBL1800,0.0022522522522522522,6
CHEMBL1803,0.005255255255255256,14
CHEMBL1804,0.002627627627627628,7
CHEMBL1806,0.0037537537537537537,10
CHEMBL1807,0.004129129129129129,11
CHEMBL1808,0.0011261261261261261,3
CHEMBL1811,0.003003003003003003,8
CHEMBL1817,0.0022522522522522522,6
CHEMBL1821,0.003003003003003003,8
CHEMBL1822,0.005255255255255256,14
CHEMBL1824,0.02177177177177177,58
CHEMBL1827,0.0045045045045045045,12
CHEMBL1832,0.002627627627627628,7
CHEMBL1833,0.003003003003003003,8
CHEMBL1835,0.00487987987987988,13
CHEMBL1836,0.003003003003003003,8
CHEMBL1839,0.0015015015015015015,4
CHEMBL1842,0.0037537537537537537,10
CHEMBL1843,0.0018768768768768769,5
CHEMBL1845,0.003003003003003003,8
CHEMBL1846,0.0022522522522522522,6
CHEMBL1851,0.00487987987987988,13
CHEMBL1854,0.002627627627627628,7
CHEMBL1855,0.002627627627627628,7
CHEMBL1856,0.0018768768768768769,5
CHEMBL1859,0.0037537537537537537,10
CHEMBL1860,0.0033783783783783786,9
CHEMBL1861,0.0015015015015015015,4
CHEMBL1864,0.0011261261261261261,3
CHEMBL1867,0.007132132132132132,19
CHEMBL1868,0.0022522522522522522,6
CHEMBL1869,0.0015015015015015015,4
CHEMBL1871,0.008633633633633633,23
CHEMBL1874,0.003003003003003003,8
CHEMBL1875,0.003003003003003003,8
CHEMBL1876,0.003003003003003003,8
CHEMBL1881,0.003003003003003003,8
CHEMBL1882,0.0033783783783783786,9
CHEMBL1883,0.0033783783783783786,9
CHEMBL1886,0.0063813813813813815,17
CHEMBL1889,0.0045045045045045045,12
CHEMBL1892,0.0011261261261261261,3
CHEMBL1893,0.0022522522522522522,6
