drug,lumb_pathway_overlap_jaccard,n_shared_pathways_lumb
CHEMBL1778,0.009096077316657191,16
CHEMBL1782,0.003409090909090909,6
CHEMBL1783,0.01648664013644116,29
CHEMBL1785,0.005685048322910745,10
CHEMBL1786,0.0011363636363636363,2
CHEMBL1787,0.0028425241614553724,5
CHEMBL1790,0.009080590238365494,16
CHEMBL1791,0.002840909090909091,5
CHEMBL1793,0.0034110289937464467,6
CHEMBL1795,0.0017055144968732233,3
CHEMBL1798,0.00851305334846765,15
CHEMBL1800,0.0034110289937464467,6
CHEMBL1803,0.007959067652075043,14
CHEMBL1804,0.003979533826037522,7
CHEMBL1806,0.005685048322910745,10
CHEMBL1807,0.0062535531552018195,11
CHEMBL1808,0.0017055144968732233,3
CHEMBL1811,0.0034071550255536627,6
CHEMBL1817,0.0034110289937464467,6
CHEMBL1821,0.0045480386583285955,8
CHEMBL1822,0.0068143100511073255,12
CHEMBL1824,0.03297328027288232,58
CHEMBL1827,0.00625,11
CHEMBL1832,0.003409090909090909,6
CHEMBL1833,0.003977272727272727,7
CHEMBL1835,0.0056753688989784334,10
CHEMBL1836,0.0034071550255536627,6
CHEMBL1839,0.0022740193291642978,4
CHEMBL1842,0.005685048322910745,10
CHEMBL1843,0.0017035775127768314,3
CHEMBL1845,0.0045480386583285955,8
CHEMBL1846,0.0034110289937464467,6
CHEMBL1851,0.007390562819783968,13
CHEMBL1854,0.003409090909090909,6
CHEMBL1855,0.003409090909090909,6
CHEMBL1856,0.0028425241614553724,5
CHEMBL1859,0.005685048322910745,10
CHEMBL1860,0.00511654349061967,9
CHEMBL1861,0.001135718341851221,2
CHEMBL1864,0.0017055144968732233,3
CHEMBL1867,0.009653605905735378,17
CHEMBL1868,0.0034110289937464467,6
CHEMBL1869,0.001135718341851221,2
CHEMBL1871,0.013075611142694713,23
CHEMBL1874,0.0022688598979013048,4
CHEMBL1875,0.003977272727272727,7
CHEMBL1876,0.0022688598979013048,4
CHEMBL1881,0.0034071550255536627,6
CHEMBL1882,0.0016997167138810198,3
CHEMBL1883,0.0016997167138810198,3
CHEMBL1886,0.007945516458569807,14
CHEMBL1889,0.00510783200908059,9
CHEMBL1892,0.0017055144968732233,3
CHEMBL1893,0.0034110289937464467,6
CHEMBL1898,0.003977272727272727,7
CHEMBL1899,0.0017055144968732233,3
CHEMBL1900,0.0028360748723766306,5
CHEMBL1901,0.003979533826037522,7
CHEMBL1903,0.0034071550255536627,6
CHEMBL1904,0.018192154633314382,32
CHEMBL1905,0.041500852757248435,73
CHEMBL1907,0.0034110289937464467,6
CHEMBL1910,0.0028328611898017,5
CHEMBL1911,0.0022727272727272726,4
CHEMBL1912,0.0011363636363636363,2
CHEMBL1913,0.008527572484366117,15
CHEMBL1914,0.0056753688989784334,10
CHEMBL1916,0.009653605905735378,17
CHEMBL1919,0.002840909090909091,5
CHEMBL1920,0.003979533826037522,7
CHEMBL1925,0.003979533826037522,7
CHEMBL1927,0.014196479273140262,25
CHEMBL1929,0.003975014196479273,7
CHEMBL1935,0.005104934770277935,9
CHEMBL1936,0.023877202956225127,42
CHEMBL1940,0.007390562819783968,13
CHEMBL1941,0.003977272727272727,7
CHEMBL1942,0.006818181818181818,12
CHEMBL1944,0.007959067652075043,14
CHEMBL1947,0.00511654349061967,9
CHEMBL1950,0.003977272727272727,7
CHEMBL1951,0.007348784624081402,13
CHEMBL1952,0.0045480386583285955,8
CHEMBL1957,0.007959067652075043,14
CHEMBL1958,0.003409090909090909,6
CHEMBL1959,0.0062535531552018195,11
CHEMBL1962,0.003979533826037522,7
CHEMBL1963,0.003409090909090909,6
CHEMBL1966,0.001135718341851221,2
CHEMBL1968,0.0017055144968732233,3
CHEMBL1969,0.0017045454545454545,3
CHEMBL1970,0.003970504821327283,7
CHEMBL1971,0.006246450880181715,11
CHEMBL1972,0.009664582148948267,17
CHEMBL1975,0.005685048322910745,10
CHEMBL1976,0.0022740193291642978,4
CHEMBL1977,0.007390562819783968,13
CHEMBL1978,0.0056753688989784334,10
CHEMBL1981,0.005681818181818182,10
CHEMBL1983,0.003977272727272727,7
CHEMBL1985,0.0062535531552018195,11
CHEMBL1987,0.0034071550255536627,6
CHEMBL1988,0.0017055144968732233,3
CHEMBL1989,0.0068143100511073255,12
CHEMBL1991,0.046617396247868106,82
CHEMBL1992,0.008517887563884156,15
CHEMBL1993,0.011357183418512209,20
CHEMBL1994,0.006822057987492893,12
CHEMBL1995,0.005110732538330494,9
CHEMBL1996,0.0045480386583285955,8
CHEMBL1997,0.0022701475595913734,4
CHEMBL2000,0.005110732538330494,9
CHEMBL2001,0.0056785917092561046,10
CHEMBL2002,0.0068143100511073255,12
CHEMBL2004,0.003979533826037522,7
CHEMBL2008,0.005685048322910745,10
CHEMBL2014,0.003979533826037522,7
CHEMBL2015,0.013075611142694713,23
CHEMBL202,0.005681818181818182,10
CHEMBL2023,0.005668934240362812,10
CHEMBL2027,0.0,0
CHEMBL203,0.04434337691870381,78
CHEMBL2033,0.0056753688989784334,10
CHEMBL2034,0.015918135304150087,28
CHEMBL2035,0.0045480386583285955,8
CHEMBL2039,0.0017035775127768314,3
CHEMBL2040,0.0011370096645821489,2
CHEMBL2044,0.0022727272727272726,4
CHEMBL2045,0.0022701475595913734,4
CHEMBL2049,0.003977272727272727,7
CHEMBL205,0.003403289846851957,6
CHEMBL2050,0.0028425241614553724,5
CHEMBL2055,0.010801591813530414,19
CHEMBL2056,0.003977272727272727,7
CHEMBL2057,0.005681818181818182,10
CHEMBL2059,0.0022727272727272726,4
CHEMBL206,0.0244457077885162,43
CHEMBL2060,0.01137009664582149,20
CHEMBL2061,0.03695281409891984,65
CHEMBL2062,0.0034110289937464467,6
CHEMBL2063,0.0011350737797956867,2
CHEMBL2064,0.009664582148948267,17
CHEMBL2066,0.0011370096645821489,2
CHEMBL2069,0.006246450880181715,11
CHEMBL207,0.027288231949971573,48
CHEMBL2070,0.0480225988700565,85
CHEMBL2071,0.005110732538330494,9
CHEMBL2074,0.00170261066969353,3
CHEMBL2075,0.005685048322910745,10
CHEMBL2076,0.003968253968253968,7
CHEMBL2079,0.0017045454545454545,3
CHEMBL208,0.014212620807276862,25
CHEMBL2081,0.003979533826037522,7
CHEMBL2083,0.007390562819783968,13
CHEMBL2084,0.0017055144968732233,3
CHEMBL2085,0.005685048322910745,10
CHEMBL2086,0.0017055144968732233,3
CHEMBL2088,0.0022740193291642978,4
CHEMBL209,0.00625,11
CHEMBL2094,0.003979533826037522,7
CHEMBL2099,0.0045480386583285955,8
CHEMBL210,0.009096077316657191,16
CHEMBL2100,0.003975014196479273,7
CHEMBL2102,0.0022740193291642978,4
CHEMBL2104,0.005685048322910745,10
CHEMBL2105,0.003403289846851957,6
CHEMBL2106,0.006822057987492893,12
CHEMBL2107,0.014781125639567936,26
CHEMBL2108,0.011280315848843767,20
CHEMBL2109,0.018192154633314382,32
CHEMBL2114,0.0034071550255536627,6
CHEMBL2116,0.023269012485811577,41
CHEMBL2117,0.02043132803632236,36
CHEMBL212,0.02046617396247868,36
CHEMBL2120,0.039795338260375214,70
CHEMBL2121,0.005685048322910745,10
CHEMBL2123,0.0034071550255536627,6
CHEMBL2127,0.0034110289937464467,6
CHEMBL213,0.0045480386583285955,8
CHEMBL2131,0.0017045454545454545,3
CHEMBL2139,0.0011370096645821489,2
CHEMBL2147,0.007959067652075043,14
CHEMBL2148,0.013644115974985787,24
CHEMBL215,0.010740531373657434,19
CHEMBL2156,0.0017055144968732233,3
CHEMBL2158,0.0028425241614553724,5
CHEMBL2159,0.002840909090909091,5
CHEMBL216,0.0045480386583285955,8
CHEMBL2160,0.004545454545454545,8
CHEMBL2161,0.003409090909090909,6
CHEMBL2164,0.014781125639567936,26
CHEMBL2167,0.08072768618533258,142
CHEMBL217,0.002840909090909091,5
CHEMBL2171,0.027288231949971573,48
CHEMBL218,0.0034110289937464467,6
CHEMBL2182,0.003977272727272727,7
CHEMBL2184,0.003403289846851957,6
CHEMBL2185,0.019329164297896533,34
CHEMBL219,0.003977272727272727,7
CHEMBL2193,0.0045377197958026095,8
CHEMBL2194,0.002840909090909091,5
CHEMBL220,0.004540295119182747,8
CHEMBL2200,0.003409090909090909,6
CHEMBL2202,0.003968253968253968,7
CHEMBL2206,0.003409090909090909,6
CHEMBL221,0.003977272727272727,7
CHEMBL222,0.0022701475595913734,4
CHEMBL223,0.00511654349061967,9
CHEMBL224,0.003977272727272727,7
CHEMBL2249,0.0028425241614553724,5
CHEMBL225,0.003977272727272727,7
CHEMBL226,0.0034071550255536627,6
CHEMBL227,0.0062535531552018195,11
CHEMBL228,0.0022701475595913734,4
CHEMBL229,0.00511654349061967,9
CHEMBL230,0.009664582148948267,17
CHEMBL231,0.003977272727272727,7
CHEMBL232,0.00511654349061967,9
CHEMBL2326,0.0005681818181818182,1
CHEMBL2327,0.003977272727272727,7
CHEMBL2335,0.0034110289937464467,6
CHEMBL235,0.017055144968732235,30
CHEMBL236,0.0062535531552018195,11
CHEMBL2360,0.003401360544217687,6
CHEMBL237,0.006822057987492893,12
CHEMBL238,0.0033994334277620396,6
CHEMBL2388,0.0017045454545454545,3
CHEMBL239,0.018760659465605456,33
CHEMBL2392,0.0056753688989784334,10
CHEMBL2399,0.0084985835694051,15
CHEMBL240,0.002840909090909091,5
CHEMBL2401,0.007386363636363636,13
CHEMBL241,0.0022740193291642978,4
CHEMBL2412,0.03240477544059125,57
CHEMBL2413,0.006822057987492893,12
CHEMBL2414,0.0045480386583285955,8
CHEMBL2419,0.0022727272727272726,4
CHEMBL242,0.009096077316657191,16
CHEMBL2421,0.003979533826037522,7
CHEMBL2428,0.003979533826037522,7
CHEMBL2430,0.0034110289937464467,6
CHEMBL2433,0.0017055144968732233,3
CHEMBL2434,0.0062535531552018195,11
CHEMBL2438,0.0017055144968732233,3
CHEMBL2439,0.0022727272727272726,4
CHEMBL244,0.006791171477079796,12
CHEMBL2441,0.0017055144968732233,3
CHEMBL2442,0.0062535531552018195,11
CHEMBL2443,0.0034110289937464467,6
CHEMBL2447,0.0011350737797956867,2
CHEMBL245,0.006822057987492893,12
CHEMBL2457,0.0028425241614553724,5
CHEMBL246,0.0045480386583285955,8
CHEMBL2465,0.001135718341851221,2
CHEMBL2468,0.0017045454545454545,3
CHEMBL2469,0.001135718341851221,2
CHEMBL2476,0.0045480386583285955,8
CHEMBL2478,0.0,0
CHEMBL248,0.009659090909090909,17
CHEMBL2484,0.0017016449234259785,3
CHEMBL2487,0.03752131893121091,66
CHEMBL249,0.00625,11
CHEMBL2490,0.003977272727272727,7
CHEMBL2492,0.00170261066969353,3
CHEMBL2493,0.003409090909090909,6
CHEMBL2494,0.01875,33
CHEMBL2498,0.0778851620238772,137
CHEMBL250,0.007959067652075043,14
CHEMBL2502,0.0028425241614553724,5
CHEMBL2503,0.0017045454545454545,3
CHEMBL2506,0.08868675383740762,156
CHEMBL2508,0.015918135304150087,28
CHEMBL251,0.00681044267877412,12
CHEMBL2514,0.003979533826037522,7
CHEMBL2517,0.0017055144968732233,3
CHEMBL252,0.003979533826037522,7
CHEMBL2524,0.0028376844494892167,5
CHEMBL2527,0.013644115974985787,24
CHEMBL253,0.0034110289937464467,6
CHEMBL2531,0.0022740193291642978,4
CHEMBL2534,0.04258943781942078,75
CHEMBL2536,0.009080590238365494,16
CHEMBL254,0.003979533826037522,7
CHEMBL255,0.007945516458569807,14
CHEMBL2552,0.003979533826037522,7
CHEMBL2553,0.028392958546280524,50
CHEMBL2559,0.0028425241614553724,5
CHEMBL256,0.0034071550255536627,6
CHEMBL2575,0.005681818181818182,10
CHEMBL258,0.030130756111426946,53
CHEMBL2581,0.009659090909090909,17
CHEMBL2582,0.03524729960204662,62
CHEMBL259,0.005685048322910745,10
CHEMBL2595,0.001135718341851221,2
CHEMBL2597,0.0423728813559322,75
