drug,tnbc_pathway_overlap_jaccard,n_shared_pathways_tnbc
CHEMBL1778,0.009009009009009009,16
CHEMBL1782,0.00281214848143982,5
CHEMBL1783,0.01632882882882883,29
CHEMBL1785,0.00563063063063063,10
CHEMBL1786,0.0011254924029262803,2
CHEMBL1787,0.002815315315315315,5
CHEMBL1790,0.008993816750983699,16
CHEMBL1791,0.0028137310073157004,5
CHEMBL1793,0.0033783783783783786,6
CHEMBL1795,0.0016891891891891893,3
CHEMBL1798,0.008431703204047217,15
CHEMBL1800,0.0033783783783783786,6
CHEMBL1803,0.007882882882882882,14
CHEMBL1804,0.003941441441441441,7
CHEMBL1806,0.00563063063063063,10
CHEMBL1807,0.006193693693693694,11
CHEMBL1808,0.0016891891891891893,3
CHEMBL1811,0.003374578177727784,6
CHEMBL1817,0.0033783783783783786,6
CHEMBL1821,0.0045045045045045045,8
CHEMBL1822,0.006749156355455568,12
CHEMBL1824,0.03265765765765766,58
CHEMBL1827,0.0061902082160945416,11
CHEMBL1832,0.0033764772087788407,6
CHEMBL1833,0.0039392234102419805,7
CHEMBL1835,0.005621135469364812,10
CHEMBL1836,0.003374578177727784,6
CHEMBL1839,0.0022522522522522522,4
CHEMBL1842,0.00563063063063063,10
CHEMBL1843,0.001687289088863892,3
CHEMBL1845,0.0045045045045045045,8
CHEMBL1846,0.0033783783783783786,6
CHEMBL1851,0.00731981981981982,13
CHEMBL1854,0.0033764772087788407,6
CHEMBL1855,0.0033764772087788407,6
CHEMBL1856,0.002815315315315315,5
CHEMBL1859,0.00563063063063063,10
CHEMBL1860,0.005067567567567568,9
CHEMBL1861,0.0011248593925759281,2
CHEMBL1864,0.0016891891891891893,3
CHEMBL1867,0.009561304836895388,17
CHEMBL1868,0.0033783783783783786,6
CHEMBL1869,0.0011248593925759281,2
CHEMBL1871,0.01295045045045045,23
CHEMBL1874,0.0022471910112359553,4
CHEMBL1875,0.0039392234102419805,7
CHEMBL1876,0.0022471910112359553,4
CHEMBL1881,0.003374578177727784,6
CHEMBL1882,0.0016835016835016834,3
CHEMBL1883,0.0016835016835016834,3
CHEMBL1886,0.007869589657110737,14
CHEMBL1889,0.00505902192242833,9
CHEMBL1892,0.0016891891891891893,3
CHEMBL1893,0.0033783783783783786,6
CHEMBL1898,0.0039392234102419805,7
CHEMBL1899,0.0016891891891891893,3
CHEMBL1900,0.0028089887640449437,5
CHEMBL1901,0.003941441441441441,7
CHEMBL1903,0.003374578177727784,6
CHEMBL1904,0.018018018018018018,32
CHEMBL1905,0.04110360360360361,73
CHEMBL1907,0.0033783783783783786,6
CHEMBL1910,0.0028058361391694723,5
CHEMBL1911,0.0022509848058525606,4
CHEMBL1912,0.0016891891891891893,3
CHEMBL1913,0.008445945945945946,15
CHEMBL1914,0.005621135469364812,10
CHEMBL1916,0.009561304836895388,17
CHEMBL1919,0.0028137310073157004,5
CHEMBL1920,0.003941441441441441,7
CHEMBL1925,0.003941441441441441,7
CHEMBL1927,0.0140607424071991,25
CHEMBL1929,0.003372681281618887,6
CHEMBL1935,0.0050561797752808986,9
CHEMBL1936,0.02364864864864865,42
CHEMBL1940,0.00731981981981982,13
CHEMBL1941,0.0039392234102419805,7
CHEMBL1942,0.006752954417557681,12
CHEMBL1944,0.007882882882882882,14
CHEMBL1947,0.005067567567567568,9
CHEMBL1950,0.0039392234102419805,7
CHEMBL1951,0.007278835386338186,13
CHEMBL1952,0.0045045045045045045,8
CHEMBL1957,0.007882882882882882,14
