drug,reactome_id,pathway_name
CHEMBL1778,R-HSA-1280215,Cytokine Signaling in Immune system
CHEMBL1778,R-HSA-162582,Signal Transduction
CHEMBL1778,R-HSA-168256,Immune System
CHEMBL1778,R-HSA-212436,Generic Transcription Pathway
CHEMBL1778,R-HSA-449147,Signaling by Interleukins
CHEMBL1778,R-HSA-451927,Interleukin-2 family signaling
CHEMBL1778,R-HSA-512988,"Interleukin-3, Interleukin-5 and GM-CSF signaling"
CHEMBL1778,R-HSA-5673001,RAF/MAP kinase cascade
CHEMBL1778,R-HSA-5683057,MAPK family signaling cascades
CHEMBL1778,R-HSA-5684996,MAPK1/MAPK3 signaling
CHEMBL1778,R-HSA-73857,RNA Polymerase II Transcription
CHEMBL1778,R-HSA-74160,Gene expression (Transcription)
CHEMBL1778,R-HSA-8877330,RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)
CHEMBL1778,R-HSA-8878171,Transcriptional regulation by RUNX1
CHEMBL1778,R-HSA-9020558,Interleukin-2 signaling
CHEMBL1778,R-HSA-912526,Interleukin receptor SHC signaling
CHEMBL1782,R-HSA-1430728,Metabolism
CHEMBL1782,R-HSA-1655829,Regulation of cholesterol biosynthesis by SREBP (SREBF)
CHEMBL1782,R-HSA-191273,Cholesterol biosynthesis
CHEMBL1782,R-HSA-2426168,Activation of gene expression by SREBF (SREBP)
CHEMBL1782,R-HSA-556833,Metabolism of lipids
CHEMBL1782,R-HSA-8957322,Metabolism of steroids
CHEMBL1782,R-HSA-9969896,Lanosterol biosynthesis
CHEMBL1783,R-HSA-109582,Hemostasis
CHEMBL1783,R-HSA-114608,Platelet degranulation 
CHEMBL1783,R-HSA-1234158,Regulation of gene expression by Hypoxia-inducible Factor
CHEMBL1783,R-HSA-1234174,Cellular response to hypoxia
CHEMBL1783,R-HSA-1280215,Cytokine Signaling in Immune system
CHEMBL1783,R-HSA-162582,Signal Transduction
CHEMBL1783,R-HSA-1643685,Disease
CHEMBL1783,R-HSA-168256,Immune System
CHEMBL1783,R-HSA-194138,Signaling by VEGF
CHEMBL1783,R-HSA-194313,VEGF ligand-receptor interactions
CHEMBL1783,R-HSA-195399,VEGF binds to VEGFR leading to receptor dimerization
