,pagerank
SRC,0.0019745899272412487
TP53,0.0018183035122970794
EGFR,0.001521058742994159
RPS27A,0.0013920415506414765
EP300,0.001352321065363703
HRAS,0.001347420100122349
HSP90AA1,0.0011668691714855175
ITGB1,0.001163780809613852
PIK3R1,0.0010790452104484614
CDK1,0.001068276345443253
FN1,0.0010319300821731586
PIK3CA,0.0010119968549400047
DLG4,0.0010068342124964576
KRAS,0.0009789628675961862
JUN,0.0009609354776765932
PTPN11,0.0009367233773152049
FYN,0.0009288386253803428
ESR1,0.0009215648959767994
TNF,0.0009084578369859085
NRAS,0.0008865015899218341
GNAQ,0.0008654403581664486
CD4,0.0008562893258499464
IL6,0.0008351315526256473
PRKACB,0.0008274485982231552
SMAD3,0.0008153197773820965
CDH1,0.0008083410799649081
CCNB1,0.0007929536533074
JAK2,0.0007917556784322339
MYC,0.00079096060312006
CAV1,0.0007682808923763105
PRKCA,0.0007486218968267106
GNAI1,0.000744920319377786
VEGFA,0.0007416083763548242
EGF,0.0007404234309460478
ITGB3,0.0007258412498469949
CCNA2,0.0007242620606235264
APP,0.000722902125727038
ALB,0.0007147780520863113
STAT1,0.0007103630118396665
LCK,0.0007074758404647555
CD44,0.0006868578381500925
PTEN,0.0006833071952439831
LYN,0.0006805191633402967
FOS,0.0006798167832390164
NOTCH1,0.0006717295622966407
MAPK8,0.000662609872417406
PTPRC,0.0006559532801826793
ERBB2,0.0006545715461374435
IGF1,0.0006475470987270153
SOS1,0.0006471387282116843
GNAS,0.000644229312574807
PPP1CA,0.0006430515601815396
PLK1,0.0006424792058355427
SOX2,0.0006370749765129435
KIF11,0.0006358610981718517
BRCA1,0.0006318403466108484
CCND1,0.0006311553269093167
HSPA8,0.0006308195185356332
KDR,0.00062989003778305
GNG2,0.0006276983336886985
CBL,0.0006274391863120093
ITGAM,0.0006270131935113278
ITGAV,0.0006225188920746547
AR,0.0006156636570421861
AURKB,0.0006115548264956604
BUB1B,0.0006100481699927323
BUB1,0.0006077554118070353
HDAC2,0.000598770508909115
PPARG,0.0005921563913649148
SNAP25,0.0005880128341698046
TLR4,0.0005858898235986344
CDC20,0.0005837998583211497
CCNB2,0.0005827999579008599
HIF1A,0.0005827318330159602
IL10,0.0005819459779848025
SDC1,0.0005812727467697238
JAK1,0.0005794173645032579
RXRA,0.0005714247580744633
CD8A,0.0005657851062639959
IL1B,0.0005642039228493175
SYK,0.0005639502027682554
CFTR,0.0005634194109904002
FGF2,0.000563266555273122
