reactome_id,pathway_name,pagerank_sum,n_genes,her2_pathway_score
R-HSA-1059683,Interleukin-6 signaling,0.0047833665491713,7,0.0006833380784530429
R-HSA-109581,Apoptosis,0.0078399691292624,13,0.0006030745484048
R-HSA-109582,Hemostasis,0.0561040265625587,103,0.0005446992870151331
R-HSA-109606,Intrinsic Pathway for Apoptosis,0.0046437213723711,8,0.0005804651715463875
R-HSA-109704,PI3K Cascade,0.005246981890667,8,0.000655872736333375
R-HSA-110056,MAPK3 (ERK1) activation,0.0042113043183194,5,0.00084226086366388
R-HSA-110312,Translesion synthesis by REV1,0.0023487368534962,3,0.0007829122844987334
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,0.0029679244726899,5,0.00059358489453798
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,0.0033416419084628,6,0.0005569403180771333
R-HSA-110320,Translesion Synthesis by POLH,0.0023487368534962,3,0.0007829122844987334
R-HSA-110362,POLB-Dependent Long Patch Base Excision Repair,0.0006947145394315,2,0.00034735726971575
R-HSA-110373,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,0.00227059746148,6,0.00037843291024666667
R-HSA-111446,Activation of BIM and translocation to mitochondria ,0.0006626098724174,1,0.0006626098724174
R-HSA-111447,Activation of BAD and translocation to mitochondria ,0.0014921358999826,4,0.00037303397499565
R-HSA-111448,Activation of NOXA and translocation to mitochondria,0.0021419800195246,2,0.0010709900097623
R-HSA-111453,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,0.0002896049678946,1,0.0002896049678946
R-HSA-111465,Apoptotic cleavage of cellular proteins,0.0008237630425455,2,0.00041188152127275
R-HSA-111471,Apoptotic factor-mediated response,0.0003469955804465,1,0.0003469955804465
R-HSA-111885,Opioid Signalling,0.012848550245313499,30,0.00042828500817711663
R-HSA-111931,PKA-mediated phosphorylation of CREB,0.0033440277536886,9,0.00037155863929873333
R-HSA-111932,CaMK IV-mediated phosphorylation of CREB,0.0014856926593066,4,0.00037142316482665
R-HSA-111933,Calmodulin induced events,0.0062906107091362,16,0.0003931631693210125
R-HSA-111996,Ca-dependent events,0.0062906107091362,16,0.0003931631693210125
R-HSA-111997,CaM pathway,0.0062906107091362,16,0.0003931631693210125
R-HSA-112040,G-protein mediated events,0.0093563423927371,22,0.00042528829057895907
R-HSA-112043,PLC beta mediated events,0.008315296714746699,20,0.00041576483573733497
R-HSA-112310,Neurotransmitter release cycle,0.0038977726325718,9,0.00043308584806353334
R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,0.0215200862126763,43,0.0005004671212250302
R-HSA-112315,Transmission across Chemical Synapses,0.0247514701177084,50,0.000495029402354168
R-HSA-112316,Neuronal System,0.0258457872987589,53,0.00048765636412752647
R-HSA-112399,IRS-mediated signalling,0.009107005176518801,12,0.0007589170980432334
R-HSA-112409,RAF-independent MAPK1/3 activation,0.0042113043183194,5,0.00084226086366388
R-HSA-112411,MAPK1 (ERK2) activation,0.0031430279728762002,4,0.0007857569932190501
R-HSA-112412,SOS-mediated signalling,0.0043233017836409,5,0.00086466035672818
R-HSA-113501,Inhibition of replication initiation of damaged DNA by RB1/E2F1,0.0008180812956026999,2,0.00040904064780134994
R-HSA-113507,E2F-enabled inhibition of pre-replication complex formation,0.0018612299987506,2,0.0009306149993753
R-HSA-113510,E2F mediated regulation of DNA replication,0.0026793112943533,4,0.000669827823588325
R-HSA-114452,Activation of BH3-only proteins,0.0042967257919246,7,0.0006138179702749429
R-HSA-114508,Effects of PIP2 hydrolysis,0.0011462462139252,3,0.00038208207130840005
R-HSA-114516,Disinhibition of SNARE formation,0.0016126771921531,3,0.0005375590640510333
