,pagerank
TP53,0.002233382888295153
SRC,0.002189676592187815
EP300,0.0018691357622747425
EGFR,0.0017398769222158272
HRAS,0.0016721880653606698
RPS27A,0.0015153666009993176
PIK3R1,0.0013382335805315832
PIK3CA,0.0013199408521544758
JUN,0.0013169797031096341
KRAS,0.0013052737552064742
HSP90AA1,0.0012565574273925365
NRAS,0.0011744581562283117
PTPN11,0.0011441184283724616
ITGB1,0.0011281739802491324
ESR1,0.0011089085609771474
JAK2,0.0011077135693759524
SMAD3,0.0011019803356169572
CDK1,0.0010867819444825204
GNAQ,0.0010533170409250754
MYC,0.0010263673869243982
CDH1,0.0010137308938114235
FYN,0.0010090985110931276
SOX2,0.0009996327764176377
TNF,0.000988089532085187
CD4,0.0009658967136480796
PTEN,0.0009537525978618894
FN1,0.0009469150431690126
CCND1,0.0009384834824677876
AR,0.0009265571902069546
IL6,0.0009130159208692181
DLG4,0.0009038758793936915
LCK,0.0008996107820580117
NOTCH1,0.0008867448328356828
GNAS,0.0008848542919582986
PRKACB,0.0008720578882700106
SOS1,0.0008671420819475153
ERBB2,0.0008584776388363672
LYN,0.0008583832343805185
JAK1,0.0008569616480978591
BRCA1,0.0008477225561081913
CBL,0.0008297082046311748
HDAC2,0.0008251449668835667
KDR,0.0008156027111702454
PTPRC,0.0008151097548016948
EZH2,0.0007899654691350382
STAT1,0.0007859841403481513
EGF,0.0007844392972861367
POMC,0.0007753760799657493
FOXO1,0.0007684562067972221
CD44,0.0007678596607410449
VEGFA,0.00076762284146319
PPARG,0.0007671840989817301
HIF1A,0.0007630491382179406
FOS,0.0007602782612000542
CAV1,0.0007516290239595783
IL2,0.0007499688810217406
RXRA,0.0007464165066772303
ATM,0.0007430427949821717
POU5F1,0.0007427707219992098
ITGAV,0.0007363527859022709
MDM2,0.0007291903956164971
RB1,0.0007282681909338988
PRKCA,0.0007266830007608614
MAPK8,0.0007245960969193873
KIT,0.0007243027465154927
GNAI1,0.0007231537895615037
IL10,0.0007216363301535613
SYK,0.0007212302414014627
CXCR4,0.0007208482727751746
CCNB1,0.0007200296173829212
NCOR1,0.0007094063555570522
ALB,0.0006994001660954589
FOXO3,0.000692274309552872
IGF1,0.0006872843865710255
RUNX1,0.0006812633992856747
HIST2H2BE,0.0006675684041027313
HIST2H2AC,0.0006663101768344936
GNG2,0.0006661767760182897
PRKCB,0.0006656366944054706
ITGB3,0.000651574770806194
AKT3,0.000649819797226397
