reactome_id,pathway_name,luma_pathway_score
R-HSA-162582,Signal Transduction,0.1537842052477922
R-HSA-1643685,Disease,0.1262818772289532
R-HSA-168256,Immune System,0.1097527112367198
R-HSA-1266738,Developmental Biology,0.0978185915307112
R-HSA-74160,Gene expression (Transcription),0.086774286801405
R-HSA-73857,RNA Polymerase II Transcription,0.0825078458496615
R-HSA-212436,Generic Transcription Pathway,0.0819789313908952
R-HSA-1280215,Cytokine Signaling in Immune system,0.0805652306560317
R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,0.0733244224374718
R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,0.0718486849471878
R-HSA-5663205,Infectious disease,0.0683243291881201
R-HSA-449147,Signaling by Interleukins,0.0647816855211231
R-HSA-392499,Metabolism of proteins,0.0605095401637408
R-HSA-8953897,Cellular responses to stimuli,0.0600752921190352
R-HSA-109582,Hemostasis,0.058212054098014096
R-HSA-1280218,Adaptive Immune System,0.0572776891157571
R-HSA-168249,Innate Immune System,0.0547484581111961
R-HSA-5683057,MAPK family signaling cascades,0.0488387405371056
R-HSA-9824446,Viral Infection Pathways,0.0484830895712264
R-HSA-597592,Post-translational protein modification,0.0476881928565896
R-HSA-9006925,Intracellular signaling by second messengers,0.0461169306836987
R-HSA-1430728,Metabolism,0.0451741251076365
R-HSA-9675108,Nervous system development,0.0430922847611375
R-HSA-5684996,MAPK1/MAPK3 signaling,0.0429998961277094
R-HSA-1640170,Cell Cycle,0.0428796480328572
R-HSA-2262752,Cellular responses to stress,0.042043240085011
R-HSA-372790,Signaling by GPCR,0.041846983501394
R-HSA-422475,Axon guidance,0.0413844827506619
R-HSA-1257604,PIP3 activates AKT signaling,0.0406836078430288
R-HSA-388396,GPCR downstream signalling,0.0397875763265474
R-HSA-5673001,RAF/MAP kinase cascade,0.0395225499473856
R-HSA-9006931,Signaling by Nuclear Receptors,0.0379134170673654
R-HSA-8939211,ESR-mediated signaling,0.0356653862324308
R-HSA-76002,"Platelet activation, signaling and aggregation",0.0337570919533068
R-HSA-69278,"Cell Cycle, Mitotic",0.0327181738339508
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,0.0322757131814951
R-HSA-388841,Regulation of T cell activation by CD28 family,0.0318427569016213
R-HSA-2219528,PI3K/AKT Signaling in Cancer,0.0314789764713351
R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",0.0292728797265283
R-HSA-9679506,SARS-CoV Infections,0.0290991161968975
R-HSA-194315,Signaling by Rho GTPases,0.028896746413498
R-HSA-199418,Negative regulation of the PI3K/AKT network,0.027901978777516
R-HSA-3700989,Transcriptional Regulation by TP53,0.0275004454678816
R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer,0.026298406382427898
R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",0.026298406382427898
R-HSA-202733,Cell surface interactions at the vascular wall,0.0253570169405438
R-HSA-9009391,Extra-nuclear estrogen signaling,0.0246393433877171
R-HSA-194138,Signaling by VEGF,0.0243121676153128
R-HSA-4420097,VEGFA-VEGFR2 Pathway,0.0238145413555153
R-HSA-1433557,Signaling by SCF-KIT,0.0236000634456803
R-HSA-112316,Neuronal System,0.0229847162537001
R-HSA-112315,Transmission across Chemical Synapses,0.0229847162537001
R-HSA-69620,Cell Cycle Checkpoints,0.0227719406491065
R-HSA-166520,Signaling by NTRKs,0.0227185689726704
R-HSA-5688426,Deubiquitination,0.0224581628234315
R-HSA-8878171,Transcriptional regulation by RUNX1,0.0220377050419072
R-HSA-1236394,Signaling by ERBB4,0.0212863378087902
R-HSA-1227986,Signaling by ERBB2,0.021026519657701
R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,0.0208975121610836
R-HSA-1500931,Cell-Cell communication,0.0207966902001527
R-HSA-157118,Signaling by NOTCH,0.0206780169052003
R-HSA-2454202,Fc epsilon receptor (FCERI) signaling,0.0205108804753598
R-HSA-9658195,Leishmania infection,0.020501884174201
R-HSA-9824443,Parasitic Infection Pathways,0.020501884174201
R-HSA-416476,G alpha (q) signalling events,0.0203167367709477
R-HSA-5653656,Vesicle-mediated transport,0.0202033681835607
R-HSA-8878159,Transcriptional regulation by RUNX3,0.0201010809493139
R-HSA-187037,Signaling by NTRK1 (TRKA),0.0195347620582945
R-HSA-389948,Co-inhibition by PD-1,0.0194439699297462
R-HSA-195721,Signaling by WNT,0.0193876085825731
R-HSA-556833,Metabolism of lipids,0.0193001402511901
R-HSA-1474244,Extracellular matrix organization,0.0192867775554466
R-HSA-418594,G alpha (i) signalling events,0.0192357221872976
R-HSA-2990846,SUMOylation,0.0192266007022666
