,pagerank
SRC,0.001973302624306958
TP53,0.0018475955804980542
EGFR,0.0015277259674193874
EP300,0.0013951846487226596
RPS27A,0.001390290527332438
HRAS,0.0013216155202103955
ITGB1,0.0011889145420541578
PIK3R1,0.001128146263484445
HSP90AA1,0.00112075367845445
CDK1,0.0010737657170049179
FN1,0.0010501697060051516
PIK3CA,0.0010388687265188152
DLG4,0.0010221756895238854
FYN,0.001002976372618128
JUN,0.0009909017689052856
KRAS,0.0009878051175021489
PTPN11,0.0009629768893711987
ESR1,0.0009608286246516471
TNF,0.0009298734355753993
GNAQ,0.0009062564891221074
NRAS,0.0008910605669648194
CD4,0.0008817609696392133
SMAD3,0.0008776335756166394
IL6,0.000874078449114656
PRKACB,0.0008606571088228291
CCNB1,0.0008372408582518757
CDH1,0.0008289971017832765
JAK2,0.0008175199176676112
CAV1,0.0008029280972434392
MYC,0.0007978725882603018
EGF,0.0007694420917361806
STAT1,0.0007603490863120195
APP,0.0007600670673291121
PRKCA,0.0007484805784519764
CCNA2,0.0007363162114684158
ITGB3,0.0007351321924987228
ALB,0.0007346799395943718
GNAI1,0.0007121177008142128
LCK,0.0007098487922163593
VEGFA,0.0007075973445900507
FOS,0.000703125372037078
CD44,0.000699936237651308
NOTCH1,0.0006890671249577999
LYN,0.0006831150092336289
MAPK8,0.0006758389085126772
IGF1,0.000673325111932453
ERBB2,0.0006722247318229806
PTPRC,0.0006716656796337436
GNAS,0.0006651688340534637
PTEN,0.0006573924667506255
GNG2,0.000654691948913349
SOS1,0.0006514575673048377
PLK1,0.0006508124647157354
HSPA8,0.000648422457976171
SOX2,0.0006458563803500351
CCND1,0.0006452046163612226
BRCA1,0.0006440773156896827
KIF11,0.0006438051002820173
ITGAM,0.0006388632838791779
KDR,0.0006323226620579483
ITGAV,0.0006275979195804707
CBL,0.000626080048349073
JAK1,0.0006248495179612501
BUB1B,0.0006219135281035745
IL10,0.0006206328858602298
BUB1,0.0006183151642397469
AR,0.0006152094652026232
AURKB,0.0006067601931910664
PPP1CA,0.000604399126227648
RXRA,0.0006004995603472176
SNAP25,0.0005967864083727684
HIF1A,0.0005964706974068433
CCNB2,0.0005942861173052695
SDC1,0.0005931279232852166
PPARG,0.0005918001959440922
CDC20,0.0005908364016182181
HDAC2,0.0005836047405272728
YWHAZ,0.0005826800621421579
TLR4,0.0005800272426424029
FGF2,0.0005750816097445269
IL1B,0.0005736040514136194
CD8A,0.0005694996212766369
AURKA,0.0005604565045154952
RRM2,0.0005594007635387931
SYK,0.0005585068723674608
MAPK11,0.0005570582344958027
TOP2A,0.000555557254706015
CFTR,0.0005553149016996766
CDC6,0.0005525770882000783
POU5F1,0.0005495935533982009
CACNA1C,0.0005468631479192868
MDM2,0.0005446198858816333
CXCR4,0.0005444303775388851
IL2,0.0005441267738033829
KIF2C,0.0005416758435227446
KIT,0.0005415118630161751
HIST2H2BE,0.0005381467085901628
NCAPG,0.000535778277837984
KAT2B,0.000533879563618042
HIST2H2AC,0.000531719883877365
EZH2,0.0005272147045302925
FOXO1,0.000526784675003344
MMP9,0.0005212571399126396
ATM,0.0005193910697918855
MAD2L1,0.0005185004779216394
POMC,0.0005155759024965987
PRKCB,0.0005151362638511505
ASPM,0.0005149885378480679
PCNA,0.0005142224986935924
RUNX2,0.0005135712639905101
STAT5A,0.0005131745801857845
BIRC5,0.0005071095994358393
EZR,0.0005065819277659668
CDC45,0.0005044218484086417
TJP1,0.0005036853448813316
PLCG2,0.0005014997327927525
NDC80,0.0005000832316973419
PPARA,0.0004984316174930785
IKBKB,0.000498301067750556
RB1,0.000495478267738068
TTK,0.0004892710998395533
STX1A,0.00048757339217953455
APOA1,0.00048674016815297293
TGFB1,0.0004856900373720747
GAPDH,0.0004855070615629375
H2AFZ,0.0004836574468983517
CENPA,0.00048345324038722543
CHEK1,0.0004830487990189011
H2AFX,0.00048263546690523716
NCOA1,0.00048240279764192055
FOXO3,0.00048123957806889007
EXO1,0.0004809700293419217
VAMP2,0.0004809248246713709
NCOR1,0.000479155421847899
UBE2C,0.00047887518568021445
HSPG2,0.0004787531119720882
PPARGC1A,0.00047776358151744636
CDCA8,0.0004777028598771507
ITGB2,0.0004731031945683754
CXCL12,0.00047297461302393487
MET,0.0004707523743378099
ARRB1,0.0004676803672526107
MCM2,0.0004664398897098971
PDGFRB,0.00046198780053831784
HGF,0.0004616321007399364
DMD,0.0004598456829227721
BMP2,0.00045836350210443625
RAC2,0.0004580149833714845
BDNF,0.000457544135092066
TTN,0.0004558797330489829
GRIN2B,0.00045429084926810104
FGFR1,0.0004532472655940783
RAC3,0.00045278222259875387
RFC4,0.0004521475710436749
KIF20A,0.00045123450411608537
PTPN6,0.0004509012908445238
EDN1,0.0004492954066503546
KIF23,0.0004489263677390512
THBS1,0.0004482543551043624
DLGAP5,0.00044787453484568094
DVL1,0.0004478422834624924
YES1,0.0004477463490069509
NGF,0.0004472602820371453
RASA1,0.0004470849409012653
NTRK1,0.0004449771571688619
SDC4,0.0004430940817620072
RAD51,0.00044236474632340444
ERBB4,0.0004398752783680137
GNAO1,0.0004398291036613627
MCM4,0.00043973970979042655
LEP,0.00043962044834770504
PRKCZ,0.0004384081406666331
VCL,0.00043783923174596794
NANOG,0.0004371491684028532
GNA11,0.00043656389792692417
FLNA,0.000436475871554634
MMP2,0.000434862084385884
DCN,0.00043477083314062085
NR3C1,0.0004320079583059939
ACAN,0.00043188884665321835
IRS1,0.00043105344380072055
PAK1,0.00042823733431896513
STAT5B,0.00042812785109362677
ITGA1,0.0004272166463922688
GATA4,0.0004257563027154134
TYMS,0.00042550832621874414
NFKBIA,0.00042449627922567157
MUC1,0.0004238335199534032
CAMK2B,0.0004236758870280327
CAV3,0.0004230632306890589
CENPE,0.0004226526618072841
NCOA2,0.00042252105391758456
GNGT1,0.0004220314595023903
ACTA1,0.0004218767029589458
CAMK2A,0.0004216915989479472
APOB,0.000420603796396772
GRIN2A,0.0004195115310238762
CLTC,0.00041940732033848594
PBK,0.00041801505719220707
TLR2,0.0004169064296059073
CYP3A4,0.00041533902875757805
COL1A1,0.00041474131354447217
IGF1R,0.0004142991174990683
TPX2,0.0004132111379902922
PRC1,0.00041252994590672184
LPL,0.0004102781943145646
CENPF,0.0004100452244664787
PECAM1,0.0004085123977347444
EGR1,0.000407028118430877
GRIA1,0.000406736142590803
APOE,0.0004061483454977698
GRIN1,0.00040598603326280294
CDKN1A,0.00040494316707940527
JAK3,0.00040488227799346626
WNT1,0.00040355662348331804
VAV1,0.00040340051662036334
AXIN1,0.00040321576051642697
JUP,0.00040236707825604926
CD80,0.0004022914500232339
ITPR1,0.00040216035585795474
BCAR1,0.00040040938828815023
TRAF2,0.00039970912029563304
CEBPA,0.00039918902765763816
MED1,0.00039915659458148
NUSAP1,0.0003988441773039598
RBBP7,0.00039868824720716236
PIK3R2,0.0003983215874309538
FAU,0.0003978682187761897
CAT,0.00039757492606813574
VWF,0.0003964526545309464
CEP55,0.00039564308096879384
CDK5,0.00039471163646720507
ITGAX,0.000393874376997276
CTLA4,0.0003936262625232537
CD28,0.00039361265070424965
MAPK10,0.0003924692843567694
NEK2,0.0003907414894377944
TYROBP,0.00038917966415746836
GNB5,0.0003876745804131139
RUNX1,0.0003874537562688248
CSF2,0.00038634927024478664
WNT3A,0.0003855329768737953
FGFR2,0.00038541253962311764
PRKCD,0.0003844484469840199
MELK,0.0003843692759791624
CD19,0.0003837909338954039
CDC25C,0.00038369163593952177
C3,0.0003823356271589096
AGRN,0.00038232649738007484
CACNA1D,0.0003822080083221447
IFNG,0.00038153893526131566
LRP5,0.00038033261162399753
SHH,0.00038005013453859104
NCAM1,0.00037943099263021245
CYP1A1,0.0003791774234505475
STXBP1,0.0003787654080715775
DTL,0.00037773051889560303
B2M,0.00037756459117042386
FOXP3,0.0003769455093023208
HJURP,0.00037650903448340053
ITGB4,0.00037641769176675384
BMP4,0.0003762248696097477
MCM10,0.00037541979134057206
CASK,0.00037386285445330133
CD34,0.00037365485828753307
ITGA5,0.0003735184600260906
CCR5,0.0003724916829338367
HCK,0.0003708749728419183
WAS,0.00037067457489732705
CXCL10,0.0003700905513590423
FEN1,0.0003664474463400501
CAMK2D,0.0003646118466848337
LEF1,0.00036428023808332956
KIF15,0.00036304243167500217
CTTN,0.00036244422173420637
YAP1,0.0003623401088616157
CHRM1,0.00036176874476733775
HMMR,0.00036160729467403014
CCL2,0.00036141075757059176
NRXN2,0.0003612229677307736
CDH2,0.00036039251448638423
CD40,0.00036014309914508624
SPI1,0.00036004043256780715
PIK3CD,0.0003598966447606747
SNCA,0.00035963805944497034
GRIA2,0.0003584712805310904
FLT4,0.0003581184827783491
SOX10,0.0003577993442646511
EHHADH,0.00035768666822139886
ZWINT,0.00035644248761239474
CSF1R,0.0003557852018999505
KIF4A,0.00035510554596148586
CCL4,0.0003548366453999417
PIK3R3,0.00035451094839839735
CDKN2A,0.00035393991697618303
ACTN2,0.00035375287157161597
SDC2,0.00035363803824399156
MCM3,0.0003532524504909765
BTRC,0.00035308632639095464
SYT1,0.000352355043451226
PARP1,0.00035225952664027745
IL13,0.00035209311336606344
NOS3,0.000351923541553289
TEK,0.00035047622938909454
NUF2,0.0003503169698605484
PTK2B,0.0003498235849946165
MCM5,0.0003496458587637958
SLC9A3R1,0.0003493400382015924
SCN5A,0.0003491809102501205
PRKCG,0.0003491569449384087
FOXM1,0.0003491209671866629
AKT3,0.0003486317419379822
AGT,0.00034848314998853035
CSK,0.0003470594052194592
OCLN,0.0003470268998262272
ITGA6,0.00034670528231519487
FANCI,0.00034550688217047164
PDGFRA,0.00034543857282323236
NGFR,0.0003452446120591673
GFAP,0.00034500356479440366
RACGAP1,0.00034426321668317675
HIST1H2BJ,0.0003441577328802225
NCAPH,0.0003441132258582437
IGF2,0.0003428637598888121
BCL6,0.000341518683796097
LRP6,0.0003413120899176142
PBX1,0.0003412234305211199
ADCY8,0.00034025249215725124
KCNQ2,0.0003399614785141733
ADCY5,0.0003395659139885412
PDGFB,0.0003394651280693075
CHEK2,0.0003385634765677698
DLG3,0.0003382821613965038
MKI67,0.00033827412758408816
NTRK2,0.00033775005003504
