reactome_id,pathway_name,pagerank_sum,n_genes,lumb_pathway_score
R-HSA-1059683,Interleukin-6 signaling,0.0049713762915618,7,0.0007101966130802572
R-HSA-109581,Apoptosis,0.0079900773687017,13,0.0006146213360539768
R-HSA-109582,Hemostasis,0.0572338479944645,104,0.0005503254614852356
R-HSA-109606,Intrinsic Pathway for Apoptosis,0.004731916686566,8,0.00059148958582075
R-HSA-109704,PI3K Cascade,0.0056608724934434,9,0.0006289858326048222
R-HSA-110056,MAPK3 (ERK1) activation,0.0043531904911194,5,0.0008706380982238801
R-HSA-110312,Translesion synthesis by REV1,0.0026449804848207,4,0.000661245121205175
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,0.0032640519676634,6,0.0005440086612772333
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,0.0036417824865589998,7,0.0005202546409369999
R-HSA-110320,Translesion Synthesis by POLH,0.0026449804848207,4,0.000661245121205175
R-HSA-110362,POLB-Dependent Long Patch Base Excision Repair,0.0007187069729802,2,0.0003593534864901
R-HSA-110373,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,0.0025924684133112,7,0.00037035263047302856
R-HSA-111446,Activation of BIM and translocation to mitochondria ,0.0006758389085126,1,0.0006758389085126
R-HSA-111447,Activation of BAD and translocation to mitochondria ,0.0015243510755847999,4,0.00038108776889619997
R-HSA-111448,Activation of NOXA and translocation to mitochondria,0.0021777867854925,2,0.00108889339274625
R-HSA-111453,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,0.0002887640749246,1,0.0002887640749246
R-HSA-111465,Apoptotic cleavage of cellular proteins,0.0008881337918653,2,0.00044406689593265
R-HSA-111471,Apoptotic factor-mediated response,0.0003539399169761,1,0.0003539399169761
R-HSA-111885,Opioid Signalling,0.0130835489282753,30,0.0004361182976091767
R-HSA-111931,PKA-mediated phosphorylation of CREB,0.0034001628528678,9,0.00037779587254086665
R-HSA-111932,CaMK IV-mediated phosphorylation of CREB,0.0015105722662429,4,0.000377643066560725
R-HSA-111933,Calmodulin induced events,0.006392821089485,16,0.0003995513180928125
R-HSA-111996,Ca-dependent events,0.006392821089485,16,0.0003995513180928125
R-HSA-111997,CaM pathway,0.006392821089485,16,0.0003995513180928125
R-HSA-112040,G-protein mediated events,0.009471951948324,22,0.00043054327037836366
R-HSA-112043,PLC beta mediated events,0.0084599603968688,20,0.00042299801984344005
R-HSA-112310,Neurotransmitter release cycle,0.004521657815998,11,0.00041105980145436367
R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,0.021431096410837,43,0.0004983975909496976
R-HSA-112315,Transmission across Chemical Synapses,0.0252930407038128,52,0.0004864046289194769
R-HSA-112316,Neuronal System,0.0263251158066412,55,0.0004786384692116582
R-HSA-112399,IRS-mediated signalling,0.0095128112654254,13,0.0007317547127250307
R-HSA-112409,RAF-independent MAPK1/3 activation,0.0043531904911194,5,0.0008706380982238801
R-HSA-112411,MAPK1 (ERK2) activation,0.0032794247741145,4,0.000819856193528625
R-HSA-112412,SOS-mediated signalling,0.0042829922157827,5,0.00085659844315654
R-HSA-113501,Inhibition of replication initiation of damaged DNA by RB1/E2F1,0.0008256694727325001,2,0.00041283473636625004
R-HSA-113507,E2F-enabled inhibition of pre-replication complex formation,0.0019110065752567002,2,0.0009555032876283501
R-HSA-113510,E2F mediated regulation of DNA replication,0.0027366760479892002,4,0.0006841690119973001
R-HSA-114452,Activation of BH3-only proteins,0.0043779767695899,7,0.0006254252527985571
R-HSA-114508,Effects of PIP2 hydrolysis,0.001119098753379,3,0.000373032917793
R-HSA-114516,Disinhibition of SNARE formation,0.0016127737872414,3,0.0005375912624138
R-HSA-114604,GPVI-mediated activation cascade,0.0097980630937074,16,0.0006123789433567125
R-HSA-114608,Platelet degranulation ,0.0110884379824469,21,0.0005280208563069952
R-HSA-1168372,Downstream signaling events of B Cell Receptor (BCR),0.0063817916692277,8,0.0007977239586534625
R-HSA-1169091,Activation of NF-kappaB in B cells,0.0031813104645504998,5,0.0006362620929100999
R-HSA-1169092,Activation of RAS in B cells,0.0032004812046772,3,0.0010668270682257332
R-HSA-1169408,ISG15 antiviral mechanism,0.0030760820651878,4,0.00076902051629695
R-HSA-1169410,Antimicrobial mechanism of IFN-stimulated genes,0.008845732065195601,13,0.0006804409280919693
R-HSA-1170546,Prolactin receptor signaling,0.0030748855647088997,5,0.0006149771129417799
R-HSA-1181150,Signaling by NODAL,0.0019649744983431,4,0.000491243624585775
R-HSA-1221632,Meiotic synapsis,0.0006440773156896,1,0.0006440773156896
R-HSA-1222556,ROS and RNS production in phagocytes,0.0011284211771048001,3,0.0003761403923682667
R-HSA-1226099,Signaling by FGFR in disease,0.009422110862414,13,0.0007247777586472308
R-HSA-1227986,Signaling by ERBB2,0.0174808973870833,20,0.0008740448693541651
