,pagerank
SRC,0.0019305931781411238
TP53,0.0018377728871524276
EGFR,0.0014585634569394532
RPS27A,0.0013890700171119025
EP300,0.0013370010511974402
HRAS,0.0013295976959143078
HSP90AA1,0.001161934665735644
ITGB1,0.0011367268396550727
CDK1,0.001099831056767085
PIK3R1,0.0010879952606100657
DLG4,0.0010472929160698517
PIK3CA,0.0010115741119459342
FN1,0.0009726543845861834
KRAS,0.0009707040623439532
TNF,0.0009556436207723902
JUN,0.0009553289466844403
FYN,0.0009452244878992631
ESR1,0.0009179826010766037
GNAQ,0.0008872564404977194
PTPN11,0.0008864269576096669
NRAS,0.0008732151788857553
CD4,0.0008645226547058448
PRKACB,0.0008464089065392557
IL6,0.0008087401379257351
CCNB1,0.0008031883731266295
JAK2,0.0007735273390646027
CDH1,0.0007720767393102615
MYC,0.000771971315104793
CCNA2,0.0007665430230342968
ALB,0.0007609154968916376
CAV1,0.0007519097872204421
SMAD3,0.0007516181163180873
APP,0.0007375955243429734
GNAI1,0.0007357295538080332
VEGFA,0.0007348674761723941
EGF,0.0007340306795726776
ITGB3,0.0007118827354391733
STAT1,0.0007081878974636813
LCK,0.0007017245619415335
MAPK8,0.0006805384037901533
LYN,0.0006801275654685432
PRKCA,0.0006746822383356563
PTEN,0.0006744434219617806
PLK1,0.000669370641857588
CD44,0.0006671988071135943
HDAC2,0.0006633373130604207
GNAS,0.0006593742096033381
NOTCH1,0.0006582112261715648
FOS,0.0006569477292098841
BRCA1,0.0006539522760516654
SOS1,0.0006512591660915391
CCND1,0.0006500588950210682
SOX2,0.0006472057971032815
SNAP25,0.0006451649514705224
HSPA8,0.0006409976642144362
IGF1,0.0006388404561806939
GNG2,0.0006371841220774177
PTPRC,0.0006356756517618194
KIF11,0.0006305100774950647
ERBB2,0.0006290866556186319
KDR,0.0006279023942024662
BUB1,0.0006187149956891885
CBL,0.0006177502217015104
BUB1B,0.000614892659618432
AURKB,0.0006123750514338872
CCNB2,0.0006116990861719878
AR,0.0006113107355004802
ITGAV,0.0006106651596220076
ITGAM,0.0006090959910999025
CDC20,0.0005941410850935769
TLR4,0.0005879084134556797
CDC6,0.0005857407642706531
HIF1A,0.0005852707247087933
RXRA,0.0005812390705556153
SYK,0.0005781490993692988
JAK1,0.0005680465002065955
PPARG,0.0005679208282607813
TOP2A,0.0005670862388838161
CFTR,0.0005653816701833259
AURKA,0.0005639989393928832
RRM2,0.0005615346704594008
PCNA,0.0005613971555132878
YWHAZ,0.0005589121624506442
IL10,0.0005552999401886746
CD8A,0.0005545006955526747
IL1B,0.0005543117321675206
SDC1,0.0005534373737537639
PPP1CA,0.0005476766015704984
MDM2,0.0005417881304360318
FGF2,0.0005385155928200345
RUNX2,0.0005383844602828321
NCAPG,0.0005367816968012967
GAPDH,0.0005337117399146962
ATM,0.0005317662877823611
HIST2H2AC,0.0005298700116261831
MAD2L1,0.0005294083626346619
MAPK11,0.0005291670491246263
EZH2,0.0005270490730748299
POU5F1,0.0005242113970718603
IL2,0.0005211236008639542
CDC45,0.000521077879181546
KIT,0.0005202323789066631
ASPM,0.0005185559003697165
CXCR4,0.0005182266151069715
FOXO1,0.0005179376698662892
RB1,0.0005109347419677183
NDC80,0.0005097338518950096
MMP9,0.0005095519764466795
BIRC5,0.0005080659057080279
HIST2H2BE,0.0005077107712901254
CACNA1C,0.0005051151859300498
H2AFZ,0.0005032681430231809
KAT2B,0.00050156793042281
PRKCB,0.0004976468071933907
CHEK1,0.0004962375011268852
CDCA8,0.0004911965716261234
H2AFX,0.0004903352109874959
EXO1,0.00048783280352911613
IKBKB,0.0004871882810005423
CENPA,0.0004848006317793506
FOXO3,0.00048122516030818643
MCM2,0.00048047630654876253
APOA1,0.00047756900983292387
POMC,0.0004772707675001698
PPARGC1A,0.00047438240640723477
STAT5A,0.000474021904706821
KIF2C,0.00047394619453574135
STX1A,0.00047268385951950115
TTK,0.000471433776865624
UBE2C,0.000470727519386469
LEP,0.00047021450927249326
TGFB1,0.00046827182089370883
RFC4,0.00046670992593062915
ARRB1,0.0004658031683026596
VAMP2,0.00046450257336284466
MET,0.00046320204923202017
RAD51,0.0004628369415812314
EDN1,0.00046209784686092277
ITGA1,0.00046198025542104035
TJP1,0.00046172079172751795
BDNF,0.00045855031623175016
GRIN1,0.0004573160619437206
MCM4,0.0004563353667658654
PLCG2,0.00045577985308938685
KIF20A,0.00045366866466291667
CXCL12,0.00045358842281707356
NCOA1,0.0004534320883846645
KIF23,0.00045341605203970327
PDGFRB,0.00045310465283977884
IRS1,0.0004523372765193073
DLGAP5,0.00045223319046565585
IGF1R,0.0004501765982439059
NCOR1,0.00044817097274475986
EZR,0.0004473697814099566
ITGB2,0.00044646428060393905
RAC2,0.00044565158062487905
DMD,0.00044485959521080873
NTRK1,0.00044366003936671016
BMP2,0.0004430276586211728
TYMS,0.00044241864509750247
HGF,0.0004422436119926701
PPARA,0.0004420793956625994
THBS1,0.0004415122099834642
CAMK2B,0.0004408659872188188
TRAF2,0.00043872493162000497
FGFR1,0.0004377409888516509
YES1,0.0004373993148070653
CTLA4,0.0004356568290221782
GRIN2B,0.00043343519573556553
VCL,0.0004332182542859651
CYP3A4,0.00043310384559801625
PTPN6,0.00043294763670334905
GNA11,0.0004318981539033245
APOB,0.00043072619622314085
NANOG,0.00043026185511251317
MUC1,0.0004296340250033578
RBBP7,0.00042960705139158986
RAC3,0.0004291572944073476
CAV3,0.00042854765173496666
RASA1,0.0004281726614781475
ERBB4,0.0004271329455698301
NFKBIA,0.00042627366210985773
APOE,0.00042479573114485647
NGF,0.0004245135007807389
CAT,0.00042268831503981097
NR3C1,0.00041990368371894437
GRIN2A,0.0004183827784642822
CDKN1A,0.0004180650883389638
CD19,0.00041806345787948475
MMP2,0.0004171910778713621
MCM3,0.0004157636743690868
TPX2,0.0004150316382343917
DVL1,0.00041425101740909595
CENPE,0.00041306792124033806
PAK1,0.0004129998947501321
GRIA1,0.00041175189175942864
BCAR1,0.0004106421794733882
CDK5,0.000409808707220017
GRIA2,0.0004090379125427646
ACAN,0.000408247309740233
PBK,0.00040666644549172427
CAMK2A,0.0004064568938548518
TTN,0.00040634339885378483
ITPR1,0.00040605882498351113
FLNA,0.00040558218149098807
TYROBP,0.0004054824351119554
MCM5,0.00040524872698866646
PRC1,0.00040479634562680497
HSPG2,0.0004042790946874369
GNGT1,0.00040420158805924315
CENPF,0.00040250923530580815
BMP4,0.0003997028066008979
IFNG,0.0003989776447542246
CYP1A1,0.0003988869263802449
MAPK10,0.0003986856895101346
DCN,0.0003985008655722917
NUSAP1,0.00039813856164203244
STAT5B,0.00039767662252207563
NRXN2,0.00039715785973853094
CEP55,0.0003969691192844032
VAV1,0.0003935416189234657
PIK3R2,0.000393434515221865
GNB5,0.00039326903675944484
CD80,0.0003923955984366979
LPL,0.00039237476387957274
COL1A1,0.00039058756307474803
NCOA2,0.00039029880057715494
CEBPA,0.00038987544965354045
GNAO1,0.0003896129097711529
CLTC,0.00038901029920433597
FOXP3,0.0003884226683626152
PECAM1,0.0003884017995937976
CASK,0.00038830733239666185
FEN1,0.000388139130173386
VWF,0.0003876891456191327
MCM10,0.00038739100552263677
SDC4,0.00038676019661856403
MELK,0.00038632674334920764
CD28,0.000386208046483
