reactome_id,pathway_name,pagerank_sum,n_genes,tnbc_pathway_score
R-HSA-1059683,Interleukin-6 signaling,0.0043626790539714995,6,0.0007271131756619166
R-HSA-109581,Apoptosis,0.007954255830376001,13,0.0006118658331058462
R-HSA-109582,Hemostasis,0.0560746760020788,105,0.0005340445333531314
R-HSA-109606,Intrinsic Pathway for Apoptosis,0.0047165755432552,8,0.0005895719429069
R-HSA-109704,PI3K Cascade,0.0054643538131238,9,0.0006071504236804222
R-HSA-110056,MAPK3 (ERK1) activation,0.0041365719915734,5,0.0008273143983146801
R-HSA-110312,Translesion synthesis by REV1,0.0027589224054248,4,0.0006897306013562
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,0.0034177541826661,6,0.0005696256971110166
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,0.0038016382972598,7,0.0005430911853228286
R-HSA-110320,Translesion Synthesis by POLH,0.0027589224054248,4,0.0006897306013562
R-HSA-110362,POLB-Dependent Long Patch Base Excision Repair,0.0007356077389128999,2,0.00036780386945644997
R-HSA-110373,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,0.0027642919044671,7,0.0003948988434953
R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,0.0002974535065089,1,0.0002974535065089
R-HSA-111446,Activation of BIM and translocation to mitochondria ,0.0006805384037901,1,0.0006805384037901
R-HSA-111447,Activation of BAD and translocation to mitochondria ,0.001487557984579,4,0.00037188949614475
R-HSA-111448,Activation of NOXA and translocation to mitochondria,0.0021978842557346,2,0.0010989421278673
R-HSA-111453,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,0.0002986950360974,1,0.0002986950360974
R-HSA-111465,Apoptotic cleavage of cellular proteins,0.0008219769249333,2,0.00041098846246665
R-HSA-111471,Apoptotic factor-mediated response,0.0003505948991515,1,0.0003505948991515
R-HSA-111885,Opioid Signalling,0.0120842732383212,28,0.0004315811870829
R-HSA-111931,PKA-mediated phosphorylation of CREB,0.0029684283085177,8,0.0003710535385647125
R-HSA-111932,CaMK IV-mediated phosphorylation of CREB,0.0014960429260309,4,0.000374010731507725
R-HSA-111933,Calmodulin induced events,0.0058224574442206,15,0.00038816382961470665
R-HSA-111996,Ca-dependent events,0.0058224574442206,15,0.00038816382961470665
R-HSA-111997,CaM pathway,0.0058224574442206,15,0.00038816382961470665
R-HSA-112040,G-protein mediated events,0.0088944474088762,21,0.00042354511470839046
R-HSA-112043,PLC beta mediated events,0.0078528641127665,19,0.00041330863751402636
R-HSA-112310,Neurotransmitter release cycle,0.0046205518133773,11,0.0004200501648524818
R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,0.0207250345924338,41,0.0005054886485959464
R-HSA-112315,Transmission across Chemical Synapses,0.024655286683964498,50,0.0004931057336792899
R-HSA-112316,Neuronal System,0.0263652045638712,55,0.00047936735570674907
R-HSA-112399,IRS-mediated signalling,0.0092891299163592,13,0.0007145484551045538
R-HSA-112409,RAF-independent MAPK1/3 activation,0.0041365719915734,5,0.0008273143983146801
R-HSA-112411,MAPK1 (ERK2) activation,0.0030367409348064,4,0.0007591852337016
R-HSA-112412,SOS-mediated signalling,0.0042771133797547,5,0.00085542267595094
R-HSA-113501,Inhibition of replication initiation of damaged DNA by RB1/E2F1,0.0008710461105499,2,0.00043552305527495
R-HSA-113507,E2F-enabled inhibition of pre-replication complex formation,0.0019030194298936,2,0.0009515097149468
R-HSA-113510,E2F mediated regulation of DNA replication,0.0027740655404435,4,0.000693516385110875
R-HSA-114452,Activation of BH3-only proteins,0.0043659806441037,7,0.0006237115205862429
R-HSA-114508,Effects of PIP2 hydrolysis,0.0010796290578407,3,0.0003598763526135667
R-HSA-114516,Disinhibition of SNARE formation,0.0014953768836594998,3,0.0004984589612198332
R-HSA-114604,GPVI-mediated activation cascade,0.0097651247811799,17,0.0005744191047752882
R-HSA-114608,Platelet degranulation ,0.0111132660925327,22,0.0005051484587514864
R-HSA-1168372,Downstream signaling events of B Cell Receptor (BCR),0.0063221612984059,8,0.0007902701623007374
R-HSA-1169091,Activation of NF-kappaB in B cells,0.003148644361262,5,0.0006297288722524
R-HSA-1169092,Activation of RAS in B cells,0.0031735169371439,3,0.0010578389790479668
R-HSA-1169408,ISG15 antiviral mechanism,0.0029674622948765,4,0.000741865573719125
R-HSA-1169410,Antimicrobial mechanism of IFN-stimulated genes,0.0083821869426553,12,0.0006985155785546084
R-HSA-1170546,Prolactin receptor signaling,0.0028801184177495,5,0.0005760236835499
R-HSA-1181150,Signaling by NODAL,0.001824687625065,4,0.00045617190626625
R-HSA-1221632,Meiotic synapsis,0.0006539522760516,1,0.0006539522760516
R-HSA-1222556,ROS and RNS production in phagocytes,0.0011158889009551,3,0.0003719629669850333
R-HSA-1226099,Signaling by FGFR in disease,0.0091368175917009,13,0.0007028321224385308
R-HSA-1227986,Signaling by ERBB2,0.0173074595384076,21,0.0008241647399241715
R-HSA-1227990,Signaling by ERBB2 in Cancer,0.0109275181673907,13,0.0008405783205685153
R-HSA-1234158,Regulation of gene expression by Hypoxia-inducible Factor,0.0026571392520784,3,0.0008857130840261334
R-HSA-1234174,Cellular response to hypoxia,0.0040462092691903005,4,0.0010115523172975751
R-HSA-1234176,Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,0.0019743407418206,2,0.0009871703709103
R-HSA-1236382,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,0.0115918273432925,12,0.0009659856119410416
R-HSA-1236394,Signaling by ERBB4,0.016865656205934998,21,0.0008031264859969046
R-HSA-1236973,Cross-presentation of particulate exogenous antigens (phagosomes),0.0009370196058418,2,0.0004685098029209
R-HSA-1236974,ER-Phagosome pathway,0.0041796786353321,8,0.0005224598294165125
R-HSA-1236975,Antigen processing-Cross presentation,0.0051166982411739,10,0.00051166982411739
R-HSA-1236977,Endosomal/Vacuolar pathway,0.0007240909570663001,2,0.00036204547853315003
R-HSA-1250196,SHC1 events in ERBB2 signaling,0.0087081337738518,12,0.00072567781448765
R-HSA-1250342,PI3K events in ERBB4 signaling,0.0025267023181257,3,0.0008422341060419
R-HSA-1250347,SHC1 events in ERBB4 signaling,0.0042519090488052,5,0.00085038180976104
R-HSA-1251932,PLCG1 events in ERBB2 signaling,0.0028216807921306,3,0.0009405602640435332
R-HSA-1251985,Nuclear signaling by ERBB4,0.0057405830041486,9,0.0006378425560165112
R-HSA-1253288,Downregulation of ERBB4 signaling,0.0037467961408228,3,0.0012489320469409335
R-HSA-1257604,PIP3 activates AKT signaling,0.0307774893083964,52,0.0005918747943922385
R-HSA-1266695,Interleukin-7 signaling,0.0048225574842761,10,0.00048225574842761
R-HSA-1266738,Developmental Biology,0.0787627676611352,149,0.0005286091789337933
R-HSA-1280215,Cytokine Signaling in Immune system,0.0637517245111755,115,0.0005543628218363087
R-HSA-1280218,Adaptive Immune System,0.0482193744141715,88,0.0005479474365246761
R-HSA-1295596,Spry regulation of FGF signaling,0.0048238403745641,4,0.001205960093641025
R-HSA-1296041,Activation of G protein gated Potassium channels,0.0021078098392177,5,0.00042156196784354
R-HSA-1296059,G protein gated Potassium channels,0.0021078098392177,5,0.00042156196784354
R-HSA-1296065,Inwardly rectifying K+ channels,0.0021078098392177,5,0.00042156196784354
R-HSA-1296071,Potassium Channels,0.0024426965739219,6,0.00040711609565365
R-HSA-1296072,Voltage gated Potassium channels,0.0003348867347042,1,0.0003348867347042
R-HSA-1306955,GRB7 events in ERBB2 signaling,0.0009153781173418,2,0.0004576890586709
R-HSA-1358803,Downregulation of ERBB2:ERBB3 signaling,0.0026338500363186,4,0.00065846250907965
R-HSA-1362277,Transcription of E2F targets under negative control by DREAM complex,0.0031656379528806,6,0.0005276063254801
R-HSA-1362300,Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1,0.0022264854483834,3,0.0007421618161278001
R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian expression",0.0025437652717772,6,0.00042396087862953336
R-HSA-1369062,ABC transporters in lipid homeostasis,0.0004775690098329,1,0.0004775690098329
R-HSA-139853,Elevation of cytosolic Ca2+ levels,0.0004060588249835,1,0.0004060588249835
R-HSA-139910,Activation of BMF and translocation to mitochondria,0.0006805384037901,1,0.0006805384037901
R-HSA-139915,Activation of PUMA and translocation to mitochondria,0.0021978842557346,2,0.0010989421278673
R-HSA-140534,Caspase activation via Death Receptors in the presence of ligand,0.0010266333450756,2,0.0005133166725378
R-HSA-140837,Intrinsic Pathway of Fibrin Clot Formation,0.0003876891456191,1,0.0003876891456191
R-HSA-140877,Formation of Fibrin Clot (Clotting Cascade),0.0003876891456191,1,0.0003876891456191
R-HSA-141405,Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components,0.0022091696267329,4,0.000552292406683225
R-HSA-141424,Amplification of signal from the kinetochores,0.0079502306406191,16,0.0004968894150386938
R-HSA-141430,Inactivation of APC/C via direct inhibition of the APC/C complex,0.0022091696267329,4,0.000552292406683225
R-HSA-141444,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,0.0079502306406191,16,0.0004968894150386938
R-HSA-1428517,Aerobic respiration and respiratory electron transport,0.0017026125977353,2,0.00085130629886765
R-HSA-1430728,Metabolism,0.045026095146622,94,0.0004790010121981064
R-HSA-1433557,Signaling by SCF-KIT,0.018590227816388,26,0.0007150087621687692
R-HSA-1433559,Regulation of KIT signaling,0.0079343376055865,11,0.0007213034186896818
R-HSA-1433617,Regulation of signaling by NODAL,0.0002994938834624,1,0.0002994938834624
R-HSA-1442490,Collagen degradation,0.0016096810823691,4,0.000402420270592275
R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane,0.0013239636199795,3,0.00044132120665983334
R-HSA-1461957,Beta defensins,0.0003767702016207,1,0.0003767702016207
R-HSA-1461973,Defensins,0.0012412928563265001,2,0.0006206464281632501
R-HSA-1462054,Alpha-defensins,0.0008645226547058,1,0.0008645226547058
R-HSA-1474151,"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",0.0015153912960804,2,0.0007576956480402
R-HSA-1474165,Reproduction,0.0042067421373644,9,0.00046741579304048885
R-HSA-1474228,Degradation of the extracellular matrix,0.0047707331288533,10,0.00047707331288532995
R-HSA-1474244,Extracellular matrix organization,0.0232171879112349,53,0.000438060149268583
R-HSA-1474290,Collagen formation,0.0018291101313196,5,0.00036582202626392
R-HSA-1483249,Inositol phosphate metabolism,0.0014354165242124,3,0.00047847217473746665
R-HSA-1483255,PI Metabolism,0.0038339252516939,6,0.0006389875419489833
R-HSA-1483257,Phospholipid metabolism,0.0038339252516939,6,0.0006389875419489833
R-HSA-1489509,DAG and IP3 signaling,0.0065418303688555,17,0.00038481355110914705
R-HSA-1500620,Meiosis,0.0023343394634724,5,0.00046686789269448
R-HSA-1500931,Cell-Cell communication,0.018562968474876,32,0.000580092764839875
R-HSA-1502540,Signaling by Activin,0.0010511119997804,2,0.0005255559998902
R-HSA-1538133,G0 and Early G1,0.0050320120326818,8,0.000629001504085225
R-HSA-156580,Phase II - Conjugation of compounds,0.0003347707355924,1,0.0003347707355924
R-HSA-156590,Glutathione conjugation,0.0003347707355924,1,0.0003347707355924
R-HSA-1566948,Elastic fibre formation,0.006657149304603,13,0.0005120884080463846
R-HSA-1566977,Fibronectin matrix formation,0.0028699600285473003,4,0.0007174900071368251
R-HSA-156711,Polo-like kinase mediated events,0.004865708841872,8,0.000608213605234
R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,0.0017739457547168,2,0.0008869728773584
R-HSA-156842,Eukaryotic Translation Elongation,0.0017739457547168,2,0.0008869728773584
R-HSA-156902,Peptide chain elongation,0.0017739457547168,2,0.0008869728773584
R-HSA-157118,Signaling by NOTCH,0.0169255640272455,24,0.0007052318344685626
R-HSA-157579,Telomere Maintenance,0.0035814251750311,8,0.0004476781468788875
R-HSA-157858,Gap junction trafficking and regulation,0.0034838849962537,5,0.00069677699925074
R-HSA-15869,Metabolism of nucleotides,0.0010039533155569,2,0.00050197665777845
R-HSA-1592230,Mitochondrial biogenesis,0.0043296850083512,10,0.00043296850083511995
R-HSA-1592389,Activation of Matrix Metalloproteinases,0.0012190935192944,3,0.0004063645064314667
R-HSA-159418,Recycling of bile acids and salts,0.0021858854564089,4,0.000546471364102225
R-HSA-159782,Removal of aminoterminal propeptides from gamma-carboxylated proteins,0.0002923504649765,1,0.0002923504649765
R-HSA-159854,"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins",0.0002923504649765,1,0.0002923504649765
R-HSA-1606322,ZBP1(DAI) mediated induction of type I IFNs,0.0009134619431103,2,0.00045673097155515
R-HSA-1614517,Sulfide oxidation to sulfate,0.0003490392578088,1,0.0003490392578088
R-HSA-1614558,Degradation of cysteine and homocysteine,0.0006625818384322,2,0.0003312909192161
R-HSA-1614635,Sulfur amino acid metabolism,0.0006625818384322,2,0.0003312909192161
R-HSA-162582,Signal Transduction,0.1289672426159043,267,0.0004830233805839113
R-HSA-162587,HIV Life Cycle,0.0038046735919923,6,0.00063411226533205
R-HSA-162588,Budding and maturation of HIV virion,0.0013890700171119,1,0.0013890700171119
R-HSA-162594,Early Phase of HIV Life Cycle,0.0021232531099039,4,0.000530813277475975
R-HSA-162599,Late Phase of HIV Life Cycle,0.0016814204820884001,2,0.0008407102410442001
R-HSA-162658,Golgi Cisternae Pericentriolar Stack Reorganization,0.003184089157923,4,0.00079602228948075
R-HSA-162791,Attachment of GPI anchor to uPAR,0.0002999236572726,1,0.0002999236572726
R-HSA-162906,HIV Infection,0.0075742635662698,14,0.0005410188261621285
R-HSA-162909,Host Interactions of HIV factors,0.0060231826460952,10,0.00060231826460952
R-HSA-1630316,Glycosaminoglycan metabolism,0.0047490371194305004,12,0.00039575309328587505
R-HSA-163125,Post-translational modification: synthesis of GPI-anchored proteins,0.0002999236572726,1,0.0002999236572726
R-HSA-1632852,Macroautophagy,0.0065203624979414,7,0.0009314803568487714
R-HSA-163358,PKA-mediated phosphorylation of key metabolic factors,0.0008464089065392,1,0.0008464089065392
R-HSA-163359,Glucagon signaling in metabolic regulation,0.0045854016464569,11,0.0004168546951324455
R-HSA-163560,Triglyceride catabolism,0.00214599529533,3,0.00071533176511
R-HSA-163615,PKA activation,0.0029684283085177,8,0.0003710535385647125
R-HSA-163680,AMPK inhibits chREBP transcriptional activation activity,0.000303815159111,1,0.000303815159111
R-HSA-163685,Integration of energy metabolism,0.0122780913362608,27,0.00045474412356521485
R-HSA-163765,ChREBP activates metabolic gene expression,0.0002984522135264,1,0.0002984522135264
R-HSA-1638074,Keratan sulfate/keratin metabolism,0.0006978764152724001,2,0.00034893820763620003
R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,0.0023241082075128,6,0.0003873513679188
R-HSA-163841,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",0.0002923504649765,1,0.0002923504649765
R-HSA-1640170,Cell Cycle,0.0490961042611675,95,0.0005168010974859737
R-HSA-1643685,Disease,0.1038973587743323,208,0.0004995065325689052
R-HSA-1643713,Signaling by EGFR in Cancer,0.0115918273432925,12,0.0009659856119410416
R-HSA-164378,PKA activation in glucagon signalling,0.003627802518121,9,0.0004030891686801111
R-HSA-164938,Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,0.0026765462201966,5,0.00053530924403932
R-HSA-164939,Nef mediated downregulation of CD28 cell surface expression,0.000386208046483,1,0.000386208046483
R-HSA-164940,Nef mediated downregulation of MHC class I complex cell surface expression,0.0007240909570663001,2,0.00036204547853315003
R-HSA-164944,Nef and signal transduction,0.0023108253768817,4,0.000577706344220425
R-HSA-164952,The role of Nef in HIV-1 replication and disease pathogenesis,0.0042856470351368,8,0.0005357058793921
R-HSA-1650814,Collagen biosynthesis and modifying enzymes,0.0003905875630747,1,0.0003905875630747
R-HSA-1655829,Regulation of cholesterol biosynthesis by SREBP (SREBF),0.0028422174853036,7,0.0004060310693290857
R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,0.0135083549985332,22,0.0006140161362969636
R-HSA-1660499,Synthesis of PIPs at the plasma membrane,0.0038339252516939,6,0.0006389875419489833
R-HSA-166058,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,0.0107753322631384,17,0.0006338430743022588
R-HSA-166166,MyD88-independent TLR4 cascade ,0.0106536135920084,15,0.0007102409061338933
R-HSA-166520,Signaling by NTRKs,0.0182030553126886,28,0.0006501091183103071
R-HSA-166658,Complement cascade,0.0010990630567921,3,0.00036635435226403337
R-HSA-166663,Initial triggering of complement,0.0003832425311886,1,0.0003832425311886
R-HSA-167021,PLC-gamma1 signalling,0.0008681735401474,2,0.0004340867700737
R-HSA-167044,Signalling to RAS,0.0077932222192686,10,0.00077932222192686
R-HSA-167060,NGF processing,0.0007168639657572,2,0.0003584319828786
R-HSA-167590,Nef Mediated CD4 Down-regulation,0.0015662472166473001,2,0.0007831236083236501
R-HSA-168138,Toll Like Receptor 9 (TLR9) Cascade,0.0100809852360968,15,0.0006720656824064534
R-HSA-168142,Toll Like Receptor 10 (TLR10) Cascade,0.0094930768226412,14,0.0006780769159029428
R-HSA-168164,Toll Like Receptor 3 (TLR3) Cascade,0.0091792782209432,13,0.0007060983246879385
R-HSA-168176,Toll Like Receptor 5 (TLR5) Cascade,0.0094930768226412,14,0.0006780769159029428
R-HSA-168179,Toll Like Receptor TLR1:TLR2 Cascade,0.0107753322631384,17,0.0006338430743022588
R-HSA-168181,Toll Like Receptor 7/8 (TLR7/8) Cascade,0.0100809852360968,15,0.0006720656824064534
R-HSA-168188,Toll Like Receptor TLR6:TLR2 Cascade,0.0107753322631384,17,0.0006338430743022588
R-HSA-168249,Innate Immune System,0.0465189716109997,82,0.0005673045318414598
R-HSA-168255,Influenza Infection,0.0047398629690407,8,0.0005924828711300875
R-HSA-168256,Immune System,0.0911448619084573,181,0.0005035627729749022
R-HSA-168268,Virus Assembly and Release,0.0002970739396562,1,0.0002970739396562
R-HSA-168273,Influenza Viral RNA Transcription and Replication,0.003283349029192,4,0.000820837257298
R-HSA-168275,Entry of Influenza Virion into Host Cell via Endocytosis,0.0003890102992043,1,0.0003890102992043
R-HSA-168276,NS1 Mediated Effects on Host Pathways,0.0003021578800945,1,0.0003021578800945
R-HSA-168277,Influenza Virus Induced Apoptosis,0.0004682718208937,1,0.0004682718208937
R-HSA-168316,Assembly of Viral Components at the Budding Site,0.0002970739396562,1,0.0002970739396562
R-HSA-168638,NOD1/2 Signaling Pathway,0.0033394572012973,6,0.0005565762002162167
R-HSA-168643,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",0.0043757477617376,8,0.0005469684702172
R-HSA-168799,Neurotoxicity of clostridium toxins,0.0019380838806952,4,0.0004845209701738
R-HSA-168898,Toll-like Receptor Cascades,0.0139390811947563,23,0.0006060470084676652
R-HSA-168927,"TICAM1, RIP1-mediated IKK complex recruitment",0.0018762582981124,2,0.0009381291490562
R-HSA-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,0.0062915867348161,8,0.0007864483418520125
R-HSA-169893,Prolonged ERK activation events,0.0008681735401474,2,0.0004340867700737
R-HSA-169911,Regulation of Apoptosis,0.0013890700171119,1,0.0013890700171119
R-HSA-170660,Adenylate cyclase activating pathway,0.0015124115225154,5,0.00030248230450308
R-HSA-170670,Adenylate cyclase inhibitory pathway,0.0022481410763234,6,0.0003746901793872333
R-HSA-170834,Signaling by TGF-beta Receptor Complex,0.0117660719104891,19,0.0006192669426573211
R-HSA-170968,Frs2-mediated activation,0.0008681735401474,2,0.0004340867700737
R-HSA-170984,ARMS-mediated activation,0.0008681735401474,2,0.0004340867700737
R-HSA-171007,p38MAPK events,0.0062737895130296996,7,0.0008962556447185286
R-HSA-171286,Synthesis and processing of ENV and VPU,0.0002923504649765,1,0.0002923504649765
R-HSA-171319,Telomere Extension By Telomerase,0.0011483827716871,2,0.00057419138584355
R-HSA-173107,Binding and entry of HIV virion,0.0017351139797306,3,0.0005783713265768666
R-HSA-173736,Alternative complement activation,0.0003832425311886,1,0.0003832425311886
R-HSA-174048,APC/C:Cdc20 mediated degradation of Cyclin B,0.0043569580514854,5,0.00087139161029708
R-HSA-174084,Autodegradation of Cdh1 by Cdh1:APC/C,0.0018597975364983,2,0.00092989876824915
