HGNC ID	Approved symbol	Status	Previous symbols	Accession numbers	Gene group name	Gene group ID
HGNC:5	A1BG	Approved			Immunoglobulin like domain containing	594
HGNC:37133	A1BG-AS1	Approved	NCRNA00181, A1BGAS, A1BG-AS	BC040926	Antisense RNAs	1987
HGNC:24086	A1CF	Approved		AF271790	RNA binding motif containing	725
HGNC:6	A1S9T	Symbol Withdrawn				
HGNC:7	A2M	Approved		BX647329, X68728, M11313	Alpha-2-macroglobulin family	2148
HGNC:27057	A2M-AS1	Approved			Antisense RNAs	1987
HGNC:23336	A2ML1	Approved	CPAMD9	AK057908	Alpha-2-macroglobulin family	2148
HGNC:41022	A2ML1-AS1	Approved			Antisense RNAs	1987
HGNC:41523	A2ML1-AS2	Approved			Antisense RNAs	1987
HGNC:8	A2MP1	Symbol Withdrawn	A2MP			
HGNC:9	A2MR	Symbol Withdrawn				
HGNC:10	A2MRAP	Symbol Withdrawn				
HGNC:30005	A3GALT2	Approved	A3GALT2P		Glycosyltransferase family 6	429
HGNC:18149	A4GALT	Approved	P1		Alpha 1,4-glycosyltransferases|Blood group antigens	442|454
HGNC:17968	A4GNT	Approved		AF141315	Alpha 1,4-glycosyltransferases	442
HGNC:1	A12M1	Entry Withdrawn				
HGNC:2	A12M2	Entry Withdrawn				
HGNC:3	A12M3	Entry Withdrawn				
HGNC:4	A12M4	Entry Withdrawn				
HGNC:11	AA	Symbol Withdrawn	AA			
HGNC:13666	AAAS	Approved		AJ289841	WD repeat domain containing|Nucleoporins	362|1051
HGNC:12	AABT	Entry Withdrawn				
HGNC:13	AAC1	Symbol Withdrawn				
HGNC:14	AAC2	Symbol Withdrawn				
HGNC:21298	AACS	Approved		AK022451	Acyl-CoA synthetase family	40
HGNC:18226	AACSP1	Approved	AACSL			
HGNC:13792	AACT	Symbol Withdrawn				
HGNC:17	AADAC	Approved		L32179	Lipases|Arylacetamide deacetylase family	464|465
HGNC:24427	AADACL2	Approved		BC065724	Arylacetamide deacetylase family	465
HGNC:50301	AADACL2-AS1	Approved			Antisense RNAs	1987
HGNC:32037	AADACL3	Approved			Arylacetamide deacetylase family	465
HGNC:32038	AADACL4	Approved			Arylacetamide deacetylase family	465
HGNC:50305	AADACP1	Approved				
HGNC:17929	AADAT	Approved		AF097994	Transaminases	3517
HGNC:25662	AAGAB	Approved		AL136715		
HGNC:19679	AAK1	Approved		AB028971	Small nucleolar RNA protein coding host genes	1835
HGNC:30205	AAMDC	Approved	C11orf67	BC016854		
HGNC:18	AAMP	Approved		AB209790	WD repeat domain containing	362
HGNC:19	AANAT	Approved		U40347	GCN5 related N-acetyltransferases	1134
HGNC:15886	AAR2	Approved	C20orf4			
HGNC:33842	AARD	Approved	C8orf85	AB181519, BC140924		
HGNC:20	AARS1	Approved	AARS	D32050	Aminoacyl tRNA synthetases, Class II	132
HGNC:49894	AARS1P1	Approved	AARSP1			
HGNC:21022	AARS2	Approved	AARSL	AB033096	Aminoacyl tRNA synthetases, Class II	132
HGNC:28417	AARSD1	Approved		BC004172		
HGNC:54994	AARSD1P1	Approved				
HGNC:23993	AASDH	Approved		AF516672	Acyl-CoA synthetase family	40
HGNC:58795	AASDH-DT	Approved			Divergent transcripts	1990
HGNC:14235	AASDHPPT	Approved		AF302110		
HGNC:58262	AASDHPPT-AS1	Approved			Antisense RNAs	1987
HGNC:17366	AASS	Approved		AF229180		
HGNC:51526	AATBC	Approved			Long non-coding RNAs with non-systematic symbols	1992
